 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   365    12    31  2005       1       0  aqu1                    305.434          2.523         24.958        307.800         15.390          4.183          0.000          0.000          0.000          0.000         46.994         45.152          1.800          0.043          0.000          0.000          0.000
   365    12    31  2006       1       0  aqu1                    160.795          2.911         20.947        171.862          8.593          2.301          0.000          0.000          0.000          0.000         37.923         36.985          0.905          0.033          0.000          0.000          0.000
   365    12    31  2007       1       0  aqu1                    333.046          2.184         27.199        354.006         17.700          3.660          0.000          0.000          0.000          0.000         65.022         62.668          2.294          0.060          0.000          0.000          0.000
   366    12    31  2008       1       0  aqu1                    258.790          2.465         23.158        277.377         13.869          3.731          0.000          0.000          0.000          0.000         62.039         59.889          2.096          0.054          0.000          0.000          0.000
   365    12    31  2009       1       0  aqu1                    230.889          2.021         23.443        243.447         12.172          3.252          0.000          0.000          0.000          0.000         65.696         63.730          1.906          0.060          0.000          0.000          0.000
   365    12    31  2010       1       0  aqu1                    296.051          2.214         24.012        321.312         16.066          4.493          0.000          0.000          0.000          0.000         71.409         68.912          2.431          0.066          0.000          0.000          0.000
   365    12    31  2011       1       0  aqu1                    253.383          2.867         22.131        260.754         13.038          2.167          0.000          0.000          0.000          0.000         34.842         33.657          1.155          0.030          0.000          0.000          0.000
   366    12    31  2012       1       0  aqu1                    274.212          1.984         23.636        297.373         14.869          4.737          0.000          0.000          0.000          0.000         65.865         63.556          2.250          0.060          0.000          0.000          0.000
   365    12    31  2013       1       0  aqu1                    205.952          2.831         21.325        217.117         10.856          1.797          0.000          0.000          0.000          0.000         49.187         47.596          1.548          0.043          0.000          0.000          0.000
   365    12    31  2014       1       0  aqu1                    104.949          3.772         18.384        104.608          5.230          0.503          0.000          0.000          0.000          0.000         42.670         41.781          0.856          0.034          0.000          0.000          0.000
   365    12    31  2015       1       0  aqu1                    141.136          3.152         20.143        158.474          7.924          2.347          0.000          0.000          0.000          0.000         69.907         68.183          1.662          0.063          0.000          0.000          0.000
   366    12    31  2016       1       0  aqu1                    216.949          2.331         22.951        245.983         12.299          5.574          0.000          0.000          0.000          0.000         53.388         51.848          1.491          0.049          0.000          0.000          0.000
   365    12    31  2017       1       0  aqu1                    380.925          1.528         29.634        421.557         21.078          4.481          0.000          0.000          0.000          0.000         76.517         73.573          2.874          0.070          0.000          0.000          0.000
   365    12    31  2018       1       0  aqu1                    229.982          3.413         21.394        209.719         10.486          2.747          0.000          0.000          0.000          0.000         35.030         33.754          1.250          0.027          0.000          0.000          0.000
   365    12    31  2019       1       0  aqu1                    183.804          2.582         22.227        207.470         10.373          3.216          0.000          0.000          0.000          0.000         81.168         79.045          2.050          0.073          0.000          0.000          0.000
   366    12    31  2020       1       0  aqu1                    246.895          2.787         23.859        251.070         12.553          2.402          0.000          0.000          0.000          0.000         58.006         56.005          1.951          0.051          0.000          0.000          0.000
   365    12    31  2021       1       0  aqu1                    146.295          3.197         19.978        160.295          8.015          2.003          0.000          0.000          0.000          0.000         44.032         42.967          1.027          0.038          0.000          0.000          0.000
   365    12    31  2022       1       0  aqu1                    163.076          3.220         20.874        167.320          8.366          1.836          0.000          0.000          0.000          0.000         46.700         45.429          1.235          0.037          0.000          0.000          0.000
   365    12    31  2023       1       0  aqu1                    139.874          3.202         20.161        171.018          8.551          2.105          0.000          0.000          0.000          0.000         62.955         61.456          1.444          0.055          0.000          0.000          0.000
