 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   366    12    31  1996         1     1  Mini_CREATE             253.108          2.643         21.448        268.752         13.438          6.499          0.000          0.000          0.000          0.000         42.136         40.688          1.408          0.039          0.000          0.000          0.000
   365    12    31  1997         1     1  Mini_CREATE             277.808          1.971         25.593        310.322         15.516          5.542          0.000          0.000          0.000          0.000         60.573         58.683          1.836          0.055          0.000          0.000          0.000
   365    12    31  1998         1     1  Mini_CREATE             499.935          1.005         31.943        540.652         27.033          8.066          0.000          0.000          0.000          0.000         74.469         71.119          3.280          0.070          0.000          0.000          0.000
   365    12    31  1999         1     1  Mini_CREATE             350.359          2.348         23.400        372.619         18.631          6.235          0.000          0.000          0.000          0.000         69.630         66.624          2.945          0.062          0.000          0.000          0.000
   366    12    31  2000         1     1  Mini_CREATE             298.635          2.665         26.024        300.732         15.037          3.802          0.000          0.000          0.000          0.000         68.119         65.658          2.401          0.060          0.000          0.000          0.000
   365    12    31  2001         1     1  Mini_CREATE             454.101          1.064         29.418        497.603         24.880         10.884          0.000          0.000          0.000          0.000         68.971         66.032          2.874          0.065          0.000          0.000          0.000
   365    12    31  2002         1     1  Mini_CREATE             384.813          2.179         24.628        409.973         20.499          5.670          0.000          0.000          0.000          0.000         57.748         54.970          2.728          0.051          0.000          0.000          0.000
   365    12    31  2003         1     1  Mini_CREATE             145.013          3.351         19.831        159.136          7.957          1.299          0.000          0.000          0.000          0.000         41.326         40.316          0.975          0.035          0.000          0.000          0.000
   366    12    31  2004         1     1  Mini_CREATE             332.040          1.789         28.045        367.344         18.367          3.586          0.000          0.000          0.000          0.000        106.766        102.954          3.714          0.098          0.000          0.000          0.000
   365    12    31  2005         1     1  Mini_CREATE             266.773          2.980         22.917        265.255         13.263          2.783          0.000          0.000          0.000          0.000         53.434         51.353          2.035          0.046          0.000          0.000          0.000
   365    12    31  2006         1     1  Mini_CREATE             152.811          3.001         20.660        165.840          8.292          3.295          0.000          0.000          0.000          0.000         43.623         42.603          0.982          0.037          0.000          0.000          0.000
   365    12    31  2007         1     1  Mini_CREATE             321.623          2.132         26.953        344.687         17.234          3.844          0.000          0.000          0.000          0.000         68.440         66.006          2.371          0.063          0.000          0.000          0.000
   366    12    31  2008         1     1  Mini_CREATE             250.850          2.625         22.457        267.275         13.364          3.670          0.000          0.000          0.000          0.000         61.594         59.470          2.072          0.053          0.000          0.000          0.000
   365    12    31  2009         1     1  Mini_CREATE             194.934          2.518         22.018        206.228         10.311          2.957          0.000          0.000          0.000          0.000         60.307         58.609          1.646          0.052          0.000          0.000          0.000
   365    12    31  2010         1     1  Mini_CREATE             273.964          2.160         23.949        296.929         14.846          4.262          0.000          0.000          0.000          0.000         75.380         72.914          2.396          0.069          0.000          0.000          0.000
   365    12    31  2011         1     1  Mini_CREATE             232.752          3.022         22.035        239.587         11.979          1.211          0.000          0.000          0.000          0.000         34.710         33.579          1.103          0.029          0.000          0.000          0.000
   366    12    31  2012         1     1  Mini_CREATE             272.943          1.937         24.597        294.969         14.748          3.914          0.000          0.000          0.000          0.000         69.217         66.922          2.232          0.063          0.000          0.000          0.000
   365    12    31  2013         1     1  Mini_CREATE             208.561          3.010         21.205        216.592         10.830          0.838          0.000          0.000          0.000          0.000         48.853         47.255          1.557          0.042          0.000          0.000          0.000
   365    12    31  2014         1     1  Mini_CREATE             101.014          3.963         17.931        101.375          5.069          0.467          0.000          0.000          0.000          0.000         41.315         40.422          0.861          0.032          0.000          0.000          0.000
   365    12    31  2015         1     1  Mini_CREATE             138.136          3.236         20.142        154.464          7.723          2.242          0.000          0.000          0.000          0.000         71.078         69.318          1.697          0.063          0.000          0.000          0.000
   366    12    31  2016         1     1  Mini_CREATE             217.570          2.515         22.291        241.847         12.092          4.962          0.000          0.000          0.000          0.000         56.032         54.317          1.664          0.051          0.000          0.000          0.000
   365    12    31  2017         1     1  Mini_CREATE             432.019          1.672         29.296        477.569         23.878          5.135          0.000          0.000          0.000          0.000         80.219         76.686          3.460          0.074          0.000          0.000          0.000
   365    12    31  2018         1     1  Mini_CREATE             224.657          3.357         21.094        208.039         10.402          3.377          0.000          0.000          0.000          0.000         34.926         33.619          1.281          0.027          0.000          0.000          0.000
   365    12    31  2019         1     1  Mini_CREATE             179.568          2.629         22.196        204.206         10.210          3.103          0.000          0.000          0.000          0.000         76.117         74.130          1.919          0.068          0.000          0.000          0.000
   366    12    31  2020         1     1  Mini_CREATE             225.074          3.050         22.988        226.932         11.347          2.363          0.000          0.000          0.000          0.000         59.138         57.128          1.960          0.051          0.000          0.000          0.000
   365    12    31  2021         1     1  Mini_CREATE             134.356          3.316         19.770        147.599          7.380          2.010          0.000          0.000          0.000          0.000         50.671         49.532          1.096          0.043          0.000          0.000          0.000
