 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
   365    12    31  2005       1       1  Mini_CREATE            0.260       1.448       0.187       1.228       0.835       0.735       0.000       0.590       2.062      16.266       0.671       0.000
   365    12    31  2006       1       1  Mini_CREATE            0.044       0.271       0.041       0.738       0.442       0.192       0.000       0.122       1.125      11.606       0.485       0.000
   365    12    31  2007       1       1  Mini_CREATE            0.251       1.626       0.248       1.232       1.813       0.922       0.000       0.764       2.672      20.266       1.141       0.000
   366    12    31  2008       1       1  Mini_CREATE            0.193       0.966       0.130       1.890       1.230       0.518       0.000       0.426       2.097      17.216       0.989       0.000
   365    12    31  2009       1       1  Mini_CREATE            0.102       0.627       0.086       0.757       1.371       0.394       0.000       0.275       1.474      17.659       0.808       0.000
   365    12    31  2010       1       1  Mini_CREATE            0.190       0.943       0.122       1.013       0.873       0.517       0.000       0.393       1.943      21.828       1.054       0.000
   365    12    31  2011       1       1  Mini_CREATE            0.179       0.962       0.129       1.929       0.593       0.530       0.000       0.395       1.037      17.539       0.738       0.000
   366    12    31  2012       1       1  Mini_CREATE            0.164       1.022       0.151       0.598       1.702       0.605       0.000       0.477       1.982      21.834       1.121       0.000
   365    12    31  2013       1       1  Mini_CREATE            0.120       0.639       0.086       3.240       1.105       0.357       0.000       0.276       1.324      16.428       0.746       0.000
   365    12    31  2014       1       1  Mini_CREATE            0.030       0.175       0.024       0.331       1.172       0.121       0.000       0.079       0.630       9.335       0.269       0.000
   365    12    31  2015       1       1  Mini_CREATE            0.052       0.272       0.035       0.341       0.830       0.153       0.000       0.113       1.740      12.901       0.508       0.000
   366    12    31  2016       1       1  Mini_CREATE            0.178       0.903       0.127       1.060       0.745       0.431       0.000       0.398       2.246      19.888       0.994       0.000
   365    12    31  2017       1       1  Mini_CREATE            0.249       1.517       0.214       1.511       1.810       1.046       0.000       0.676       2.589      28.721       1.926       0.000
   365    12    31  2018       1       1  Mini_CREATE            0.076       0.445       0.062       1.438       1.211       0.288       0.000       0.193       0.554      15.639       0.516       0.000
   365    12    31  2019       1       1  Mini_CREATE            0.091       0.491       0.070       0.433       1.434       0.271       0.000       0.225       2.207      16.958       0.796       0.000
   366    12    31  2020       1       1  Mini_CREATE            0.103       0.613       0.082       0.556       1.174       0.365       0.000       0.266       1.789      18.921       0.884       0.000
   365    12    31  2021       1       1  Mini_CREATE            0.089       0.589       0.089       0.546       0.639       0.355       0.000       0.274       1.059      14.353       0.546       0.000
   365    12    31  2022       1       1  Mini_CREATE            0.062       0.442       0.073       0.284       1.692       0.303       0.000       0.223       1.478      14.051       0.568       0.000
   365    12    31  2023       1       1  Mini_CREATE            0.069       0.471       0.074       0.594       1.151       0.395       0.000       0.223       2.340      14.728       0.828       0.000
