 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha                    kgha             kgha
   366    12    31  1996       1       1  Mini_CREATE            0.000       0.000     -16.757     -65.644          154.202           44.358           10.013            8.489           18.737            0.356            3.226           29.251            2.827            6.221            5.015           87.094           12.794            0.000            0.000
   365    12    31  1997       1       1  Mini_CREATE            0.000       0.000     -21.262     -59.598           98.230           29.150            6.822           14.950           20.463            1.810            3.527           28.678            2.672            6.627            5.383           69.033           10.783            0.000            0.000
   365    12    31  1998       1       1  Mini_CREATE            0.000       0.000     -19.752     -54.452          164.587           45.748            4.337           13.083           21.147            1.762            3.648           18.530            1.873            8.424            7.003           58.906            9.457            0.000            0.000
   365    12    31  1999       1       1  Mini_CREATE            0.000       0.000     -10.689     -48.843          158.348           47.089            2.355           14.562           21.204            3.010            3.668           31.869            3.243            6.849            5.584           57.088           10.269            0.000            0.000
   366    12    31  2000       1       1  Mini_CREATE            0.000       0.000     -19.900     -45.567          107.234           24.739           15.507           11.383           21.553            4.820            3.728           29.471            3.020            6.154            4.955           82.048           12.127            0.000            0.000
   365    12    31  2001       1       1  Mini_CREATE            0.000       0.000     -17.016     -42.030          154.202           44.358            6.755           12.785           21.443            2.337            3.705           23.879            2.694            8.313            6.904           75.150           10.399            0.000            0.000
   365    12    31  2002       1       1  Mini_CREATE            0.000       0.000     -16.152     -37.305           98.230           29.150            6.757           16.130           21.648            3.941            3.753           26.891            2.812            7.008            5.726           54.620            8.813            0.000            0.000
   365    12    31  2003       1       1  Mini_CREATE            0.000       0.000      -1.808     -33.542          164.587           45.748            7.794           10.023           19.304            3.550            3.354           28.798            3.228            6.038            4.852           79.188           11.958            0.000            0.000
   366    12    31  2004       1       1  Mini_CREATE            0.000       0.000      -6.881     -26.930          158.348           47.089            3.295           15.310           21.194            4.699            3.693           23.970            2.983            7.704            6.352           73.113           11.787            0.000            0.000
