 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                           m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                           m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons               
   366    12    31  1996       3       1  Mini_CREATE              6.2230     0.5073E+05     0.3398E+05     0.3462E+03     0.9696E+06     0.4282E-04     0.5687E-05     0.2937E-04     0.3236E+03     0.5838E+02     0.1188E+02     0.5588E-05     0.0000E+00     0.0000E+00     0.1878E+01     0.2019E-02     0.0000E+00     0.0000E+00     0.2019E-02     0.2019E-02     0.0000E+00     0.5286E+01     0.1582E+07     0.1382E+00     0.1671E-04     0.4740E-04     0.7437E+03     0.1754E+03     0.0000E+00     0.1283E-04     0.0000E+00     0.0000E+00     0.1572E+01     0.1031E-02     0.1031E-02     0.1031E-02     0.1031E-02     0.1031E-02     0.0000E+00     0.4588E+01     0.9392E+06     0.5422E-04     0.5771E-05     0.3900E-04     0.2722E+03     0.5893E+02     0.1201E+02     0.5609E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9392E-06     0.9392E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.2144E+00
   365    12    31  1997       3       1  Mini_CREATE              7.7769     0.6300E+05     0.4060E+05     0.5332E+03     0.9710E+06     0.3057E-04     0.4457E-05     0.1694E-04     0.4179E+03     0.7288E+02     0.1382E+02     0.8385E-05     0.0000E+00     0.0000E+00     0.3862E+01     0.3047E-02     0.0000E+00     0.0000E+00     0.3047E-02     0.3047E-02     0.0000E+00     0.2651E+01     0.1996E+07     0.3694E-01     0.1671E-04     0.4726E-04     0.1402E+04     0.2457E+03     0.0000E+00     0.2928E-04     0.0000E+00     0.0000E+00     0.1984E+01     0.1028E-02     0.1028E-02     0.1028E-02     0.1028E-02     0.1028E-02     0.0000E+00     0.2376E+01     0.2016E+07     0.7140E-04     0.9602E-05     0.4333E-04     0.7690E+03     0.1393E+03     0.2776E+02     0.1473E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2016E-05     0.2016E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1333E+00
   365    12    31  1998       3       1  Mini_CREATE              7.8157     0.9051E+05     0.3944E+05     0.7839E+03     0.1003E+07     0.1178E-04     0.2426E+02     0.1102E+02     0.4593E+03     0.7686E+02     0.1604E+02     0.1019E-05     0.0000E+00     0.0000E+00     0.7523E+01     0.3999E+01     0.0000E+00     0.0000E+00     0.6803E+01     0.3379E+01     0.0000E+00     0.1920E+01     0.3822E+07     0.8172E+01     0.1053E+03     0.3900E+02     0.2929E+04     0.4443E+03     0.0000E+00     0.1562E-04     0.0000E+00     0.0000E+00     0.3661E+01     0.3996E+01     0.6036E+00     0.6809E+00     0.6800E+01     0.3376E+01     0.0000E+00     0.1777E+01     0.3840E+07     0.7830E-04     0.6261E+02     0.2465E+02     0.1863E+04     0.2889E+03     0.5968E+02     0.1499E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3840E-05     0.3840E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1229E+00
   365    12    31  1999       3       1  Mini_CREATE              7.8669     0.6597E+05     0.4364E+05     0.1044E+04     0.9739E+06     0.3233E-04     0.2795E+00     0.4855E+00     0.7669E+03     0.6442E+02     0.1257E+02     0.1410E-04     0.0000E+00     0.0000E+00     0.1006E+02     0.4023E+01     0.0000E+00     0.0000E+00     0.6843E+01     0.3400E+01     0.0000E+00     0.2742E+01     0.2574E+07     0.1187E+00     0.5942E+00     0.2197E+00     0.2445E+04     0.2451E+03     0.0000E+00     0.2973E-04     0.0000E+00     0.0000E+00     0.2533E+01     0.2424E-01     0.4523E-02     0.4972E-02     0.4053E-01     0.2064E-01     0.0000E+00     0.2539E+01     0.2624E+07     0.4521E-04     0.1790E+02     0.9618E+01     0.1269E+04     0.1688E+03     0.3565E+02     0.5845E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2624E-05     0.2624E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1023E+00
   366    12    31  2000       3       1  Mini_CREATE              7.7872     0.5520E+05     0.4177E+05     0.1199E+04     0.9894E+06     0.2752E-04     0.3576E-01     0.7169E-01     0.2463E+03     0.3564E+02     0.8288E+01     0.3451E-04     0.0000E+00     0.0000E+00     0.1205E+02     0.4038E+01     0.0000E+00     0.0000E+00     0.6868E+01     0.3413E+01     0.0000E+00     0.6160E+01     0.2023E+07     0.8626E-01     0.3672E+00     0.1325E+00     0.2583E+04     0.1846E+03     0.0000E+00     0.4848E-04     0.0000E+00     0.0000E+00     0.1999E+01     0.1475E-01     0.3091E-02     0.3357E-02     0.2439E-01     0.1262E-01     0.0000E+00     0.6197E+01     0.2020E+07     0.4184E-04     0.3321E+00     0.4790E+00     0.1590E+04     0.1349E+03     0.2714E+02     0.6997E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2020E-05     0.2020E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001       3       1  Mini_CREATE              7.8809     0.8810E+05     0.3960E+05     0.1313E+04     0.9673E+06     0.1871E-04     0.2386E+01     0.1181E+01     0.5468E+03     0.6433E+02     0.1266E+02     0.1990E-06     0.0000E+00     0.0000E+00     0.1554E+02     0.5109E+01     0.0000E+00     0.0000E+00     0.8689E+01     0.4318E+01     0.0000E+00     0.2520E+01     0.3567E+07     0.2338E+01     0.2924E+02     0.1036E+02     0.2411E+04     0.4285E+03     0.0000E+00     0.2953E-05     0.0000E+00     0.0000E+00     0.3480E+01     0.1071E+01     0.1624E+00     0.1831E+00     0.1822E+01     0.9050E+00     0.0000E+00     0.2303E+01     0.3637E+07     0.8973E-04     0.2178E+02     0.8292E+01     0.1420E+04     0.2572E+03     0.5213E+02     0.2069E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3637E-05     0.3637E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1299E+00
   365    12    31  2002       3       1  Mini_CREATE              7.9377     0.6976E+05     0.4455E+05     0.1585E+04     0.1016E+07     0.3854E-04     0.8598E-01     0.1347E+00     0.4742E+03     0.6605E+02     0.1307E+02     0.1398E-04     0.0000E+00     0.0000E+00     0.1818E+02     0.5275E+01     0.0000E+00     0.0000E+00     0.8971E+01     0.4458E+01     0.0000E+00     0.2827E+01     0.2801E+07     0.6589E+00     0.4871E+01     0.1728E+01     0.2937E+04     0.3278E+03     0.0000E+00     0.3859E-04     0.0000E+00     0.0000E+00     0.2645E+01     0.1660E+00     0.2589E-01     0.2908E-01     0.2817E+00     0.1404E+00     0.0000E+00     0.2676E+01     0.2777E+07     0.3645E-04     0.4705E+01     0.2477E+01     0.1824E+04     0.2143E+03     0.4177E+02     0.9326E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2777E-05     0.2777E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.7262E-01
   365    12    31  2003       3       1  Mini_CREATE              7.8722     0.5428E+05     0.4414E+05     0.1614E+04     0.9589E+06     0.4229E-04     0.9626E-02     0.3552E-01     0.5505E+03     0.8588E+02     0.1550E+02     0.3064E-04     0.0000E+00     0.0000E+00     0.1891E+02     0.5276E+01     0.0000E+00     0.0000E+00     0.8972E+01     0.4459E+01     0.0000E+00     0.2578E+01     0.7403E+06     0.1380E+00     0.5620E-02     0.2023E-02     0.1109E+04     0.1263E+03     0.0000E+00     0.4916E-04     0.0000E+00     0.0000E+00     0.7324E+00     0.1262E-02     0.1062E-02     0.1067E-02     0.1427E-02     0.1225E-02     0.0000E+00     0.2276E+01     0.8058E+06     0.2853E-04     0.3446E-01     0.6886E-01     0.4239E+03     0.5044E+02     0.1030E+02     0.1011E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8058E-06     0.8058E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.5840E+00
   366    12    31  2004       3       1  Mini_CREATE              7.9319     0.7939E+05     0.4175E+05     0.1710E+04     0.9880E+06     0.2903E-04     0.1209E+00     0.1328E+00     0.8751E+03     0.1086E+03     0.1846E+02     0.5381E-05     0.0000E+00     0.0000E+00     0.2130E+02     0.5457E+01     0.0000E+00     0.0000E+00     0.9280E+01     0.4612E+01     0.0000E+00     0.2103E+01     0.2486E+07     0.6131E+00     0.5254E+01     0.1827E+01     0.3353E+04     0.3182E+03     0.0000E+00     0.3006E-04     0.0000E+00     0.0000E+00     0.2392E+01     0.1810E+00     0.2816E-01     0.3164E-01     0.3073E+00     0.1531E+00     0.0000E+00     0.1887E+01     0.2492E+07     0.6500E-04     0.2837E+01     0.1467E+01     0.1611E+04     0.1850E+03     0.3641E+02     0.2818E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2492E-05     0.2492E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1898E+00
