 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons               
   365    12    31  2005         1     1  Mini_CREATE                2.0388     0.1674E+05     0.7008E+04     0.6963E+04     0.6523E+04     0.3286E-03     0.4621E-02     0.4886E-02     0.1364E+02     0.2547E+00     0.4754E-01     0.2829E-06     0.0000E+00     0.0000E+00     0.6522E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5525E+00     0.3098E+03     0.2462E+02     0.4512E+03     0.1234E+03     0.2807E+05     0.1531E+04     0.7721E+02     0.2905E-03     0.0000E+00     0.0000E+00     0.1483E+02     0.1165E+02     0.2730E+00     0.3207E+00     0.3133E+01     0.2449E+01     0.0000E+00     0.1323E+01     0.3098E+03     0.1911E+02     0.4513E+03     0.1234E+03     0.2806E+05     0.1531E+04     0.7716E+02     0.4118E-03     0.0000E+00     0.0000E+00     0.2676E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9180E+00
   365    12    31  2006         1     1  Mini_CREATE                2.0388     0.1400E+05     0.6237E+04     0.6755E+04     0.6509E+04     0.5541E-03     0.3972E-02     0.4091E-02     0.1458E+02     0.1127E+01     0.4784E-01     0.5317E-06     0.0000E+00     0.0000E+00     0.6508E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8112E+01     0.1515E+03     0.8086E+01     0.3185E+01     0.5576E+01     0.1374E+05     0.7928E+03     0.2226E+02     0.5270E-03     0.0000E+00     0.0000E+00     0.7306E+01     0.2155E+00     0.1159E-01     0.1227E-01     0.4939E-01     0.4739E-01     0.0000E+00     0.1260E+01     0.1515E+03     0.1190E+02     0.3185E+01     0.5576E+01     0.1371E+05     0.7916E+03     0.2226E+02     0.9065E-03     0.0000E+00     0.0000E+00     0.1308E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7507E+01
   365    12    31  2007         1     1  Mini_CREATE                2.0388     0.1937E+05     0.7602E+04     0.7196E+04     0.7231E+04     0.1183E-01     0.1011E-06     0.1783E-07     0.5507E+01     0.3231E-03     0.2530E-05     0.1270E-21     0.0000E+00     0.0000E+00     0.7228E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6236E+01     0.3499E+03     0.1634E+02     0.1594E+03     0.6325E+02     0.3468E+05     0.2311E+04     0.1059E+03     0.2731E-03     0.0000E+00     0.0000E+00     0.1685E+02     0.5431E+01     0.1662E+00     0.1893E+00     0.1821E+01     0.1346E+01     0.0000E+00     0.2205E+01     0.3499E+03     0.1578E+02     0.1594E+03     0.6325E+02     0.3468E+05     0.2312E+04     0.1059E+03     0.3214E-03     0.0000E+00     0.0000E+00     0.3022E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1312E+02
   366    12    31  2008         1     1  Mini_CREATE                2.0388     0.1749E+05     0.6672E+04     0.6819E+04     0.7230E+04     0.2711E-02     0.7330E-04     0.1316E-03     0.5987E+01     0.2139E+00     0.4266E-01     0.5859E-10     0.0000E+00     0.0000E+00     0.7227E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1060E+01     0.2655E+03     0.9979E+01     0.1060E+02     0.1524E+02     0.2844E+05     0.1770E+04     0.8531E+02     0.4126E-03     0.0000E+00     0.0000E+00     0.1262E+02     0.8464E+00     0.2208E-01     0.2483E-01     0.1751E+00     0.1670E+00     0.0000E+00     0.1294E+01     0.2655E+03     0.1398E+02     0.1060E+02     0.1524E+02     0.2843E+05     0.1770E+04     0.8526E+02     0.6164E-03     0.0000E+00     0.0000E+00     0.2293E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1375E+01
   365    12    31  2009         1     1  Mini_CREATE                2.0388     0.1671E+05     0.7212E+04     0.7208E+04     0.6985E+04     0.1273E-01     0.9865E-04     0.4816E-04     0.5602E+01     0.4300E-03     0.7618E-06     0.1116E-06     0.0000E+00     0.0000E+00     0.6978E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2855E+01     0.2284E+03     0.1317E+02     0.1377E+02     0.1454E+02     0.2237E+05     0.1380E+04     0.5863E+02     0.3319E-03     0.0000E+00     0.0000E+00     0.1084E+02     0.1323E+01     0.3000E-01     0.3430E-01     0.2702E+00     0.2574E+00     0.0000E+00     0.2454E+01     0.2284E+03     0.1707E+02     0.1377E+02     0.1454E+02     0.2235E+05     0.1380E+04     0.5867E+02     0.3908E-03     0.0000E+00     0.0000E+00     0.1972E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6883E+01
   365    12    31  2010         1     1  Mini_CREATE                2.0388     0.1894E+05     0.7305E+04     0.7322E+04     0.7231E+04     0.1712E-02     0.8142E-05     0.1023E-03     0.3191E+01     0.1958E+00     0.3902E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.7231E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1980E+01     0.3073E+03     0.1665E+02     0.3205E+02     0.2775E+02     0.3036E+05     0.1819E+04     0.8694E+02     0.2396E-03     0.0000E+00     0.0000E+00     0.1480E+02     0.2884E+01     0.5609E-01     0.6553E-01     0.5822E+00     0.5529E+00     0.0000E+00     0.1231E+01     0.3073E+03     0.1723E+02     0.3204E+02     0.2774E+02     0.3034E+05     0.1819E+04     0.8689E+02     0.2811E-03     0.0000E+00     0.0000E+00     0.2654E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2103E+01
   365    12    31  2011         1     1  Mini_CREATE                2.0388     0.1442E+05     0.6753E+04     0.7108E+04     0.6251E+04     0.1178E-01     0.4603E-06     0.4077E-06     0.1024E+02     0.1926E+00     0.2207E-04     0.6882E-06     0.0000E+00     0.0000E+00     0.6245E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4738E+01     0.2508E+03     0.1335E+02     0.8477E+02     0.2985E+02     0.1634E+05     0.1326E+04     0.5975E+02     0.4323E-03     0.0000E+00     0.0000E+00     0.1202E+02     0.4210E+01     0.1187E+00     0.1374E+00     0.1300E+01     0.9949E+00     0.0000E+00     0.2768E+01     0.2508E+03     0.1407E+02     0.8476E+02     0.2985E+02     0.1632E+05     0.1326E+04     0.5979E+02     0.6032E-03     0.0000E+00     0.0000E+00     0.2166E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1338E+02
   366    12    31  2012         1     1  Mini_CREATE                2.0388     0.1856E+05     0.6958E+04     0.7320E+04     0.7231E+04     0.2099E-02     0.2992E-03     0.1303E-02     0.1105E+02     0.1145E+01     0.4899E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.7231E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7873E+01     0.2803E+03     0.1476E+02     0.1985E+02     0.2116E+02     0.2880E+05     0.1947E+04     0.8755E+02     0.3387E-03     0.0000E+00     0.0000E+00     0.1344E+02     0.2044E+01     0.4198E-01     0.4865E-01     0.4135E+00     0.3938E+00     0.0000E+00     0.1250E+01     0.2803E+03     0.1680E+02     0.1985E+02     0.2116E+02     0.2878E+05     0.1946E+04     0.8750E+02     0.3882E-03     0.0000E+00     0.0000E+00     0.2421E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7436E+01
   365    12    31  2013         1     1  Mini_CREATE                2.0388     0.1462E+05     0.6211E+04     0.6884E+04     0.6204E+04     0.1257E-01     0.1605E-06     0.6591E-03     0.1041E+02     0.4056E+00     0.8124E-15     0.9382E-06     0.0000E+00     0.0000E+00     0.6198E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5328E+01     0.2003E+03     0.1133E+02     0.1187E+02     0.1281E+02     0.2002E+05     0.1196E+04     0.4905E+02     0.4128E-03     0.0000E+00     0.0000E+00     0.9514E+01     0.1213E+01     0.2812E-01     0.3206E-01     0.2475E+00     0.2359E+00     0.0000E+00     0.2590E+01     0.2003E+03     0.1582E+02     0.1186E+02     0.1281E+02     0.2001E+05     0.1196E+04     0.4909E+02     0.5955E-03     0.0000E+00     0.0000E+00     0.1730E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1367E+02
