 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons 
   365    12    31  2005         1     1  Mini_CREATE           0.3095E+03     0.1019E+03     0.3095E+03     0.1045E+04     0.2488E+02     0.1932E+02     0.1244E+02     0.0000E+00     0.1130E+02     0.2633E+00     0.6616E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.7166E-02     0.5980E+00     0.0000E+00     0.1226E+06     0.7487E+05     0.1226E+06     0.3021E+01
   365    12    31  2006         1     1  Mini_CREATE           0.1502E+03     0.5350E+02     0.1502E+03     0.4937E+03     0.7888E+01     0.1155E+02     0.3944E+01     0.0000E+00     0.3302E+01     0.0000E+00     0.7607E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.8156E+00     0.0000E+00     0.4790E+05     0.2826E+05     0.4790E+05     0.2808E+01
   365    12    31  2007         1     1  Mini_CREATE           0.3496E+03     0.1105E+03     0.3496E+03     0.1184E+04     0.1653E+02     0.1592E+02     0.8265E+01     0.0000E+00     0.7291E+01     0.1084E+00     0.7551E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.2950E-02     0.7742E+00     0.0000E+00     0.1400E+06     0.8182E+05     0.1400E+06     0.2516E+01
   366    12    31  2008         1     1  Mini_CREATE           0.2655E+03     0.8618E+02     0.2655E+03     0.9004E+03     0.9991E+01     0.1392E+02     0.4996E+01     0.0000E+00     0.3944E+01     0.1656E+00     0.8759E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.4508E-02     0.7695E+00     0.0000E+00     0.1102E+06     0.6683E+05     0.1102E+06     0.3557E+01
   365    12    31  2009         1     1  Mini_CREATE           0.2277E+03     0.7655E+02     0.2277E+03     0.7673E+03     0.1323E+02     0.1715E+02     0.6613E+01     0.0000E+00     0.5581E+01     0.4131E-01     0.1050E+02     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.1125E-02     0.1061E+01     0.0000E+00     0.9133E+05     0.5649E+05     0.9133E+05     0.3593E+01
   365    12    31  2010         1     1  Mini_CREATE           0.3049E+03     0.9832E+02     0.3049E+03     0.1033E+04     0.1672E+02     0.1730E+02     0.8361E+01     0.0000E+00     0.7964E+01     0.1276E+00     0.8812E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.3475E-02     0.1062E+01     0.0000E+00     0.1240E+06     0.7500E+05     0.1240E+06     0.3590E+01
   365    12    31  2011         1     1  Mini_CREATE           0.2531E+03     0.8438E+02     0.2531E+03     0.8501E+03     0.1331E+02     0.1404E+02     0.6654E+01     0.0000E+00     0.5384E+01     0.1443E+00     0.7239E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.3929E-02     0.5984E+00     0.0000E+00     0.9561E+05     0.5709E+05     0.9562E+05     0.2633E+01
   366    12    31  2012         1     1  Mini_CREATE           0.2779E+03     0.9114E+02     0.2779E+03     0.9409E+03     0.1474E+02     0.1683E+02     0.7372E+01     0.0000E+00     0.6894E+01     0.1548E+00     0.9303E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.4214E-02     0.1034E+01     0.0000E+00     0.1128E+06     0.6872E+05     0.1128E+06     0.3321E+01
   365    12    31  2013         1     1  Mini_CREATE           0.2027E+03     0.6857E+02     0.2027E+03     0.6784E+03     0.1118E+02     0.1570E+02     0.5588E+01     0.0000E+00     0.4280E+01     0.2691E+00     0.9840E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.7325E-02     0.8569E+00     0.0000E+00     0.7594E+05     0.4507E+05     0.7595E+05     0.3422E+01
   365    12    31  2014         1     1  Mini_CREATE           0.9310E+02     0.3502E+02     0.9311E+02     0.3031E+03     0.5360E+01     0.9318E+01     0.2680E+01     0.0000E+00     0.1723E+01     0.0000E+00     0.6638E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.5036E+00     0.0000E+00     0.2791E+05     0.1674E+05     0.2793E+05     0.3252E+01
   365    12    31  2015         1     1  Mini_CREATE           0.1329E+03     0.4684E+02     0.1328E+03     0.4391E+03     0.8602E+01     0.1195E+02     0.4301E+01     0.0000E+00     0.3629E+01     0.0000E+00     0.7651E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.6985E+00     0.0000E+00     0.4508E+05     0.2790E+05     0.4506E+05     0.3293E+01
   366    12    31  2016         1     1  Mini_CREATE           0.2161E+03     0.7183E+02     0.2161E+03     0.7230E+03     0.1608E+02     0.1758E+02     0.8040E+01     0.0000E+00     0.7602E+01     0.3015E-01     0.9511E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.8208E-03     0.1058E+01     0.0000E+00     0.7910E+05     0.4647E+05     0.7909E+05     0.3787E+01
   365    12    31  2017         1     1  Mini_CREATE           0.4070E+03     0.1262E+03     0.4070E+03     0.1388E+04     0.1758E+02     0.1838E+02     0.8788E+01     0.0000E+00     0.8219E+01     0.1848E+00     0.9404E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.5030E-02     0.9726E+00     0.0000E+00     0.1729E+06     0.1018E+06     0.1729E+06     0.3257E+01
   365    12    31  2018         1     1  Mini_CREATE           0.2186E+03     0.7713E+02     0.2186E+03     0.7385E+03     0.4534E+01     0.7467E+01     0.2267E+01     0.0000E+00     0.1452E+01     0.1059E+00     0.5094E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.2884E-02     0.3395E+00     0.0000E+00     0.8734E+05     0.5675E+05     0.8737E+05     0.2113E+01
   365    12    31  2019         1     1  Mini_CREATE           0.1812E+03     0.6078E+02     0.1811E+03     0.6054E+03     0.1128E+02     0.1519E+02     0.5638E+01     0.0000E+00     0.4739E+01     0.5756E-01     0.9495E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.1567E-02     0.8606E+00     0.0000E+00     0.6625E+05     0.4042E+05     0.6622E+05     0.3920E+01
   366    12    31  2020         1     1  Mini_CREATE           0.2420E+03     0.8258E+02     0.2420E+03     0.8142E+03     0.9546E+01     0.1396E+02     0.4773E+01     0.0000E+00     0.3343E+01     0.1222E+00     0.9062E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.3327E-02     0.6038E+00     0.0000E+00     0.9641E+05     0.5951E+05     0.9643E+05     0.3200E+01
   365    12    31  2021         1     1  Mini_CREATE           0.1371E+03     0.4851E+02     0.1371E+03     0.4527E+03     0.1093E+02     0.1481E+02     0.5465E+01     0.0000E+00     0.4167E+01     0.0000E+00     0.9350E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.7211E+00     0.0000E+00     0.4683E+05     0.2807E+05     0.4682E+05     0.4114E+01
   365    12    31  2022         1     1  Mini_CREATE           0.1582E+03     0.5432E+02     0.1582E+03     0.5309E+03     0.1014E+02     0.1502E+02     0.5071E+01     0.0000E+00     0.3767E+01     0.1553E+00     0.9795E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.4228E-02     0.7384E+00     0.0000E+00     0.6183E+05     0.3831E+05     0.6185E+05     0.4480E+01
   365    12    31  2023         1     1  Mini_CREATE           0.1363E+03     0.4630E+02     0.1363E+03     0.4496E+03     0.9742E+01     0.1270E+02     0.4871E+01     0.0000E+00     0.4189E+01     0.1050E-01     0.7819E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.2859E-03     0.7128E+00     0.0000E+00     0.4596E+05     0.2655E+05     0.4593E+05     0.3314E+01
   366    12    31  2024         1     1  Mini_CREATE           0.2567E+03     0.8613E+02     0.2568E+03     0.8692E+03     0.1011E+02     0.1227E+02     0.5056E+01     0.0000E+00     0.3907E+01     0.1819E+00     0.7028E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.4952E-02     0.4859E+00     0.0000E+00     0.1054E+06     0.6560E+05     0.1054E+06     0.3339E+01
