 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   366    12    31  1996       1       1  Mini_CREATE          730.882     137.037     125.762      74.989       4.984     102.603     268.575     409.293      41.765     204.114     163.414      74.988      53.745     271.877     282.854     265.187      47.001      19.393      30.371       4.484     461.522      22.630       0.000      64.011       4.002       0.000       8.627       0.066      66.253       0.717       0.265       4.002       0.000       0.000       0.000      10.977       5.081      78.889       0.000       2.340
   365    12    31  1997       1       1  Mini_CREATE          813.812      72.141     102.002     109.713       6.230     145.210     310.486     471.495      39.698     212.082     219.715     109.719      52.498     282.854     307.490     267.255      42.049      30.371       0.000       1.352     544.350      29.267       0.000      98.864       5.059       0.000       8.736       0.062     100.871       0.844       0.327       5.059       0.000       0.000       0.000      24.636       6.851     120.229       0.000       3.771
   365    12    31  1998       1       1  Mini_CREATE         1174.720     107.067     106.566     312.964      10.968     376.787     540.426     480.570      51.978     236.012     192.580     312.963      53.885     307.490     365.003     309.099      46.942       0.000       0.000       1.604     522.625      52.855       0.000     268.977       8.779       0.000      31.081       4.998     276.738       1.591       0.597       8.779       0.000       0.000       0.000      57.513      51.136     186.550       0.000       2.672
   365    12    31  1999       1       1  Mini_CREATE          858.506     168.753     140.112     141.373       7.962     185.067     371.920     458.189      38.803     224.980     194.406     141.370      51.885     365.003     317.181     272.264      40.025       0.000      28.261       2.093     524.410      35.732       0.000     124.504       6.464       0.000      12.393       0.985     127.906       1.089       0.409       6.464       0.000       0.000       0.000     -47.822      13.129     171.464       0.000       3.390
   366    12    31  2000       1       1  Mini_CREATE          717.475      58.101      76.077     105.035       6.534     136.285     300.340     465.835      43.658     246.193     175.984     105.033      50.271     317.181     253.375     255.750      36.463      28.261      10.246       0.460     529.873      24.717       0.000      93.871       5.306       0.000       8.530       0.503      95.987       0.894       0.334       5.306       0.000       0.000       0.000     -63.806       7.097     140.886       0.000       2.731
   365    12    31  2001       1       1  Mini_CREATE         1152.456     177.442     138.100     230.763       9.203     291.327     497.234     428.509      42.982     205.490     180.037     230.950      53.449     253.375     364.797     295.076      44.684      10.246      49.181       2.185     475.406      51.361       0.000     204.135       7.169       0.000      17.874       2.528     210.460       1.496       0.536       7.169       0.000       0.000       0.000     111.422      22.492     122.328       0.000       3.114
   365    12    31  2002       1       1  Mini_CREATE          890.299     103.299     150.988     208.422       9.020     253.590     410.059     536.222      36.614     260.871     238.737     208.242      52.496     364.797     289.581     279.272      42.520      49.181       0.036       3.806     624.490      36.148       0.000     172.598       7.338       0.000      26.287       4.965     176.884       1.238       0.443       7.338       0.000       0.000       0.000     -75.216      41.368     176.643       0.000       4.119
   365    12    31  2003       1       1  Mini_CREATE          695.512      75.654      73.270      59.585       3.688      77.197     159.243     508.655      34.635     261.800     212.221      59.578      51.397     289.581     298.028     228.666      36.294       0.036       1.924       1.012     628.182      13.924       0.000      51.769       3.081       0.000       6.384       0.086      53.057       0.431       0.176       3.081       0.000       0.000       0.000       8.448       4.537      93.211       0.000       5.090
   366    12    31  2004       1       1  Mini_CREATE         1028.649     134.221     135.362     178.443       7.095     220.273     367.420     546.661      49.533     251.446     245.683     178.618      52.752     298.028     356.315     275.275      42.207       1.924       0.000       1.497     622.598      34.735       0.000     152.216       5.692       0.000      18.575       2.886     157.048       1.030       0.373       5.692       0.000       0.000       0.000      58.287      24.705     114.461       0.000       4.782
   365    12    31  2005       1       1  Mini_CREATE          760.658     130.513     122.917     140.300       5.661     166.031     265.230     520.918      35.537     267.888     217.492     140.124      51.818     356.315     289.802     240.023      35.325       0.000       6.146       2.845     652.064      20.070       0.000     119.060       4.652       0.000      14.984       3.078     121.919       0.760       0.249       4.652       0.000       0.000       0.000     -66.513      21.691     122.655       0.000       4.585
   365    12    31  2006       1       1  Mini_CREATE          670.641      34.769      40.624      36.491       3.396      51.743     166.512     491.440      35.164     250.349     205.927      36.531      52.080     289.802     296.133     225.479      37.217       6.146       0.000       0.633     644.506      11.855       0.000      31.099       2.853       0.000       5.094       0.038      31.394       0.399       0.144       2.853       0.000       0.000       0.000       6.331       1.257      76.349       0.000       5.256
   365    12    31  2007       1       1  Mini_CREATE          941.226      84.319      84.013     132.367       7.173     172.813     344.712     555.211      43.617     241.385     270.209     132.326      50.552     296.133     289.307     273.054      39.925       0.000       0.000       0.793     636.551      33.273       0.000     111.959       5.840       0.000      15.381       2.575     114.299       0.978       0.355       5.840       0.000       0.000       0.000      -6.826      18.111     128.471       0.000       4.960
   366    12    31  2008       1       1  Mini_CREATE          832.376      85.246      85.126      84.113       5.796     113.570     268.402     541.297      43.053     285.156     213.088      84.113      49.665     289.307     284.638     237.023      35.118       0.000       0.000       0.681     650.839      23.660       0.000      74.971       4.793       0.000       7.894       0.093      76.123       0.734       0.270       4.793       0.000       0.000       0.000      -4.669       4.428     128.353       0.000       5.842
   365    12    31  2009       1       1  Mini_CREATE          795.384     100.643     100.209      60.044       4.424      79.799     206.678     550.349      44.119     269.197     237.033      60.049      51.158     284.638     304.790     247.343      37.546       0.000       0.000       1.382     651.070      15.331       0.000      51.949       3.740       0.000       7.408       0.054      52.546       0.503       0.181       3.740       0.000       0.000       0.000      20.153       2.828     105.004       0.000       4.885
   365    12    31  2010       1       1  Mini_CREATE          932.225     148.774      73.875     111.919       5.868     146.501     296.888     523.870      40.948     265.377     217.545     111.914      53.725     304.790     304.196     268.081      43.612       0.000      74.461       7.661     614.356      28.715       0.000      98.198       4.693       0.000      10.916       0.404     100.532       0.831       0.343       4.693       0.000       0.000       0.000      -0.595       7.917     102.671       0.000       3.802
   365    12    31  2011       1       1  Mini_CREATE          720.845      20.954      94.949     112.772       5.046     136.699     239.321     551.420      41.233     268.664     241.523     112.771      51.127     304.196     277.847     244.812      37.767      74.461       0.000       2.117     664.224      18.882       0.000      96.818       4.153       0.000      10.956       2.391      99.310       0.666       0.227       4.153       0.000       0.000       0.000     -26.349      15.014     112.124       0.000       5.603
   366    12    31  2012       1       1  Mini_CREATE          911.384      99.544      99.361      94.103       5.947     125.804     294.802     535.263      42.613     253.180     239.470      94.139      51.449     277.847     326.443     263.614      39.237       0.000       0.000       1.746     626.977      25.754       0.000      83.084       4.857       0.000       9.129       0.068      84.881       0.791       0.299       4.857       0.000       0.000       0.000      48.596       5.906     112.068       0.000       4.999
   365    12    31  2013       1       1  Mini_CREATE          708.707      87.952      86.927      69.270       4.821      91.664     216.582     525.073      35.284     277.431     212.359      69.234      51.510     326.443     272.547     241.149      36.753       0.000       0.000       1.680     642.147      17.573       0.000      61.316       4.011       0.000       7.009       0.050      62.135       0.579       0.231       4.011       0.000       0.000       0.000     -53.895       3.909     118.623       0.000       3.686
   365    12    31  2014       1       1  Mini_CREATE          635.389      10.259      10.245      23.835       2.716      32.511     101.580     543.066      38.581     290.649     213.836      23.841      48.932     272.547     258.736     189.512      28.422       0.000       0.014       0.215     701.225       5.960       0.000      19.831       2.353       0.000       3.880       0.029      19.933       0.270       0.094       2.353       0.000       0.000       0.000     -13.811       0.710      80.910       0.000       5.525
   365    12    31  2015       1       1  Mini_CREATE          746.694      37.017      36.898      40.103       3.280      54.651     156.318     551.748      38.729     305.129     207.890      40.098      48.424     258.736     285.553     202.728      29.050       0.014       0.000       0.204     736.162      11.268       0.000      33.322       2.826       0.000       6.193       0.045      33.856       0.330       0.124       2.826       0.000       0.000       0.000      26.817       1.617      82.856       0.000       6.112
