 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
   365    12    31  2005       1       0  cha1                 0.2647E+00     0.2173E+04     0.5959E+03     0.8357E+03     0.1344E+03     0.8804E-06     0.6082E-04     0.1147E-04     0.7035E+01     0.7058E-04     0.0000E+00     0.2829E-06     0.0000E+00     0.0000E+00     0.1339E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4764E+00     0.2107E-01     0.3757E+01     0.1579E+03     0.2824E+02     0.1274E+04     0.1836E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3928E+01     0.4087E-01     0.5190E-01     0.5030E+00     0.4975E+00     0.0000E+00     0.1453E+02     0.2109E-01     0.2222E+01     0.1579E+03     0.2824E+02     0.1260E+04     0.1836E+02     0.0000E+00     0.6815E-04     0.0000E+00     0.0000E+00     0.6644E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1506E+02     0.4764E+00
   365    12    31  2005       2       0  cha2                 0.9209E-01     0.7562E+03     0.2844E+03     0.2939E+03     0.3091E+03     0.2340E-07     0.1268E-09     0.0000E+00     0.6095E+00     0.4204E-06     0.0000E+00     0.6663E-28     0.0000E+00     0.0000E+00     0.3091E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4764E+00     0.6057E-01     0.4720E-01     0.5980E+00     0.2369E+00     0.1946E+04     0.1418E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2490E-01     0.4208E-02     0.4679E-02     0.4199E-01     0.2112E-01     0.0000E+00     0.2716E+01     0.6057E-01     0.2575E+00     0.5980E+00     0.2369E+00     0.1946E+04     0.1418E+02     0.0000E+00     0.2479E-04     0.0000E+00     0.0000E+00     0.1910E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1405E+01     0.4764E+00
   365    12    31  2005       3       0  cha3                 0.3673E+00     0.3017E+04     0.1005E+04     0.1205E+04     0.1157E+04     0.1313E-03     0.1389E-02     0.9946E-03     0.4560E+00     0.6964E-01     0.1428E-01     0.3008E-10     0.0000E+00     0.0000E+00     0.1157E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4764E+00     0.9695E-01     0.5255E+00     0.1126E+02     0.4882E+01     0.2047E+04     0.1636E+03     0.2581E+02     0.2309E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.2721E+00     0.4186E-01     0.4709E-01     0.4622E+00     0.2300E+00     0.0000E+00     0.1997E+01     0.9695E-01     0.2514E+01     0.1126E+02     0.4880E+01     0.2048E+04     0.1636E+03     0.2580E+02     0.8323E-04     0.0000E+00     0.0000E+00     0.3056E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1422E+01     0.4764E+00
   365    12    31  2005       4       0  cha4                 0.4855E+00     0.3987E+04     0.1726E+04     0.1599E+04     0.1557E+04     0.6362E-06     0.1107E-05     0.4584E-06     0.2116E+01     0.3591E-02     0.0000E+00     0.2588E-19     0.0000E+00     0.0000E+00     0.1556E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4764E+00     0.7942E-01     0.3671E+01     0.1997E+02     0.8648E+01     0.1526E+04     0.1028E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3563E+01     0.6362E-01     0.7543E-01     0.7428E+00     0.6918E+00     0.0000E+00     0.1726E+01     0.7942E-01     0.2546E+01     0.2003E+02     0.8679E+01     0.1525E+04     0.1030E+03     0.0000E+00     0.5768E-04     0.0000E+00     0.0000E+00     0.2502E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8795E+00     0.4764E+00
   365    12    31  2005       5       0  cha5                 0.6194E+00     0.5086E+04     0.2537E+04     0.2261E+04     0.2419E+04     0.1626E-03     0.2341E-02     0.2786E-02     0.2398E+01     0.1310E+00     0.2406E-01     0.1262E-36     0.0000E+00     0.0000E+00     0.2419E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4764E+00     0.2728E+00     0.6654E+01     0.4458E+02     0.2308E+02     0.9789E+04     0.6126E+03     0.2580E+02     0.1409E-03     0.0000E+00     0.0000E+00     0.5558E+01     0.9611E+00     0.7174E-01     0.8129E-01     0.7901E+00     0.4439E+00     0.0000E+00     0.1167E+01     0.2728E+00     0.4687E+01     0.4461E+02     0.2310E+02     0.9794E+04     0.6128E+03     0.2577E+02     0.7871E-04     0.0000E+00     0.0000E+00     0.8600E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6909E+00     0.4764E+00
   365    12    31  2005       6       0  cha6                 0.2098E+00     0.1723E+04     0.8593E+03     0.7656E+03     0.9474E+03     0.3450E-04     0.8898E-03     0.1078E-02     0.1057E+01     0.5002E-01     0.9135E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.9474E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4764E+00     0.3175E+00     0.1032E+02     0.2211E+03     0.6021E+02     0.1145E+05     0.6327E+03     0.2577E+02     0.1469E-03     0.0000E+00     0.0000E+00     0.9264E+01     0.3160E+01     0.5378E-01     0.6413E-01     0.6310E+00     0.6003E+00     0.0000E+00     0.1146E+01     0.3175E+00     0.7068E+01     0.2211E+03     0.6021E+02     0.1145E+05     0.6328E+03     0.2576E+02     0.9856E-04     0.0000E+00     0.0000E+00     0.1001E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6729E+00     0.4764E+00
   365    12    31  2006       1       0  cha1                 0.2647E+00     0.1818E+04     0.4337E+03     0.7959E+03     0.1187E+03     0.2296E-08     0.5625E-07     0.8893E-07     0.7114E+01     0.2500E-03     0.0000E+00     0.5316E-06     0.0000E+00     0.0000E+00     0.1182E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9321E+01     0.1454E-02     0.2163E-02     0.7320E-02     0.4350E-02     0.5110E+03     0.1368E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3633E-02     0.1813E-02     0.1818E-02     0.2029E-02     0.2026E-02     0.0000E+00     0.1207E+04     0.1455E-02     0.1035E+00     0.7353E-02     0.4315E-02     0.4884E+03     0.1328E-01     0.0000E+00     0.1126E-03     0.0000E+00     0.0000E+00     0.4526E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1246E+04     0.9321E+01
   365    12    31  2006       2       0  cha2                 0.9209E-01     0.6325E+03     0.2739E+03     0.3073E+03     0.3091E+03     0.2031E-07     0.1134E-09     0.0000E+00     0.7275E+00     0.8537E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3091E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9321E+01     0.1880E-01     0.5405E-06     0.1173E-05     0.3519E-05     0.6203E+03     0.5495E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5405E-03     0.5405E-03     0.5405E-03     0.5405E-03     0.5405E-03     0.0000E+00     0.1476E+01     0.1880E-01     0.3807E+00     0.8890E-06     0.1911E-06     0.6197E+03     0.5485E+01     0.0000E+00     0.4156E-04     0.0000E+00     0.0000E+00     0.5925E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1070E+02     0.9321E+01
   365    12    31  2006       3       0  cha3                 0.3673E+00     0.2523E+04     0.7683E+03     0.1097E+04     0.1158E+04     0.1247E-03     0.2671E-03     0.3193E-03     0.5670E+00     0.7555E-01     0.1488E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1158E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9321E+01     0.3690E-01     0.2067E-04     0.3787E+00     0.3292E+00     0.5862E+03     0.3703E+02     0.7417E+01     0.1308E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.9977E-03     0.9983E-03     0.9983E-03     0.9977E-03     0.9977E-03     0.0000E+00     0.1220E+01     0.3690E-01     0.4002E+01     0.3798E+00     0.3299E+00     0.5855E+03     0.3692E+02     0.7416E+01     0.6485E-04     0.0000E+00     0.0000E+00     0.1163E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7677E+01     0.9321E+01
