 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons 
   366    12    31  1996       1       0  cha1                 0.6712E-02     0.6326E-02     0.6698E-02     0.2902E-01     0.6384E-02     0.4941E+00     0.3192E-02     0.0000E+00     0.3192E-02     0.0000E+00     0.4909E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.5871E-01     0.0000E+00     0.1357E+04     0.1279E+04     0.1355E+04     0.4880E-03
   366    12    31  1996       2       0  cha2                 0.4537E-01     0.3619E-01     0.4537E-01     0.2190E+00     0.5420E-06     0.1457E+00     0.2710E-06     0.0000E+00     0.1074E-06     0.0000E+00     0.1457E+00     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.4714E-01     0.0000E+00     0.4020E+05     0.3207E+05     0.4020E+05     0.5494E-04
   366    12    31  1996       3       0  cha3                 0.5564E-01     0.2989E-01     0.5564E-01     0.2477E+00     0.5146E-04     0.6234E+01     0.2573E-04     0.0000E+00     0.9963E-06     0.4335E-02     0.6230E+01     0.0000E+00     0.1292E+01     0.1922E+00     0.5260E-02     0.1180E-03     0.8818E+00     0.0000E+00     0.1427E+05     0.7667E+04     0.1427E+05     0.4641E-02
   366    12    31  1996       4       0  cha4                 0.7549E-01     0.7380E-01     0.7549E-01     0.3182E+00     0.6280E+00     0.5350E+00     0.3140E+00     0.0000E+00     0.2925E+00     0.0000E+00     0.2210E+00     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.2323E-01     0.0000E+00     0.1281E+05     0.1252E+05     0.1281E+05     0.5349E-03
   366    12    31  1996       5       0  cha5                 0.2124E+00     0.6406E-01     0.2124E+00     0.6742E+00     0.7114E+01     0.3680E+01     0.3557E+01     0.0000E+00     0.3516E+01     0.0000E+00     0.1232E+00     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.6092E-02     0.0000E+00     0.1168E+05     0.3522E+04     0.1168E+05     0.1562E-02
   366    12    31  1996       6       0  cha6                 0.2381E+00     0.1887E-01     0.2381E+00     0.6370E+00     0.4562E+01     0.2704E+01     0.2281E+01     0.0000E+00     0.2146E+01     0.0000E+00     0.4230E+00     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.1560E-01     0.0000E+00     0.8666E+04     0.6869E+03     0.8666E+04     0.4834E-03
   365    12    31  1997       1       0  cha1                 0.1706E-01     0.1649E-01     0.1705E-01     0.7377E-01     0.1078E-01     0.1122E+01     0.5388E-02     0.0000E+00     0.5039E-02     0.0000E+00     0.1117E+01     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.1327E+00     0.0000E+00     0.3441E+04     0.3327E+04     0.3439E+04     0.9535E-03
   365    12    31  1997       2       0  cha2                 0.6172E-01     0.4958E-01     0.6172E-01     0.2980E+00     0.5405E-06     0.5941E-01     0.2702E-06     0.0000E+00     0.9033E-07     0.0000E+00     0.5940E-01     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.1882E-01     0.0000E+00     0.5454E+05     0.4381E+05     0.5454E+05     0.1990E-04
   365    12    31  1997       3       0  cha3                 0.9820E-01     0.3607E-01     0.9820E-01     0.4371E+00     0.7462E-04     0.6141E+01     0.3731E-04     0.0000E+00     0.1654E-06     0.2014E+00     0.5940E+01     0.0000E+00     0.1292E+01     0.1977E+00     0.5260E-02     0.5483E-02     0.8264E+00     0.0000E+00     0.2512E+05     0.9228E+04     0.2512E+05     0.4031E-02
   365    12    31  1997       4       0  cha4                 0.6619E-01     0.6417E-01     0.6619E-01     0.2790E+00     0.1636E+01     0.8483E+00     0.8178E+00     0.0000E+00     0.7979E+00     0.0000E+00     0.3054E-01     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.3201E-02     0.0000E+00     0.1120E+05     0.1086E+05     0.1120E+05     0.9259E-03
   365    12    31  1997       5       0  cha5                 0.2504E+00     0.6602E-01     0.2504E+00     0.7949E+00     0.7236E+01     0.4844E+01     0.3618E+01     0.0000E+00     0.3603E+01     0.0000E+00     0.1227E+01     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.6082E-01     0.0000E+00     0.1373E+05     0.3620E+04     0.1373E+05     0.3177E-02
   365    12    31  1997       6       0  cha6                 0.2873E+00     0.1965E-01     0.2873E+00     0.7686E+00     0.6707E+01     0.4770E+01     0.3353E+01     0.0000E+00     0.2740E+01     0.0000E+00     0.1416E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.5287E-01     0.0000E+00     0.1043E+05     0.7134E+03     0.1043E+05     0.1363E-02
   365    12    31  1998       1       0  cha1                 0.3770E-01     0.3613E-01     0.3770E-01     0.1630E+00     0.1516E+01     0.1531E+01     0.7578E+00     0.0000E+00     0.7571E+00     0.0000E+00     0.7728E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.9125E-01     0.0000E+00     0.7603E+04     0.7288E+04     0.7603E+04     0.6961E-03
   365    12    31  1998       2       0  cha2                 0.1158E+00     0.9390E-01     0.1158E+00     0.5589E+00     0.1774E-01     0.2431E+00     0.8871E-02     0.0000E+00     0.8864E-02     0.0000E+00     0.2342E+00     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.7635E-01     0.0000E+00     0.1023E+06     0.8297E+05     0.1023E+06     0.9434E-04
   365    12    31  1998       3       0  cha3                 0.1895E+00     0.6259E-01     0.1895E+00     0.8435E+00     0.7064E+01     0.7517E+01     0.3532E+01     0.0000E+00     0.3532E+01     0.3930E+00     0.3592E+01     0.0000E+00     0.1292E+01     0.2084E+00     0.5260E-02     0.1070E-01     0.4724E+00     0.0000E+00     0.4847E+05     0.1601E+05     0.4847E+05     0.2431E-02
   365    12    31  1998       4       0  cha4                 0.1333E+00     0.1222E+00     0.1333E+00     0.5619E+00     0.1444E+02     0.7269E+01     0.7218E+01     0.0000E+00     0.7207E+01     0.0000E+00     0.5090E-01     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.5353E-02     0.0000E+00     0.2256E+05     0.2068E+05     0.2256E+05     0.1981E-02
   365    12    31  1998       5       0  cha5                 0.4673E+00     0.1069E+00     0.4673E+00     0.1483E+01     0.1678E+02     0.8592E+01     0.8392E+01     0.0000E+00     0.8375E+01     0.0000E+00     0.1998E+00     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.9860E-02     0.0000E+00     0.2562E+05     0.5859E+04     0.2562E+05     0.1383E-02
   365    12    31  1998       6       0  cha6                 0.5367E+00     0.3143E-01     0.5367E+00     0.1436E+01     0.1197E+02     0.6256E+01     0.5984E+01     0.0000E+00     0.5872E+01     0.0000E+00     0.2720E+00     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.1010E-01     0.0000E+00     0.1949E+05     0.1141E+04     0.1949E+05     0.4295E-03
   365    12    31  1999       1       0  cha1                 0.2358E-01     0.2247E-01     0.2358E-01     0.1019E+00     0.5167E+00     0.5561E+00     0.2584E+00     0.0000E+00     0.2557E+00     0.0000E+00     0.2977E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.3549E-01     0.0000E+00     0.4755E+04     0.4531E+04     0.4755E+04     0.3372E-03
   365    12    31  1999       2       0  cha2                 0.7866E-01     0.6356E-01     0.7866E-01     0.3797E+00     0.9944E-04     0.7365E-01     0.4972E-04     0.0000E+00     0.4906E-04     0.0000E+00     0.7360E-01     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.2351E-01     0.0000E+00     0.6950E+05     0.5616E+05     0.6950E+05     0.2604E-04
   365    12    31  1999       3       0  cha3                 0.1269E+00     0.4455E-01     0.1269E+00     0.5650E+00     0.4573E-01     0.3523E+01     0.2287E-01     0.0000E+00     0.2283E-01     0.1844E+00     0.3316E+01     0.0000E+00     0.1292E+01     0.2134E+00     0.5260E-02     0.5020E-02     0.4210E+00     0.0000E+00     0.3247E+05     0.1140E+05     0.3247E+05     0.2292E-02
   365    12    31  1999       4       0  cha4                 0.8464E-01     0.8142E-01     0.8464E-01     0.3567E+00     0.2787E+01     0.1425E+01     0.1394E+01     0.0000E+00     0.1383E+01     0.0000E+00     0.3085E-01     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.3262E-02     0.0000E+00     0.1432E+05     0.1378E+05     0.1432E+05     0.8122E-03
   365    12    31  1999       5       0  cha5                 0.3177E+00     0.8236E-01     0.3177E+00     0.1008E+01     0.5540E+01     0.4182E+01     0.2770E+01     0.0000E+00     0.2758E+01     0.0000E+00     0.1412E+01     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.7005E-01     0.0000E+00     0.1742E+05     0.4516E+04     0.1742E+05     0.3091E-02
   365    12    31  1999       6       0  cha6                 0.3659E+00     0.2443E-01     0.3659E+00     0.9791E+00     0.6046E+01     0.4706E+01     0.3023E+01     0.0000E+00     0.2312E+01     0.0000E+00     0.1683E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.6283E-01     0.0000E+00     0.1328E+05     0.8871E+03     0.1328E+05     0.1495E-02
   366    12    31  2000       1       0  cha1                 0.2065E-01     0.2018E-01     0.2067E-01     0.8927E-01     0.1303E-02     0.3548E+00     0.6515E-03     0.0000E+00     0.6459E-03     0.0000E+00     0.3542E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.4178E-01     0.0000E+00     0.4175E+04     0.4082E+04     0.4181E+04     0.2893E-03
   366    12    31  2000       2       0  cha2                 0.6244E-01     0.5229E-01     0.6245E-01     0.3015E+00     0.5420E-06     0.5855E-01     0.2710E-06     0.0000E+00     0.1555E-06     0.0000E+00     0.5855E-01     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.1941E-01     0.0000E+00     0.5533E+05     0.4633E+05     0.5533E+05     0.2563E-04
