 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
   365    12    31  2021       1       0  hru001                 0.016       0.131       0.013       0.642       0.047       0.386       0.000       0.041       0.000      11.561       0.000       0.000
   365    12    31  2021       2       0  hru002                 0.016       0.131       0.013       0.631       0.044       0.398       0.000       0.040       0.000      11.175       0.000       0.000
   365    12    31  2021       3       0  hru003                 0.000       0.000       0.000       0.000       0.062       0.000       0.000       0.000       0.000      19.017       0.000       0.000
   365    12    31  2021       4       0  hru004                 0.002       0.019       0.002       0.038       6.453       0.007       0.000       0.005       0.000      15.611       0.000       0.000
   365    12    31  2021       5       0  hru005                 0.000       0.004       0.000       0.002       0.296       0.002       0.000       0.001       0.000      23.268       0.000       0.000
   365    12    31  2021       6       0  hru006                 0.002       0.016       0.002       0.042       5.482       0.009       0.000       0.004       0.000      16.868       0.000       0.000
   365    12    31  2021       7       0  hru007                 0.000       0.002       0.000       0.002       0.188       0.002       0.000       0.001       0.000      23.397       0.000       0.000
   365    12    31  2021       8       0  hru008                 0.002       0.019       0.002       0.037       6.617       0.007       0.000       0.005       0.000      15.393       0.000       0.000
   365    12    31  2021       9       0  hru009                 0.002       0.017       0.002       0.095       0.012       0.066       0.000       0.006       0.000      32.161       0.000       0.000
   365    12    31  2021      10       0  hru010                 0.000       0.002       0.000       0.002       0.178       0.003       0.000       0.001       0.000      23.088       0.000       0.000
   365    12    31  2021      11       0  hru011                 0.000       0.005       0.001       0.016       0.187       0.006       0.000       0.001       0.000      23.764       0.000       0.000
   365    12    31  2021      12       0  hru012                 0.000       0.002       0.000       0.016       0.076       0.007       0.000       0.001       0.000      23.902       0.000       0.000
   365    12    31  2021      13       0  hru013                 0.001       0.007       0.001       0.016       0.234       0.006       0.000       0.002       0.000      23.708       0.000       0.000
   365    12    31  2021      14       0  hru014                 0.001       0.006       0.001       0.016       0.213       0.006       0.000       0.002       0.000      23.734       0.000       0.000
   365    12    31  2021      15       0  hru015                 0.001       0.009       0.001       0.016       0.309       0.006       0.000       0.002       0.000      23.615       0.000       0.000
   365    12    31  2021      16       0  hru016                 0.005       0.049       0.005       0.046       0.050       0.050       0.000       0.016       0.000      24.443       0.000       0.000
   365    12    31  2021      17       0  hru017                 0.000       0.000       0.000       0.000       0.086       0.000       0.000       0.000       0.000      18.498       0.000       0.000
   365    12    31  2021      18       0  hru018                 0.021       0.121       0.011       0.071       0.059       0.375       0.000       0.049       0.000      23.445       0.000       0.000
   365    12    31  2021      19       0  hru019                 0.009       0.117       0.012       0.169       0.155       0.349       0.000       0.031       0.000      24.626       0.000       0.000
   365    12    31  2021      20       0  hru020                 0.015       0.099       0.009       0.047       0.072       0.186       0.000       0.040       0.000      21.814       0.000       0.000
   365    12    31  2021      21       0  hru021                 0.000       0.000       0.000       0.000       0.038       0.000       0.000       0.000       0.000      18.954       0.000       0.000
   365    12    31  2021      22       0  hru022                 0.000       0.000       0.000       0.000       0.034       0.000       0.000       0.000       0.000      18.959       0.000       0.000
   365    12    31  2021      23       0  hru023                 0.000       0.000       0.000       0.000       0.347       0.000       0.000       0.000       0.000      25.763       0.000       0.000
