 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha                    kgha             kgha
   365    12    31  2023       1       0  hru001         0.000       0.000     -16.953     -33.628            0.000            0.000            0.000            7.661           16.058           -4.764            2.702           36.814            2.939            5.331            5.034           34.056            3.698            0.000            0.000
   365    12    31  2023       2       0  hru002         0.000       0.000     -16.622     -33.217            0.000            0.000            0.000            7.727           15.939           -4.596            2.681           37.235            2.966            5.331            5.034           34.923            3.760            0.000            0.000
   365    12    31  2023       3       0  hru003         0.000       0.000     -25.312     -42.281            0.000            0.000            0.000            0.075           10.022            2.829            1.640           54.012            5.560            5.331            5.034           63.933            8.523            0.000            0.000
   365    12    31  2023       4       0  hru004         0.000       0.000     -21.687     -40.496            0.000            0.000            0.000            0.000           17.125           -2.415            2.871           55.308            5.679            5.331            5.034           67.738            8.895            0.000            0.000
   365    12    31  2023       5       0  hru005         0.000       0.000     -26.759     -42.965            0.000            0.000            0.000            0.000           17.249           -2.515            2.892           55.294            5.675            5.331            5.034           67.786            8.900            0.000            0.000
   365    12    31  2023       6       0  hru006         0.000       0.000     -22.528     -40.904            0.000            0.000            0.000            0.000           17.145           -2.427            2.874           55.329            5.680            5.331            5.034           67.792            8.901            0.000            0.000
   365    12    31  2023       7       0  hru007         0.000       0.000     -26.843     -43.005            0.000            0.000            0.000            0.000           17.251           -2.517            2.892           55.294            5.674            5.331            5.034           67.787            8.900            0.000            0.000
   365    12    31  2023       8       0  hru008         0.000       0.000     -21.543     -40.426            0.000            0.000            0.000            0.000           17.122           -2.413            2.870           55.306            5.679            5.331            5.034           67.732            8.894            0.000            0.000
   365    12    31  2023       9       0  hru009         0.000       0.000     -33.822     -49.051            0.000            0.000            0.000            0.021           14.418           -0.876            2.407           52.009            5.370            5.331            5.034           60.078            8.093            0.000            0.000
   365    12    31  2023      10       0  hru010         0.000       0.000     -26.849     -43.008            0.000            0.000            0.000            0.000           17.251           -2.517            2.892           55.294            5.674            5.331            5.034           67.787            8.900            0.000            0.000
   365    12    31  2023      11       0  hru011         0.000       0.000     -26.846     -43.007            0.000            0.000            0.000            0.000           17.252           -2.517            2.893           55.294            5.674            5.331            5.034           67.788            8.900            0.000            0.000
   365    12    31  2023      12       0  hru012         0.000       0.000     -26.934     -43.049            0.000            0.000            0.000            0.000           17.254           -2.519            2.893           55.294            5.674            5.331            5.034           67.789            8.900            0.000            0.000
   365    12    31  2023      13       0  hru013         0.000       0.000     -26.810     -42.989            0.000            0.000            0.000            0.000           17.251           -2.517            2.892           55.295            5.674            5.331            5.034           67.787            8.900            0.000            0.000
   365    12    31  2023      14       0  hru014         0.000       0.000     -26.826     -42.997            0.000            0.000            0.000            0.000           17.251           -2.517            2.892           55.295            5.674            5.331            5.034           67.788            8.900            0.000            0.000
   365    12    31  2023      15       0  hru015         0.000       0.000     -26.750     -42.960            0.000            0.000            0.000            0.000           17.249           -2.515            2.892           55.295            5.675            5.331            5.034           67.786            8.900            0.000            0.000
   365    12    31  2023      16       0  hru016         0.000       0.000     -29.268     -45.955            0.000            0.000            0.000            0.352           13.771           -0.258            2.297           52.951            5.455            5.331            5.034           63.063            8.267            0.000            0.000
   365    12    31  2023      17       0  hru017         0.000       0.000     -25.152     -42.193            0.000            0.000            0.000            0.073           10.070            2.812            1.647           54.147            5.571            5.331            5.034           64.244            8.556            0.000            0.000
   365    12    31  2023      18       0  hru018         0.000       0.000     -27.499     -43.641            0.000            0.000            0.000            0.107            9.973            2.159            1.639           50.022            5.240            5.331            5.034           58.389            7.787            0.000            0.000
   365    12    31  2023      19       0  hru019         0.000       0.000     -27.260     -43.274            0.000            0.000            0.000            0.002           17.259           -2.544            2.894           55.177            5.663            5.331            5.034           67.539            8.875            0.000            0.000
   365    12    31  2023      20       0  hru020         0.000       0.000     -26.725     -43.184            0.000            0.000            0.000            0.098            9.992            2.412            1.639           51.596            5.367            5.331            5.034           60.696            8.097            0.000            0.000
   365    12    31  2023      21       0  hru021         0.000       0.000     -25.267     -42.259            0.000            0.000            0.000            0.074           10.018            2.835            1.639           54.038            5.562            5.331            5.034           64.002            8.529            0.000            0.000
   365    12    31  2023      22       0  hru022         0.000       0.000     -25.271     -42.261            0.000            0.000            0.000            0.074           10.018            2.835            1.639           54.038            5.562            5.331            5.034           64.003            8.529            0.000            0.000
   365    12    31  2023      23       0  hru023         0.000       0.000     -14.850     -33.968            0.000            0.000            0.000            0.000          124.695          -78.582           21.274           96.071            7.563            5.331            5.034          178.457           14.401            0.000            0.000
   365    12    31  2023      24       0  hru024         0.000       0.000     -14.864     -33.974            0.000            0.000            0.000            0.000          124.698          -78.584           21.275           96.069            7.563            5.331            5.034          178.452           14.401            0.000            0.000
   365    12    31  2023      25       0  hru025         0.000       0.000     -25.232     -42.242            0.000            0.000            0.000            0.074           10.018            2.835            1.639           54.035            5.561            5.331            5.034           63.993            8.528            0.000            0.000
   365    12    31  2023      26       0  hru026         0.000       0.000     -25.277     -42.264            0.000            0.000            0.000            0.074           10.019            2.834            1.639           54.035            5.561            5.331            5.034           63.997            8.529            0.000            0.000
   365    12    31  2023      27       0  hru027         0.000       0.000     -28.618     -44.463            0.000            0.000            0.000            0.220            9.935            2.633            1.628           52.523            5.422            5.331            5.034           61.681            8.169            0.000            0.000
