 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   365    12    31  2023       1       0  hru001               792.783      57.405      57.079      86.230       0.408      86.638     106.194     601.366      82.063     461.634      57.668      86.230      65.068     465.508     438.628     383.775      50.976       0.000       0.000       1.100     687.430       0.000       0.000       0.000       0.000       0.000       0.000       0.000      86.230       0.000       0.000       0.408       0.000       0.000       0.000      -1.410      31.317      25.251       0.000       0.000
   365    12    31  2023       2       0  hru002               792.783      57.405      57.079      90.896       0.396      91.292     102.102     600.602      82.063     461.812      56.727      90.896      65.332     467.667     444.644     383.797      50.963       0.000       0.000       1.100     687.430       0.000       0.000       0.000       0.000       0.000       0.000       0.000      90.896       0.000       0.000       0.396       0.000       0.000       0.000      -1.207      38.581      24.484       0.000       0.000
   365    12    31  2023       3       0  hru003               792.783      57.404      57.091       0.000       1.662       1.663     258.565     536.824      82.065     440.384      14.375       0.000      16.576     312.191     270.105     173.588      26.649       0.000       0.000       1.101     687.418       0.000       0.000       0.000       2.054       0.000       0.000       0.000       0.000       0.000       0.000       1.662       0.000       0.000       0.000      -2.207       0.000       5.309       0.000       0.000
   365    12    31  2023       4       0  hru004               792.783      57.406      57.094       0.946     103.883     104.829     134.730     555.060      82.062     458.892      14.106       0.945      27.534     330.571     297.738     210.918      43.494       0.000       0.000       1.101     687.438       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.945       0.000       0.000     103.883       0.000       0.000       0.000      -1.722       0.117     274.944       0.000       0.000
   365    12    31  2023       5       0  hru005               792.783      57.406      57.093       0.431       5.046       5.477     234.133     555.609      82.063     459.404      14.143       0.430      16.654     362.958     316.729     220.506      43.735       0.000       0.000       1.101     687.432       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.430       0.000       0.000       5.046       0.000       0.000       0.000      -2.425       0.103      13.356       0.000       0.000
   365    12    31  2023       6       0  hru006               792.783      57.405      57.092       1.446      88.344      89.790     149.813     555.103      82.064     458.939      14.100       1.446      28.379     336.190     301.368     212.423      43.510       0.000       0.000       1.101     687.426       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.446       0.000       0.000      88.344       0.000       0.000       0.000      -1.826       0.091     233.817       0.000       0.000
   365    12    31  2023       7       0  hru007               792.783      57.406      57.093       0.470       3.220       3.690     235.918     555.624      82.062     459.418      14.144       0.470      16.656     363.494     316.975     220.675      43.744       0.000       0.000       1.101     687.434       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.470       0.000       0.000       3.220       0.000       0.000       0.000      -2.440       0.089       8.521       0.000       0.000
   365    12    31  2023       8       0  hru008               792.783      57.406      57.094       0.875     106.503     107.378     132.177     555.047      82.062     458.878      14.107       0.875      27.391     329.562     297.100     210.663      43.491       0.000       0.000       1.101     687.438       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.875       0.000       0.000     106.503       0.000       0.000       0.000      -1.703       0.056     281.877       0.000       0.000
   365    12    31  2023       9       0  hru009               792.783      57.404      57.090      12.458       0.459      12.916     352.028     549.005      82.066     450.997      15.942      12.458      43.357     410.661     311.247     215.360      29.106       0.000       0.000       1.101     687.414       0.000       0.000     109.528       6.417       0.000      12.458       0.000       0.000       0.459       0.000       0.000       0.000       0.000       0.000      -5.214      13.917       6.927       0.000       0.000
   365    12    31  2023      10       0  hru010               792.783      57.406      57.094       0.473       3.083       3.556     236.043     555.634      82.061     459.431      14.143       0.473      16.656     363.534     316.988     220.681      43.744       0.000       0.000       1.101     687.442       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.473       0.000       0.000       3.083       0.000       0.000       0.000      -2.441       0.074       8.159       0.000       0.000
