 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
        jday         mon         day          yr   name        type   objtyp      typ_no hyd_typ fraction              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
         365          12          31        2021 rtu001          ru      ru           75 tot   1.000000       2911.248      3.2029189E-02  0.2622113      0.1074445       1.384691      0.7716974      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.3425353E-02  1.1464335E-03  1.2053811E-03  9.9178683E-03  9.2910556E-03  0.0000000E+00   3.169901    
         365          12          31        2021 rtu001          ru      aqu           1 rhg   1.000000       2246.137      0.0000000E+00  0.0000000E+00  0.0000000E+00   43.66141      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.163170    
         365          12          31        2021 rtu002          ru      ru          153 tot   1.000000       4177.140      4.3248851E-02  0.3624457      0.1481480       1.887042       1.104043      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.6075415E-02  1.4801538E-03  1.5616831E-03  1.3600306E-02  1.2734346E-02  0.0000000E+00   2.182696    
         365          12          31        2021 rtu002          ru      aqu           1 rhg   1.000000       2985.136      0.0000000E+00  0.0000000E+00  0.0000000E+00   59.10224      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.121639    
         365          12          31        2021 rtu004          ru      ru          269 tot   1.000000       2733.909      3.7139372E-03  3.8343009E-02  1.4111177E-02   13.27826      1.5102776E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7689710E-03  5.4106890E-04  5.6902616E-04  2.7838496E-03  1.5446107E-03  0.0000000E+00   1046.052    
         365          12          31        2021 rtu004          ru      aqu           1 rhg   1.000000       3559.794      0.0000000E+00  0.0000000E+00  0.0000000E+00   16.70646      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5247684E-02
         365          12          31        2021 rtu005          ru      ru          251 tot   1.000000       214.2268      9.8803442E-04  1.2236536E-02  4.5247152E-03  0.9063196      6.5396046E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.5645337E-04  3.6300434E-04  3.7196383E-04  1.0816409E-03  6.8455870E-04  0.0000000E+00   842288.7    
         365          12          31        2021 rtu005          ru      aqu           1 rhg   1.000000       9158.884      0.0000000E+00  0.0000000E+00  0.0000000E+00   44.06610      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5144599E-02
         365          12          31        2021 rtu006          ru      ru          254 tot   1.000000       485.9377      5.1389140E-04  5.4671052E-03  2.0136207E-03   1.865932      3.1951552E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.7812556E-04  3.0297585E-04  3.0695854E-04  6.2290730E-04  4.4611629E-04  0.0000000E+00   44277.25    
         365          12          31        2021 rtu006          ru      aqu           1 rhg   1.000000       819.8645      0.0000000E+00  0.0000000E+00  0.0000000E+00   3.876176      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5322957E-02
         365          12          31        2021 rtu007          ru      ru          254 tot   1.000000       46.47147      1.6228126E-04  1.9493799E-03  7.2138023E-04  0.1653451      2.0532527E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.4669813E-04  2.8405557E-04  2.8547802E-04  3.9849037E-04  3.3524909E-04  0.0000000E+00  5.2281536E+07
         365          12          31        2021 rtu007          ru      aqu           1 rhg   1.000000       2951.560      0.0000000E+00  0.0000000E+00  0.0000000E+00   14.20319      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5136018E-02
         365          12          31        2021 rtu008          ru      ru          265 tot   1.000000       993.9458      1.1770359E-03  1.1833732E-02  4.3558180E-03   4.147849      4.4123936E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.3929410E-04  3.6035091E-04  3.6897807E-04  1.0525377E-03  6.7004806E-04  0.0000000E+00   7840.464    
         365          12          31        2021 rtu008          ru      aqu           1 rhg   1.000000       1239.980      0.0000000E+00  0.0000000E+00  0.0000000E+00   5.812564      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5234354E-02
