 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha                    kgha             kgha
   365    12    31  2021       1       0  rtu001                 0.000       0.000     -15.458     -27.635            0.000            0.000            0.000            7.856           15.767           -6.493            2.654           30.066            2.330            6.578            5.606           26.436            2.472            0.000            0.000
   365    12    31  2021       2       0  rtu002                 0.000       0.000     -15.114     -27.233            0.000            0.000            0.000            7.995           15.634           -6.309            2.630           30.465            2.356            6.578            5.606           27.017            2.530            0.000            0.000
   365    12    31  2021       3       0  rtu003                 0.000       0.000     -25.945     -38.266            0.000            0.000            0.000            0.079           10.117            2.281            1.649           51.679            5.348            6.578            5.606           63.015            7.843            0.000            0.000
   365    12    31  2021       4       0  rtu004                 0.000       0.000     -22.321     -36.156            0.000            0.000            0.000            0.000           17.307           -3.055            2.891           54.477            5.562            6.545            5.575           67.791            8.325            0.000            0.000
   365    12    31  2021       5       0  rtu005                 0.000       0.000     -28.560     -39.587            0.000            0.000            0.000            0.002           17.451           -3.151            2.915           54.614            5.543            6.545            5.575           67.958            8.301            0.000            0.000
   365    12    31  2021       6       0  rtu006                 0.000       0.000     -23.349     -36.720            0.000            0.000            0.000            0.000           17.329           -3.067            2.895           54.517            5.562            6.545            5.575           67.849            8.326            0.000            0.000
   365    12    31  2021       7       0  rtu007                 0.000       0.000     -28.664     -39.644            0.000            0.000            0.000            0.002           17.453           -3.153            2.915           54.614            5.542            6.545            5.575           67.957            8.299            0.000            0.000
   365    12    31  2021       8       0  rtu008                 0.000       0.000     -22.142     -36.058            0.000            0.000            0.000            0.000           17.303           -3.054            2.890           54.468            5.562            6.545            5.575           67.778            8.324            0.000            0.000
   365    12    31  2021       9       0  rtu009                 0.000       0.000     -36.716     -46.252            0.000            0.000            0.000            0.027           14.689           -1.717            2.445           50.034            5.074            6.545            5.575           59.570            7.326            0.000            0.000
   365    12    31  2021      10       0  rtu010                 0.000       0.000     -28.408     -39.452            0.000            0.000            0.000            0.002           17.430           -3.074            2.911           54.775            5.558            6.514            5.547           68.381            8.330            0.000            0.000
   365    12    31  2021      11       0  rtu011                 0.000       0.000     -29.002     -39.921            0.000            0.000            0.000            0.002           17.420           -3.189            2.910           54.433            5.518            6.578            5.606           67.673            8.267            0.000            0.000
   365    12    31  2021      12       0  rtu012                 0.000       0.000     -29.115     -39.983            0.000            0.000            0.000            0.002           17.423           -3.190            2.911           54.433            5.517            6.578            5.606           67.673            8.266            0.000            0.000
   365    12    31  2021      13       0  rtu013                 0.000       0.000     -28.957     -39.897            0.000            0.000            0.000            0.002           17.419           -3.188            2.910           54.432            5.518            6.578            5.606           67.672            8.267            0.000            0.000
   365    12    31  2021      14       0  rtu014                 0.000       0.000     -28.978     -39.908            0.000            0.000            0.000            0.002           17.420           -3.188            2.910           54.432            5.518            6.578            5.606           67.672            8.267            0.000            0.000
   365    12    31  2021      15       0  rtu015                 0.000       0.000     -28.880     -39.854            0.000            0.000            0.000            0.002           17.417           -3.187            2.910           54.431            5.519            6.578            5.606           67.671            8.268            0.000            0.000
   365    12    31  2021      16       0  rtu016                 0.000       0.000     -30.392     -42.163            0.000            0.000            0.000            0.344           13.949           -1.017            2.321           50.994            5.283            6.578            5.606           62.646            7.701            0.000            0.000
   365    12    31  2021      17       0  rtu017                 0.000       0.000     -25.533     -37.979            0.000            0.000            0.000            0.066           10.196            2.335            1.661           52.170            5.391            6.545            5.575           63.847            7.942            0.000            0.000
   365    12    31  2021      18       0  rtu018                 0.000       0.000     -29.691     -40.571            0.000            0.000            0.000            0.126           10.151            1.762            1.660           48.962            5.095            6.578            5.606           57.311            7.279            0.000            0.000
   365    12    31  2021      19       0  rtu019                 0.000       0.000     -30.041     -40.632            0.000            0.000            0.000            0.005           17.431           -3.254            2.912           54.187            5.489            6.578            5.606           67.195            8.211            0.000            0.000
   365    12    31  2021      20       0  rtu020                 0.000       0.000     -28.290     -39.737            0.000            0.000            0.000            0.118           10.136            1.945            1.656           49.964            5.190            6.578            5.606           59.552            7.505            0.000            0.000
   365    12    31  2021      21       0  rtu021                 0.000       0.000     -25.897     -38.239            0.000            0.000            0.000            0.078           10.114            2.288            1.649           51.708            5.350            6.578            5.606           63.078            7.849            0.000            0.000
   365    12    31  2021      22       0  rtu022                 0.000       0.000     -25.902     -38.242            0.000            0.000            0.000            0.078           10.114            2.287            1.649           51.708            5.350            6.578            5.606           63.079            7.850            0.000            0.000
   365    12    31  2021      23       0  rtu023                 0.000       0.000     -16.829     -30.551            0.000            0.000            0.000            0.000          125.981          -84.348           21.457          100.248            7.555            6.578            5.606          174.399           13.291            0.000            0.000
   365    12    31  2021      24       0  rtu024                 0.000       0.000     -16.848     -30.561            0.000            0.000            0.000            0.000          125.983          -84.352           21.457          100.243            7.555            6.578            5.606          174.389           13.290            0.000            0.000
   365    12    31  2021      25       0  rtu025                 0.000       0.000     -25.857     -38.217            0.000            0.000            0.000            0.078           10.113            2.288            1.649           51.704            5.350            6.578            5.606           63.070            7.849            0.000            0.000
