 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    365    12    31  2021      1       0  rtu001               833.765      79.048      79.527     144.682       0.444     145.126     111.970     575.316      85.857     415.479      73.979     144.683      68.296     321.519     376.790     402.650      56.863      19.995       0.000       1.529     628.185       0.000       0.000       0.000       0.000       0.000       0.000       0.000     144.683       0.000       0.000       0.444       0.000       0.000       0.000       2.118      52.546      27.469       0.000       0.000
    365    12    31  2021      2       0  rtu002               833.765      79.048      79.527     150.092       0.430     150.522     107.568     574.191      85.857     415.585      72.748     150.092      68.520     323.579     382.244     402.092      56.757      19.995       0.000       1.529     628.185       0.000       0.000       0.000       0.000       0.000       0.000       0.000     150.092       0.000       0.000       0.430       0.000       0.000       0.000       2.248      63.706      26.632       0.000       0.000
    365    12    31  2021      3       0  rtu003               833.765      79.047      79.535       0.000       2.093       2.093     327.224     507.885      85.860     407.248      14.777       0.000      16.736     233.396     225.953     189.499      28.709      19.995       0.000       1.529     628.167       0.000       0.000       0.000       2.385       0.000       0.000       0.000       0.000       0.000       0.000       2.093       0.000       0.000       0.000      -0.285       0.000       6.684       0.000       0.000
    365    12    31  2021      4       0  rtu004               826.870      77.583      78.018       2.035     131.772     133.807     174.229     520.425      89.484     416.934      14.007       2.035      30.559     274.500     250.211     227.790      45.893      16.974       0.000       1.442     630.001       0.000       0.000       0.000       0.000       0.000       0.000       0.000       2.035       0.000       0.000     131.772       0.000       0.000       0.000      -0.931       0.251     348.756       0.000       0.000
    365    12    31  2021      5       0  rtu005               826.870      77.582      78.018       0.611       6.422       7.033     300.694     520.703      89.485     417.104      14.114       0.611      16.891     281.092     257.391     239.453      46.281      16.974       0.000       1.442     629.994       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.611       0.000       0.000       6.422       0.000       0.000       0.000      -0.908       0.147      16.998       0.000       0.000
    365    12    31  2021      6       0  rtu006               826.870      77.581      78.017       2.605     112.021     114.626     193.395     520.426      89.487     416.930      14.009       2.605      31.660     275.463     251.523     229.584      45.906      16.974       0.000       1.442     629.985       0.000       0.000       0.000       0.000       0.000       0.000       0.000       2.605       0.000       0.000     112.021       0.000       0.000       0.000      -0.918       0.165     296.482       0.000       0.000
    365    12    31  2021      7       0  rtu007               826.870      77.582      78.018       0.672       4.098       4.770     302.946     520.714      89.485     417.111      14.118       0.672      16.897     281.207     257.502     239.660      46.295      16.974       0.000       1.442     629.996       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.672       0.000       0.000       4.098       0.000       0.000       0.000      -0.908       0.127      10.845       0.000       0.000
    365    12    31  2021      8       0  rtu008               826.870      77.583      78.018       1.951     135.106     137.057     170.983     520.423      89.484     416.930      14.008       1.951      30.372     274.347     249.977     227.486      45.891      16.974       0.000       1.442     630.001       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.951       0.000       0.000     135.106       0.000       0.000       0.000      -0.934       0.125     357.580       0.000       0.000
    365    12    31  2021      9       0  rtu009               826.870      77.580      78.013      20.926       0.627      21.554     439.961     520.694      89.489     413.845      17.359      20.926      44.467     254.946     235.278     241.275      32.619      16.974       0.000       1.442     629.969       0.000       0.000     146.481       7.453       0.000      20.926       0.000       0.000       0.627       0.000       0.000       0.000       0.000       0.000      -0.754      23.377       9.478       0.000       0.000
    365    12    31  2021     10       0  rtu010               820.551      76.600      76.988       0.882       3.830       4.712     296.776     520.667      89.302     417.282      14.082       0.881      16.903     277.076     250.988     238.275      46.157      15.724       0.000       1.392     630.407       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.881       0.000       0.000       3.830       0.000       0.000       0.000      -1.000       0.138      10.137       0.000       0.000
