 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                           m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                           m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons               
   365    12    31  2005         1         0  res1                 0.7648E+01     0.6254E+05     0.4190E+05     0.0000E+00     0.9419E+06     0.2094E-04     0.1194E+01     0.8703E+00     0.3039E+03     0.6064E+02     0.1243E+02     0.1709E-04     0.0000E+00     0.0000E+00     0.2657E+01     0.3502E+00     0.0000E+00     0.0000E+00     0.5955E+00     0.2960E+00     0.0000E+00     0.9973E+00     0.2037E+07     0.9306E+00     0.9144E+01     0.3639E+01     0.2038E+04     0.1501E+03     0.0000E+00     0.2508E-04     0.0000E+00     0.0000E+00     0.1911E+01     0.3479E+00     0.5283E-01     0.5955E-01     0.5918E+00     0.2940E+00     0.0000E+00     0.9977E+00     0.1886E+07     0.4279E-04     0.4543E+01     0.2215E+01     0.1335E+04     0.1272E+03     0.2575E+02     0.2366E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1886E-05     0.1886E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1000E+01
   365    12    31  2005         2         0  res2                 0.4851E-01     0.3950E+03     0.2637E+03     0.4248E+03     0.4332E+04     0.1204E-05     0.2973E-06     0.6532E-06     0.5111E+01     0.6969E+01     0.6528E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1185E-02     0.0000E+00     0.0000E+00     0.1185E-02     0.1185E-02     0.0000E+00     0.2359E+01     0.2026E+04     0.1247E-03     0.1648E-05     0.4945E-05     0.2374E+02     0.3894E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6047E-03     0.6047E-03     0.6047E-03     0.6047E-03     0.6047E-03     0.0000E+00     0.2125E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2006         1         0  res1                 0.7608E+01     0.5223E+05     0.4217E+05     0.0000E+00     0.9449E+06     0.3115E-04     0.2314E+00     0.2826E+00     0.4273E+03     0.6547E+02     0.1309E+02     0.2524E-04     0.0000E+00     0.0000E+00     0.3250E+01     0.3507E+00     0.0000E+00     0.0000E+00     0.5959E+00     0.2964E+00     0.0000E+00     0.1028E+01     0.5965E+06     0.3806E+00     0.1494E-04     0.4234E-04     0.6440E+03     0.6984E+02     0.0000E+00     0.4090E-04     0.0000E+00     0.0000E+00     0.5928E+00     0.4236E-03     0.4236E-03     0.4236E-03     0.4236E-03     0.4236E-03     0.0000E+00     0.1018E+01     0.6035E+06     0.1947E-04     0.3770E+00     0.3330E+00     0.2206E+03     0.3567E+02     0.7422E+01     0.1303E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6035E-06     0.6035E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.5567E+00
   365    12    31  2006         2         0  res2                 0.6157E-01     0.4268E+03     0.3359E+03     0.5392E+03     0.5222E+04     0.1809E-05     0.2985E-06     0.4434E-06     0.5855E+01     0.8833E+01     0.8175E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1789E-02     0.0000E+00     0.0000E+00     0.1789E-02     0.1789E-02     0.0000E+00     0.2000E+01     0.1339E+04     0.0000E+00     0.1648E-05     0.4945E-05     0.2904E+02     0.3259E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6047E-03     0.6047E-03     0.6047E-03     0.6047E-03     0.6047E-03     0.0000E+00     0.1822E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2007         1         0  res1                 0.7787E+01     0.7393E+05     0.4283E+05     0.0000E+00     0.9787E+06     0.2697E-04     0.1461E+00     0.2166E+00     0.4403E+03     0.7433E+02     0.1452E+02     0.1877E-04     0.0000E+00     0.0000E+00     0.5451E+01     0.5680E+00     0.0000E+00     0.0000E+00     0.9655E+00     0.4802E+00     0.0000E+00     0.1017E+01     0.2293E+07     0.8862E+00     0.5618E+01     0.2111E+01     0.3395E+04     0.2291E+03     0.0000E+00     0.4060E-04     0.0000E+00     0.0000E+00     0.2201E+01     0.2174E+00     0.3314E-01     0.3733E-01     0.3696E+00     0.1837E+00     0.0000E+00     0.1015E+01     0.2290E+07     0.4640E-04     0.3112E+01     0.1856E+01     0.1824E+04     0.1825E+03     0.3527E+02     0.2292E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2290E-05     0.2290E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1171E+00
   365    12    31  2007         2         0  res2                 0.8370E-01     0.7790E+03     0.4561E+03     0.7329E+03     0.7055E+04     0.2410E-05     0.4335E-06     0.6434E-06     0.5876E+01     0.6177E+01     0.6695E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2394E-02     0.0000E+00     0.0000E+00     0.2394E-02     0.2394E-02     0.0000E+00     0.5156E+01     0.2243E+04     0.2055E-04     0.1648E-05     0.4945E-05     0.2069E+02     0.6108E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6047E-03     0.6047E-03     0.6047E-03     0.6047E-03     0.6047E-03     0.0000E+00     0.4924E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  2008         1         0  res1                 0.7739E+01     0.6644E+05     0.4286E+05     0.0000E+00     0.9378E+06     0.2405E-04     0.1901E-01     0.3415E-01     0.4057E+03     0.5284E+02     0.1107E+02     0.2368E-04     0.0000E+00     0.0000E+00     0.7259E+01     0.5757E+00     0.0000E+00     0.0000E+00     0.9783E+00     0.4867E+00     0.0000E+00     0.1000E+01     0.1819E+07     0.1701E+00     0.1921E+00     0.7087E-01     0.2241E+04     0.1600E+03     0.0000E+00     0.4403E-04     0.0000E+00     0.0000E+00     0.1808E+01     0.7699E-02     0.1518E-02     0.1658E-02     0.1281E-01     0.6570E-02     0.0000E+00     0.1000E+01     0.1884E+07     0.4891E-04     0.1728E+00     0.2066E+00     0.1171E+04     0.1473E+03     0.2846E+02     0.1705E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1884E-05     0.1884E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.4041E+00
   366    12    31  2008         2         0  res2                 0.9965E-01     0.8510E+03     0.5446E+03     0.8751E+03     0.8415E+04     0.3017E-05     0.4779E-06     0.7191E-06     0.6375E+01     0.8144E+01     0.8618E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3000E-02     0.0000E+00     0.0000E+00     0.3000E-02     0.3000E-02     0.0000E+00     0.5106E+01     0.1929E+04     0.0000E+00     0.1653E-05     0.4959E-05     0.2115E+02     0.6752E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6063E-03     0.6063E-03     0.6063E-03     0.6063E-03     0.6063E-03     0.0000E+00     0.4752E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2009         1         0  res1                 0.7694E+01     0.6291E+05     0.4268E+05     0.0000E+00     0.9831E+06     0.4037E-04     0.7752E-03     0.4530E-02     0.3915E+03     0.6629E+02     0.1330E+02     0.1667E-04     0.0000E+00     0.0000E+00     0.8755E+01     0.5761E+00     0.0000E+00     0.0000E+00     0.9787E+00     0.4872E+00     0.0000E+00     0.1009E+01     0.1502E+07     0.1884E+00     0.1519E-04     0.4224E-04     0.1398E+04     0.1408E+03     0.0000E+00     0.4131E-04     0.0000E+00     0.0000E+00     0.1496E+01     0.4236E-03     0.4236E-03     0.4236E-03     0.4236E-03     0.4236E-03     0.0000E+00     0.1007E+01     0.1477E+07     0.5495E-04     0.8971E-02     0.2327E-01     0.6848E+03     0.9690E+02     0.1953E+02     0.2259E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1477E-05     0.1477E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1362E+00
