 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   366    12    31  1996       1       0  aqu1                    251.896          2.632         21.367        267.532         13.377          6.533          0.000          0.000          0.000          0.000         41.993         40.551          1.403          0.039          0.000          0.000          0.000
   365    12    31  1997       1       0  aqu1                    277.020          1.958         25.527        309.414         15.471          5.521          0.000          0.000          0.000          0.000         60.852         58.953          1.844          0.055          0.000          0.000          0.000
   365    12    31  1998       1       0  aqu1                    498.081          0.999         31.842        538.661         26.933          8.035          0.000          0.000          0.000          0.000         74.857         71.489          3.298          0.070          0.000          0.000          0.000
   365    12    31  1999       1       0  aqu1                    348.913          2.337         23.323        371.076         18.554          6.211          0.000          0.000          0.000          0.000         69.376         66.371          2.944          0.061          0.000          0.000          0.000
   366    12    31  2000       1       0  aqu1                    297.402          2.652         25.939        299.493         14.975          3.787          0.000          0.000          0.000          0.000         66.939         64.517          2.364          0.059          0.000          0.000          0.000
   365    12    31  2001       1       0  aqu1                    451.932          1.059         29.304        495.262         24.763         10.847          0.000          0.000          0.000          0.000         67.652         64.768          2.821          0.063          0.000          0.000          0.000
   365    12    31  2002       1       0  aqu1                    383.298          2.166         24.554        408.322         20.416          5.648          0.000          0.000          0.000          0.000         61.020         58.164          2.802          0.054          0.000          0.000          0.000
   365    12    31  2003       1       0  aqu1                    144.506          3.325         19.797        158.617          7.931          1.294          0.000          0.000          0.000          0.000         43.063         41.988          1.039          0.036          0.000          0.000          0.000
   366    12    31  2004       1       0  aqu1                    330.694          1.775         27.975        365.858         18.293          3.597          0.000          0.000          0.000          0.000         98.796         95.261          3.445          0.091          0.000          0.000          0.000
   365    12    31  2005       1       0  aqu1                    265.754          2.960         22.859        264.219         13.211          2.772          0.000          0.000          0.000          0.000         54.539         52.419          2.073          0.047          0.000          0.000          0.000
   365    12    31  2006       1       0  aqu1                    152.056          2.991         20.576        165.033          8.252          3.336          0.000          0.000          0.000          0.000         44.506         43.467          1.002          0.038          0.000          0.000          0.000
   365    12    31  2007       1       0  aqu1                    320.360          2.125         26.835        343.384         17.169          3.826          0.000          0.000          0.000          0.000         69.757         67.279          2.413          0.064          0.000          0.000          0.000
   366    12    31  2008       1       0  aqu1                    250.556          2.611         22.382        267.082         13.354          3.661          0.000          0.000          0.000          0.000         62.654         60.439          2.161          0.054          0.000          0.000          0.000
   365    12    31  2009       1       0  aqu1                    194.867          2.518         21.903        205.989         10.299          2.945          0.000          0.000          0.000          0.000         59.759         58.073          1.634          0.052          0.000          0.000          0.000
   365    12    31  2010       1       0  aqu1                    273.313          2.157         23.832        296.155         14.808          4.190          0.000          0.000          0.000          0.000         73.933         71.502          2.363          0.068          0.000          0.000          0.000
   365    12    31  2011       1       0  aqu1                    232.060          3.016         21.929        238.882         11.944          1.206          0.000          0.000          0.000          0.000         35.171         34.033          1.109          0.029          0.000          0.000          0.000
   366    12    31  2012       1       0  aqu1                    271.680          1.901         24.588        293.920         14.696          4.077          0.000          0.000          0.000          0.000         66.003         63.818          2.125          0.060          0.000          0.000          0.000
   365    12    31  2013       1       0  aqu1                    207.856          2.993         21.153        215.817         10.791          0.884          0.000          0.000          0.000          0.000         48.371         46.803          1.526          0.042          0.000          0.000          0.000
   365    12    31  2014       1       0  aqu1                    100.765          3.944         17.874        101.093          5.055          0.465          0.000          0.000          0.000          0.000         41.566         40.668          0.866          0.033          0.000          0.000          0.000
   365    12    31  2015       1       0  aqu1                    137.816          3.216         20.084        154.322          7.716          2.237          0.000          0.000          0.000          0.000         72.971         71.166          1.739          0.065          0.000          0.000          0.000
   366    12    31  2016       1       0  aqu1                    215.641          2.522         22.173        239.642         11.982          4.872          0.000          0.000          0.000          0.000         56.213         54.497          1.665          0.051          0.000          0.000          0.000
   365    12    31  2017       1       0  aqu1                    430.345          1.640         29.281        475.745         23.787          5.198          0.000          0.000          0.000          0.000         80.029         76.520          3.436          0.073          0.000          0.000          0.000
   365    12    31  2018       1       0  aqu1                    223.957          3.341         21.032        207.335         10.367          3.364          0.000          0.000          0.000          0.000         33.578         32.321          1.232          0.026          0.000          0.000          0.000
   365    12    31  2019       1       0  aqu1                    178.880          2.626         22.087        203.412         10.171          3.084          0.000          0.000          0.000          0.000         76.596         74.599          1.929          0.068          0.000          0.000          0.000
   366    12    31  2020       1       0  aqu1                    224.072          3.042         22.884        225.881         11.294          2.354          0.000          0.000          0.000          0.000         58.979         56.980          1.949          0.050          0.000          0.000          0.000
   365    12    31  2021       1       0  aqu1                    134.341          3.298         19.710        147.764          7.388          2.002          0.000          0.000          0.000          0.000         51.381         50.224          1.113          0.044          0.000          0.000          0.000
