 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
   366    12    31  1996         1     1  Mini_CREATE             252.854          2.642         21.448        268.549         13.427          6.558          0.000          0.000          0.000          0.000         42.153         40.705          1.409          0.039          0.000          0.000          0.000
   365    12    31  1997         1     1  Mini_CREATE             278.074          1.965         25.624        310.591         15.530          5.542          0.000          0.000          0.000          0.000         61.084         59.178          1.851          0.055          0.000          0.000          0.000
   365    12    31  1998         1     1  Mini_CREATE             499.976          1.003         31.963        540.710         27.036          8.066          0.000          0.000          0.000          0.000         75.142         71.761          3.311          0.070          0.000          0.000          0.000
   365    12    31  1999         1     1  Mini_CREATE             350.240          2.346         23.412        372.488         18.624          6.235          0.000          0.000          0.000          0.000         69.640         66.623          2.955          0.061          0.000          0.000          0.000
   366    12    31  2000         1     1  Mini_CREATE             298.534          2.662         26.037        300.632         15.032          3.802          0.000          0.000          0.000          0.000         67.194         64.762          2.373          0.059          0.000          0.000          0.000
   365    12    31  2001         1     1  Mini_CREATE             453.652          1.063         29.415        497.147         24.857         10.888          0.000          0.000          0.000          0.000         67.910         65.014          2.832          0.064          0.000          0.000          0.000
   365    12    31  2002         1     1  Mini_CREATE             384.756          2.175         24.648        409.876         20.494          5.670          0.000          0.000          0.000          0.000         61.253         58.386          2.813          0.054          0.000          0.000          0.000
   365    12    31  2003         1     1  Mini_CREATE             145.055          3.338         19.873        159.220          7.961          1.299          0.000          0.000          0.000          0.000         43.227         42.148          1.043          0.036          0.000          0.000          0.000
   366    12    31  2004         1     1  Mini_CREATE             331.953          1.781         28.082        367.250         18.362          3.611          0.000          0.000          0.000          0.000         99.172         95.623          3.458          0.091          0.000          0.000          0.000
   365    12    31  2005         1     1  Mini_CREATE             266.765          2.972         22.946        265.224         13.261          2.783          0.000          0.000          0.000          0.000         54.747         52.619          2.081          0.047          0.000          0.000          0.000
   365    12    31  2006         1     1  Mini_CREATE             152.634          3.003         20.655        165.661          8.283          3.349          0.000          0.000          0.000          0.000         44.676         43.632          1.005          0.038          0.000          0.000          0.000
   365    12    31  2007         1     1  Mini_CREATE             321.579          2.133         26.937        344.690         17.235          3.840          0.000          0.000          0.000          0.000         70.022         67.535          2.422          0.065          0.000          0.000          0.000
   366    12    31  2008         1     1  Mini_CREATE             251.510          2.621         22.467        268.098         13.405          3.675          0.000          0.000          0.000          0.000         62.892         60.669          2.169          0.055          0.000          0.000          0.000
   365    12    31  2009         1     1  Mini_CREATE             195.608          2.527         21.987        206.772         10.339          2.957          0.000          0.000          0.000          0.000         59.986         58.294          1.640          0.052          0.000          0.000          0.000
   365    12    31  2010         1     1  Mini_CREATE             274.353          2.165         23.922        297.282         14.864          4.206          0.000          0.000          0.000          0.000         74.214         71.774          2.372          0.068          0.000          0.000          0.000
   365    12    31  2011         1     1  Mini_CREATE             232.943          3.027         22.012        239.791         11.990          1.211          0.000          0.000          0.000          0.000         35.305         34.162          1.113          0.029          0.000          0.000          0.000
   366    12    31  2012         1     1  Mini_CREATE             272.714          1.908         24.681        295.038         14.752          4.093          0.000          0.000          0.000          0.000         66.254         64.061          2.133          0.060          0.000          0.000          0.000
   365    12    31  2013         1     1  Mini_CREATE             208.647          3.004         21.234        216.639         10.832          0.888          0.000          0.000          0.000          0.000         48.555         46.981          1.532          0.042          0.000          0.000          0.000
   365    12    31  2014         1     1  Mini_CREATE             101.149          3.959         17.942        101.477          5.074          0.467          0.000          0.000          0.000          0.000         41.724         40.823          0.869          0.033          0.000          0.000          0.000
   365    12    31  2015         1     1  Mini_CREATE             138.341          3.228         20.160        154.909          7.745          2.246          0.000          0.000          0.000          0.000         73.248         71.437          1.746          0.065          0.000          0.000          0.000
   366    12    31  2016         1     1  Mini_CREATE             216.462          2.531         22.257        240.554         12.028          4.891          0.000          0.000          0.000          0.000         56.427         54.704          1.671          0.052          0.000          0.000          0.000
   365    12    31  2017         1     1  Mini_CREATE             431.982          1.647         29.392        477.556         23.878          5.218          0.000          0.000          0.000          0.000         80.333         76.811          3.449          0.074          0.000          0.000          0.000
   365    12    31  2018         1     1  Mini_CREATE             224.809          3.354         21.112        208.124         10.406          3.377          0.000          0.000          0.000          0.000         33.706         32.444          1.237          0.026          0.000          0.000          0.000
   365    12    31  2019         1     1  Mini_CREATE             179.561          2.636         22.171        204.186         10.209          3.096          0.000          0.000          0.000          0.000         76.887         74.883          1.936          0.068          0.000          0.000          0.000
   366    12    31  2020         1     1  Mini_CREATE             224.925          3.054         22.971        226.741         11.337          2.363          0.000          0.000          0.000          0.000         59.204         57.197          1.957          0.051          0.000          0.000          0.000
   365    12    31  2021         1     1  Mini_CREATE             134.852          3.310         19.785        148.326          7.416          2.010          0.000          0.000          0.000          0.000         51.576         50.415          1.117          0.044          0.000          0.000          0.000
