 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha                    kgha             kgha
   366    12    31  1996       1       1  Mini_CREATE            0.000       0.000     -16.289     -65.491          154.202           44.358            9.792            8.408           18.703            0.402            3.221           29.963            2.884            6.221            5.015           87.707           12.784            0.000            0.000
   365    12    31  1997       1       1  Mini_CREATE            0.000       0.000     -20.984     -59.573           98.230           29.150            6.639           15.110           20.466            1.863            3.527           28.625            2.661            6.627            5.383           68.962           10.713            0.000            0.000
   365    12    31  1998       1       1  Mini_CREATE            0.000       0.000     -19.592     -54.388          164.587           45.748            4.374           13.052           21.159            1.812            3.650           18.549            1.867            8.424            7.003           59.373            9.344            0.000            0.000
   365    12    31  1999       1       1  Mini_CREATE            0.000       0.000     -10.212     -48.702          158.348           47.089            2.534           14.443           21.103            3.060            3.651           31.839            3.230            6.849            5.584           58.660           10.480            0.000            0.000
   366    12    31  2000       1       1  Mini_CREATE            0.000       0.000     -19.115     -45.373          107.234           24.739           15.422           11.302           21.433            4.930            3.708           29.080            2.965            6.154            4.955           80.952           12.070            0.000            0.000
   365    12    31  2001       1       1  Mini_CREATE            0.000       0.000     -16.375     -41.747          154.202           44.358            7.358           12.819           21.407            2.402            3.700           23.544            2.636            8.313            6.904           76.145            9.996            0.000            0.000
   365    12    31  2002       1       1  Mini_CREATE            0.000       0.000     -15.687     -37.070           98.230           29.150            6.739           16.478           21.651            4.000            3.754           26.959            2.822            7.008            5.726           54.154            8.672            0.000            0.000
   365    12    31  2003       1       1  Mini_CREATE            0.000       0.000      -1.549     -33.354          164.587           45.748            7.636           10.660           19.404            3.537            3.371           28.824            3.222            6.038            4.852           79.185           11.866            0.000            0.000
   366    12    31  2004       1       1  Mini_CREATE            0.000       0.000      -6.094     -26.850          158.348           47.089            3.251           14.757           21.085            4.636            3.672           24.142            3.011            7.704            6.352           72.965           11.635            0.000            0.000
   365    12    31  2005       1       1  Mini_CREATE            0.000       0.000     -11.755     -24.423          107.234           24.739           15.619           10.117           20.186            4.676            3.514           27.762            3.068            6.362            5.144           86.412           11.209            0.000            0.000
   365    12    31  2006       1       1  Mini_CREATE            0.000       0.000       0.160     -23.971          154.202           44.358           10.907           10.197           19.086            4.400            3.327           29.983            3.498            5.914            4.740           86.014           12.352            0.000            0.000
   365    12    31  2007       1       1  Mini_CREATE            0.000       0.000      -9.961     -19.972           98.230           29.150            6.666           15.493           22.870            7.584            3.997           25.487            2.852            7.261            5.955           58.777            8.228            0.000            0.000
   366    12    31  2008       1       1  Mini_CREATE            0.000       0.000      -1.255     -18.834          164.587           45.748            8.525           11.681           21.285            7.213            3.734           23.398            2.822            6.726            5.471           72.267           10.671            0.000            0.000
   365    12    31  2009       1       1  Mini_CREATE            0.000       0.000       2.748     -13.539          158.348           47.089            4.100           13.987           21.184            5.541            3.719           21.753            2.724            6.535            5.300           75.632           12.567            0.000            0.000
   365    12    31  2010       1       1  Mini_CREATE            0.000       0.000     -11.610     -12.194          107.234           24.739           17.339           10.054           19.800            4.056            3.470           22.048            2.569            7.216            5.915           97.706           11.282            0.000            0.000
