 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons 
   366    12    31  1996         1     1  Mini_CREATE           0.2293E+03     0.8378E+02     0.2293E+03     0.7686E+03     0.1235E+02     0.1381E+02     0.6174E+01     0.0000E+00     0.5972E+01     0.4061E-02     0.7633E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.1106E-03     0.1032E+01     0.0000E+00     0.8804E+05     0.5756E+05     0.8803E+05     0.2845E+01
   365    12    31  1997         1     1  Mini_CREATE           0.2875E+03     0.9207E+02     0.2875E+03     0.9764E+03     0.1578E+02     0.1786E+02     0.7891E+01     0.0000E+00     0.7238E+01     0.2026E+00     0.9763E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.5515E-02     0.1091E+01     0.0000E+00     0.1193E+06     0.7162E+05     0.1193E+06     0.3834E+01
   365    12    31  1998         1     1  Mini_CREATE           0.5403E+03     0.1654E+03     0.5403E+03     0.1842E+04     0.5167E+02     0.3134E+02     0.2584E+02     0.0000E+00     0.2569E+02     0.3929E+00     0.5115E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.1070E-01     0.6631E+00     0.0000E+00     0.2260E+06     0.1340E+06     0.2260E+06     0.2560E+01
   365    12    31  1999         1     1  Mini_CREATE           0.3640E+03     0.1163E+03     0.3640E+03     0.1238E+04     0.1483E+02     0.1440E+02     0.7414E+01     0.0000E+00     0.6680E+01     0.1845E+00     0.6807E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.5021E-02     0.6154E+00     0.0000E+00     0.1517E+06     0.9126E+05     0.1517E+06     0.2938E+01
   366    12    31  2000         1     1  Mini_CREATE           0.2960E+03     0.9916E+02     0.2961E+03     0.1002E+04     0.9985E+01     0.1311E+02     0.4993E+01     0.0000E+00     0.3585E+01     0.1993E+00     0.7918E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.5425E-02     0.5260E+00     0.0000E+00     0.1211E+06     0.7500E+05     0.1211E+06     0.2993E+01
   365    12    31  2001         1     1  Mini_CREATE           0.4838E+03     0.1499E+03     0.4838E+03     0.1651E+04     0.2361E+02     0.1900E+02     0.1181E+02     0.0000E+00     0.1166E+02     0.1893E+00     0.7001E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.5154E-02     0.8870E+00     0.0000E+00     0.2055E+06     0.1230E+06     0.2054E+06     0.2922E+01
   365    12    31  2002         1     1  Mini_CREATE           0.4126E+03     0.1278E+03     0.4126E+03     0.1400E+04     0.2116E+02     0.1741E+02     0.1058E+02     0.0000E+00     0.9920E+01     0.5934E-01     0.6766E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.1615E-02     0.6756E+00     0.0000E+00     0.1665E+06     0.9754E+05     0.1665E+06     0.3131E+01
   365    12    31  2003         1     1  Mini_CREATE           0.1413E+03     0.4803E+02     0.1413E+03     0.4688E+03     0.1214E+02     0.1561E+02     0.6069E+01     0.0000E+00     0.4811E+01     0.1648E-01     0.9524E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.4487E-03     0.7862E+00     0.0000E+00     0.5017E+05     0.2912E+05     0.5016E+05     0.4332E+01
   366    12    31  2004         1     1  Mini_CREATE           0.3508E+03     0.1097E+03     0.3508E+03     0.1190E+04     0.1986E+02     0.1864E+02     0.9932E+01     0.0000E+00     0.9010E+01     0.2540E+00     0.8459E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.6916E-02     0.8110E+00     0.0000E+00     0.1446E+06     0.8546E+05     0.1446E+06     0.3184E+01
