 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   366    12    31  1996       1       1  Mini_CREATE          730.882     137.045     125.777      74.914       4.970     102.297     268.550     409.429      41.952     205.406     162.071      74.913      53.749     271.792     282.898     265.148      46.981      19.394      30.367       4.486     461.525      22.414       0.000      63.959       3.987       0.000       8.620       0.066      66.185       0.717       0.266       3.987       0.000       0.000       0.000      11.106       5.071      78.441       0.000       2.340
   365    12    31  1997       1       1  Mini_CREATE          813.812      72.127     101.993     109.962       6.239     145.446     310.591     471.352      39.785     212.573     218.993     109.968      52.497     282.898     307.559     267.285      42.042      30.367       0.000       1.352     544.347      29.246       0.000      99.086       5.065       0.000       8.745       0.062     101.111       0.847       0.327       5.065       0.000       0.000       0.000      24.661       6.868     120.606       0.000       3.771
   365    12    31  1998       1       1  Mini_CREATE         1174.720     107.076     106.574     313.189      10.977     377.086     540.710     480.283      50.979     233.272     196.032     313.187      53.883     307.559     364.985     309.152      46.969       0.000       0.000       1.604     522.625      52.920       0.000     269.178       8.786       0.000      31.109       5.012     276.920       1.593       0.598       8.786       0.000       0.000       0.000      57.426      51.168     186.800       0.000       2.672
   365    12    31  1999       1       1  Mini_CREATE          858.506     168.769     140.135     141.349       7.962     185.109     372.488     457.455      37.565     220.012     199.878     141.345      51.886     364.985     317.240     272.490      40.114       0.000      28.259       2.094     524.403      35.798       0.000     124.454       6.463       0.000      12.400       0.990     127.870       1.090       0.409       6.463       0.000       0.000       0.000     -47.745      13.155     171.321       0.000       3.390
   366    12    31  2000       1       1  Mini_CREATE          717.475      58.091      76.070     105.006       6.527     136.030     300.632     465.966      44.079     247.580     174.306     105.004      50.270     317.240     253.251     255.659      36.424      28.259      10.243       0.460     529.843      24.498       0.000      93.861       5.299       0.000       8.529       0.502      95.960       0.893       0.334       5.299       0.000       0.000       0.000     -63.990       7.103     140.659       0.000       2.731
   365    12    31  2001       1       1  Mini_CREATE         1152.456     177.399     138.055     230.570       9.203     291.024     497.147     428.585      43.336     207.586     177.663     230.758      53.445     253.251     364.809     295.045      44.655      10.243      49.183       2.184     475.406      51.251       0.000     203.966       7.169       0.000      17.873       2.521     210.275       1.498       0.536       7.169       0.000       0.000       0.000     111.559      22.468     122.345       0.000       3.114
   365    12    31  2002       1       1  Mini_CREATE          890.299     103.307     150.989     208.418       9.020     253.488     409.876     536.529      36.603     260.301     239.625     208.238      52.497     364.809     289.576     279.257      42.526      49.183       0.036       3.806     624.491      36.050       0.000     172.599       7.339       0.000      26.282       4.965     176.884       1.237       0.443       7.339       0.000       0.000       0.000     -75.233      41.364     176.718       0.000       4.119
   365    12    31  2003       1       1  Mini_CREATE          695.512      75.671      73.287      59.660       3.690      77.341     159.221     508.586      34.396     260.504     213.686      59.652      51.401     289.576     298.049     228.669      36.338       0.036       1.923       1.012     628.182      13.991       0.000      51.838       3.083       0.000       6.383       0.086      53.132       0.431       0.176       3.083       0.000       0.000       0.000       8.473       4.553      93.224       0.000       5.090
   366    12    31  2004       1       1  Mini_CREATE         1028.649     134.198     135.336     178.314       7.095     220.218     367.250     546.716      49.556     252.532     244.628     178.490      52.757     298.049     356.335     275.253      42.205       1.923       0.000       1.497     622.599      34.809       0.000     152.054       5.692       0.000      18.583       2.884     156.914       1.029       0.372       5.693       0.000       0.000       0.000      58.286      24.707     114.565       0.000       4.782
   365    12    31  2005       1       1  Mini_CREATE          760.658     130.575     122.973     140.821       5.654     166.602     265.224     520.684      35.296     266.035     219.354     140.645      51.826     356.335     289.939     240.119      35.356       0.000       6.148       2.847     652.064      20.126       0.000     119.515       4.643       0.000      15.028       3.094     122.380       0.761       0.250       4.643       0.000       0.000       0.000     -66.396      21.696     122.198       0.000       4.585
   365    12    31  2006       1       1  Mini_CREATE          670.641      34.784      40.639      36.355       3.386      51.573     165.661     492.564      35.186     253.324     204.054      36.394      52.076     289.939     296.034     224.953      37.210       6.148       0.000       0.634     644.517      11.833       0.000      30.982       2.840       0.000       5.095       0.038      31.257       0.400       0.146       2.840       0.000       0.000       0.000       6.095       1.228      75.814       0.000       5.255
   365    12    31  2007       1       1  Mini_CREATE          941.226      84.340      84.028     131.573       7.175     172.170     344.690     555.081      43.468     244.378     267.234     131.532      50.543     296.034     289.275     272.986      39.885       0.000       0.000       0.794     636.552      33.421       0.000     111.228       5.842       0.000      15.325       2.574     113.563       0.978       0.356       5.842       0.000       0.000       0.000      -6.760      18.085     128.638       0.000       4.960
   366    12    31  2008       1       1  Mini_CREATE          832.376      85.248      85.128      83.978       5.794     113.483     268.098     541.660      42.971     287.019     211.669      83.978      49.661     289.275     284.499     236.783      35.084       0.000       0.000       0.681     650.839      23.711       0.000      74.838       4.790       0.000       7.893       0.096      75.987       0.733       0.269       4.790       0.000       0.000       0.000      -4.776       4.417     128.268       0.000       5.842
   365    12    31  2009       1       1  Mini_CREATE          795.384     100.658     100.224      59.937       4.419      79.574     206.773     550.214      43.910     269.015     237.289      59.941      51.152     284.499     304.806     247.331      37.534       0.000       0.000       1.382     651.069      15.219       0.000      51.840       3.738       0.000       7.407       0.054      52.440       0.501       0.180       3.738       0.000       0.000       0.000      20.307       2.829     104.895       0.000       4.885
   365    12    31  2010       1       1  Mini_CREATE          932.225     148.860      73.904     112.095       5.880     146.523     297.282     523.469      40.088     261.710     221.671     112.091      53.729     304.806     304.307     268.117      43.623       0.000      74.513       7.666     614.356      28.548       0.000      98.352       4.700       0.000      10.904       0.405     100.718       0.835       0.344       4.700       0.000       0.000       0.000      -0.498       7.971     102.660       0.000       3.802
   365    12    31  2011       1       1  Mini_CREATE          720.845      21.013      95.041     113.214       5.053     136.959     239.791     551.169      40.891     264.936     245.342     113.214      51.131     304.307     277.877     245.103      37.819      74.513       0.000       2.120     664.225      18.692       0.000      97.159       4.157       0.000      11.040       2.400      99.659       0.668       0.227       4.157       0.000       0.000       0.000     -26.431      15.134     112.180       0.000       5.603
