 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons 
   366    12    31  1996       1       0  cha1                 0.6715E-02     0.6325E-02     0.6701E-02     0.2903E-01     0.6354E-02     0.4941E+00     0.3177E-02     0.0000E+00     0.3177E-02     0.0000E+00     0.4909E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.5872E-01     0.0000E+00     0.1358E+04     0.1279E+04     0.1355E+04     0.4881E-03
   366    12    31  1996       2       0  cha2                 0.4522E-01     0.3602E-01     0.4522E-01     0.2183E+00     0.5420E-06     0.1457E+00     0.2710E-06     0.0000E+00     0.1081E-06     0.0000E+00     0.1457E+00     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.4712E-01     0.0000E+00     0.4006E+05     0.3192E+05     0.4006E+05     0.5486E-04
   366    12    31  1996       3       0  cha3                 0.5331E-01     0.2969E-01     0.5330E-01     0.2373E+00     0.4802E-04     0.6234E+01     0.2401E-04     0.0000E+00     0.9849E-06     0.4061E-02     0.6230E+01     0.0000E+00     0.1292E+01     0.1922E+00     0.5260E-02     0.1106E-03     0.8817E+00     0.0000E+00     0.1367E+05     0.7616E+04     0.1367E+05     0.4634E-02
   366    12    31  1996       4       0  cha4                 0.7556E-01     0.7387E-01     0.7556E-01     0.3184E+00     0.6246E+00     0.5333E+00     0.3123E+00     0.0000E+00     0.2870E+00     0.0000E+00     0.2210E+00     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.2324E-01     0.0000E+00     0.1282E+05     0.1253E+05     0.1282E+05     0.5350E-03
   366    12    31  1996       5       0  cha5                 0.2100E+00     0.6411E-01     0.2100E+00     0.6665E+00     0.7088E+01     0.3667E+01     0.3544E+01     0.0000E+00     0.3503E+01     0.0000E+00     0.1232E+00     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.6095E-02     0.0000E+00     0.1154E+05     0.3525E+04     0.1154E+05     0.1567E-02
   366    12    31  1996       6       0  cha6                 0.2357E+00     0.1888E-01     0.2357E+00     0.6306E+00     0.4629E+01     0.2737E+01     0.2314E+01     0.0000E+00     0.2180E+01     0.0000E+00     0.4231E+00     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.1560E-01     0.0000E+00     0.8579E+04     0.6875E+03     0.8579E+04     0.4934E-03
   365    12    31  1997       1       0  cha1                 0.1707E-01     0.1651E-01     0.1706E-01     0.7383E-01     0.1009E-01     0.1122E+01     0.5043E-02     0.0000E+00     0.4695E-02     0.0000E+00     0.1117E+01     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.1327E+00     0.0000E+00     0.3444E+04     0.3329E+04     0.3442E+04     0.9506E-03
   365    12    31  1997       2       0  cha2                 0.6177E-01     0.4962E-01     0.6177E-01     0.2982E+00     0.5405E-06     0.5940E-01     0.2702E-06     0.0000E+00     0.9033E-07     0.0000E+00     0.5940E-01     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.1882E-01     0.0000E+00     0.5458E+05     0.4385E+05     0.5458E+05     0.1990E-04
   365    12    31  1997       3       0  cha3                 0.1003E+00     0.3611E-01     0.1003E+00     0.4466E+00     0.7782E-04     0.6115E+01     0.3891E-04     0.0000E+00     0.1654E-06     0.2026E+00     0.5913E+01     0.0000E+00     0.1292E+01     0.1977E+00     0.5260E-02     0.5515E-02     0.8225E+00     0.0000E+00     0.2567E+05     0.9236E+04     0.2567E+05     0.4007E-02
   365    12    31  1997       4       0  cha4                 0.6625E-01     0.6423E-01     0.6625E-01     0.2792E+00     0.1710E+01     0.8853E+00     0.8548E+00     0.0000E+00     0.8347E+00     0.0000E+00     0.3053E-01     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.3200E-02     0.0000E+00     0.1121E+05     0.1087E+05     0.1121E+05     0.9721E-03
   365    12    31  1997       5       0  cha5                 0.2527E+00     0.6610E-01     0.2527E+00     0.8022E+00     0.7286E+01     0.4870E+01     0.3643E+01     0.0000E+00     0.3627E+01     0.0000E+00     0.1227E+01     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.6082E-01     0.0000E+00     0.1386E+05     0.3624E+04     0.1386E+05     0.3187E-02
   365    12    31  1997       6       0  cha6                 0.2896E+00     0.1967E-01     0.2896E+00     0.7749E+00     0.6775E+01     0.4804E+01     0.3388E+01     0.0000E+00     0.2772E+01     0.0000E+00     0.1417E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.5287E-01     0.0000E+00     0.1051E+05     0.7142E+03     0.1051E+05     0.1366E-02
   365    12    31  1998       1       0  cha1                 0.3772E-01     0.3614E-01     0.3772E-01     0.1631E+00     0.1528E+01     0.1537E+01     0.7641E+00     0.0000E+00     0.7634E+00     0.0000E+00     0.7728E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.9125E-01     0.0000E+00     0.7608E+04     0.7288E+04     0.7608E+04     0.6967E-03
   365    12    31  1998       2       0  cha2                 0.1158E+00     0.9391E-01     0.1158E+00     0.5589E+00     0.1774E-01     0.2357E+00     0.8871E-02     0.0000E+00     0.8865E-02     0.0000E+00     0.2269E+00     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.7411E-01     0.0000E+00     0.1023E+06     0.8298E+05     0.1023E+06     0.9255E-04
   365    12    31  1998       3       0  cha3                 0.1894E+00     0.6259E-01     0.1894E+00     0.8432E+00     0.7068E+01     0.7519E+01     0.3534E+01     0.0000E+00     0.3534E+01     0.3929E+00     0.3592E+01     0.0000E+00     0.1292E+01     0.2084E+00     0.5260E-02     0.1070E-01     0.4724E+00     0.0000E+00     0.4845E+05     0.1601E+05     0.4845E+05     0.2431E-02
   365    12    31  1998       4       0  cha4                 0.1333E+00     0.1222E+00     0.1333E+00     0.5620E+00     0.1445E+02     0.7276E+01     0.7225E+01     0.0000E+00     0.7214E+01     0.0000E+00     0.5089E-01     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.5352E-02     0.0000E+00     0.2256E+05     0.2068E+05     0.2256E+05     0.1982E-02
