 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha                    kgha             kgha
   365    12    31  2021       1       0  rtu001                 0.000       0.000     -15.458     -27.635            0.000            0.000            0.000            7.861           15.767           -6.493            2.654           30.067            2.329            6.719            5.468           26.439            2.471            0.000            0.000
   365    12    31  2021       2       0  rtu002                 0.000       0.000     -15.114     -27.232            0.000            0.000            0.000            8.000           15.634           -6.308            2.630           30.466            2.355            6.719            5.468           27.021            2.529            0.000            0.000
   365    12    31  2021       3       0  rtu003                 0.000       0.000     -25.947     -38.267            0.000            0.000            0.000            0.079           10.117            2.282            1.650           51.689            5.348            6.719            5.468           63.031            7.845            0.000            0.000
   365    12    31  2021       4       0  rtu004                 0.000       0.000     -22.321     -36.156            0.000            0.000            0.000            0.000           17.307           -3.054            2.891           54.482            5.562            6.685            5.437           67.799            8.326            0.000            0.000
   365    12    31  2021       5       0  rtu005                 0.000       0.000     -28.560     -39.587            0.000            0.000            0.000            0.002           17.451           -3.150            2.915           54.618            5.543            6.685            5.437           67.965            8.301            0.000            0.000
   365    12    31  2021       6       0  rtu006                 0.000       0.000     -23.349     -36.720            0.000            0.000            0.000            0.000           17.330           -3.066            2.895           54.522            5.562            6.685            5.437           67.856            8.327            0.000            0.000
   365    12    31  2021       7       0  rtu007                 0.000       0.000     -28.665     -39.644            0.000            0.000            0.000            0.002           17.453           -3.152            2.915           54.618            5.543            6.685            5.437           67.963            8.300            0.000            0.000
   365    12    31  2021       8       0  rtu008                 0.000       0.000     -22.143     -36.058            0.000            0.000            0.000            0.000           17.303           -3.053            2.890           54.473            5.562            6.685            5.437           67.785            8.325            0.000            0.000
   365    12    31  2021       9       0  rtu009                 0.000       0.000     -36.732     -46.263            0.000            0.000            0.000            0.027           14.689           -1.720            2.445           50.020            5.073            6.685            5.437           59.541            7.322            0.000            0.000
   365    12    31  2021      10       0  rtu010                 0.000       0.000     -28.408     -39.452            0.000            0.000            0.000            0.002           17.430           -3.074            2.911           54.779            5.558            6.653            5.408           68.387            8.331            0.000            0.000
   365    12    31  2021      11       0  rtu011                 0.000       0.000     -29.003     -39.921            0.000            0.000            0.000            0.002           17.421           -3.188            2.910           54.438            5.518            6.719            5.468           67.680            8.267            0.000            0.000
   365    12    31  2021      12       0  rtu012                 0.000       0.000     -29.115     -39.983            0.000            0.000            0.000            0.002           17.423           -3.190            2.911           54.439            5.518            6.719            5.468           67.681            8.266            0.000            0.000
