 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    365    12    31  2021      1       0  rtu001               833.765      79.048      79.527     144.682       0.444     145.126     111.970     575.315      85.857     415.479      73.979     144.683      68.296     321.519     376.794     402.650      56.863      19.995       0.000       1.529     628.185       0.000       0.000       0.000       0.000       0.000       0.000       0.000     144.683       0.000       0.000       0.444       0.000       0.000       0.000       2.118      52.546      27.469       0.000       0.000
    365    12    31  2021      2       0  rtu002               833.765      79.048      79.527     150.092       0.430     150.522     107.569     574.191      85.857     415.585      72.748     150.093      68.520     323.579     382.248     402.092      56.757      19.995       0.000       1.529     628.185       0.000       0.000       0.000       0.000       0.000       0.000       0.000     150.093       0.000       0.000       0.430       0.000       0.000       0.000       2.248      63.706      26.632       0.000       0.000
    365    12    31  2021      3       0  rtu003               833.765      79.047      79.535       0.000       2.093       2.093     327.227     507.889      85.860     407.258      14.771       0.000      16.736     233.387     225.959     189.498      28.709      19.995       0.000       1.529     628.167       0.000       0.000       0.000       2.391       0.000       0.000       0.000       0.000       0.000       0.000       2.093       0.000       0.000       0.000      -0.285       0.000       6.684       0.000       0.000
    365    12    31  2021      4       0  rtu004               826.870      77.583      78.018       2.035     131.773     133.808     174.230     520.422      89.484     416.934      14.005       2.035      30.559     274.500     250.213     227.791      45.893      16.974       0.000       1.442     630.001       0.000       0.000       0.000       0.000       0.000       0.000       0.000       2.035       0.000       0.000     131.773       0.000       0.000       0.000      -0.931       0.251     348.758       0.000       0.000
    365    12    31  2021      5       0  rtu005               826.870      77.582      78.018       0.611       6.422       7.033     300.695     520.701      89.485     417.104      14.111       0.611      16.891     281.092     257.392     239.453      46.281      16.974       0.000       1.442     629.994       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.611       0.000       0.000       6.422       0.000       0.000       0.000      -0.908       0.147      16.998       0.000       0.000
    365    12    31  2021      6       0  rtu006               826.870      77.581      78.017       2.605     112.022     114.627     193.396     520.424      89.487     416.930      14.006       2.605      31.660     275.463     251.524     229.585      45.906      16.974       0.000       1.442     629.985       0.000       0.000       0.000       0.000       0.000       0.000       0.000       2.605       0.000       0.000     112.022       0.000       0.000       0.000      -0.917       0.165     296.484       0.000       0.000
    365    12    31  2021      7       0  rtu007               826.870      77.582      78.018       0.672       4.098       4.770     302.948     520.712      89.485     417.112      14.116       0.672      16.897     281.207     257.504     239.661      46.295      16.974       0.000       1.442     629.996       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.672       0.000       0.000       4.098       0.000       0.000       0.000      -0.908       0.127      10.845       0.000       0.000
    365    12    31  2021      8       0  rtu008               826.870      77.583      78.018       1.951     135.107     137.058     170.984     520.420      89.484     416.930      14.006       1.951      30.372     274.347     249.979     227.486      45.891      16.974       0.000       1.442     630.001       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.951       0.000       0.000     135.107       0.000       0.000       0.000      -0.934       0.125     357.582       0.000       0.000
    365    12    31  2021      9       0  rtu009               826.870      77.580      78.013      21.021       0.627      21.649     439.929     520.715      89.489     413.864      17.361      21.021      44.467     254.940     235.264     241.265      32.620      16.974       0.000       1.442     629.969       0.000       0.000     146.568       7.449       0.000      21.021       0.000       0.000       0.627       0.000       0.000       0.000       0.000       0.000      -0.754      23.484       9.477       0.000       0.000
    365    12    31  2021     10       0  rtu010               820.551      76.600      76.988       0.882       3.830       4.712     296.777     520.665      89.302     417.283      14.080       0.881      16.903     277.076     250.989     238.275      46.157      15.724       0.000       1.392     630.407       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.881       0.000       0.000       3.830       0.000       0.000       0.000      -1.000       0.138      10.137       0.000       0.000
    365    12    31  2021     11       0  rtu011               833.765      79.046      79.535       1.771       4.216       5.987     311.266     518.029      85.860     418.025      14.144       1.771      16.962     287.196     267.619     240.590      46.463      19.995       0.000       1.529     628.160       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.771       0.000       0.000       4.216       0.000       0.000       0.000      -0.750       0.210      11.158       0.000       0.000
    365    12    31  2021     12       0  rtu012               833.765      79.045      79.534       1.850       1.712       3.562     313.699     518.024      85.862     418.012      14.150       1.850      16.967     287.388     267.746     240.819      46.480      19.994       0.000       1.529     628.145       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.850       0.000       0.000       1.712       0.000       0.000       0.000      -0.753       0.523       4.531       0.000       0.000
    365    12    31  2021     13       0  rtu013               833.765      79.046      79.534       1.737       5.249       6.985     310.284     518.013      85.862     418.008      14.143       1.736      16.960     287.122     267.577     240.505      46.457      19.994       0.000       1.529     628.151       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.736       0.000       0.000       5.249       0.000       0.000       0.000      -0.749       0.411      13.891       0.000       0.000
    365    12    31  2021     14       0  rtu014               833.765      79.046      79.534       1.752       4.785       6.537     310.731     518.014      85.862     418.008      14.144       1.752      16.961     287.157     267.600     240.546      46.460      19.994       0.000       1.529     628.150       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.752       0.000       0.000       4.785       0.000       0.000       0.000      -0.750       0.222      12.664       0.000       0.000
    365    12    31  2021     15       0  rtu015               833.765      79.047      79.536       1.680       6.935       8.615     308.635     518.031      85.859     418.034      14.138       1.679      16.957     286.987     267.482     240.345      46.445      19.995       0.000       1.529     628.173       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.679       0.000       0.000       6.935       0.000       0.000       0.000      -0.747       0.988      18.355       0.000       0.000
    365    12    31  2021     16       0  rtu016               833.765      79.047      79.535      16.085       1.594      17.679     405.663     495.893      85.859     394.783      15.250      16.085      44.120     185.094     193.313     151.309      28.691      19.995       0.000       1.529     628.168       0.000       0.000      63.182      21.836       0.000       0.000       0.000      16.085       0.000       0.000       1.594       0.000       0.000       0.000       0.315       5.639       5.453       0.000       0.000
    365    12    31  2021     17       0  rtu017               826.870      77.581      78.015       0.000       2.833       2.833     312.587     512.457      89.488     408.371      14.598       0.000      16.730     229.552     220.253     189.715      30.670      16.974       0.000       1.442     629.979       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       2.833       0.000       0.000       0.000      -0.356       0.000       8.472       0.000       0.000
