date,value
2007-03-20,3.32
2007-07-03,1.45
2007-08-01,1.69
2008-02-20,2.05
2008-05-07,1.52
2008-09-03,1.57
2009-02-24,2.79
2009-05-19,1.47
2009-09-08,1.33
2010-01-20,2.33
2010-06-09,5.74
2011-01-19,1.22
2011-02-14,2.3
2011-03-30,2.21
2011-04-18,1.89
2011-05-10,2.37
2011-06-01,1.81
2011-07-11,2.28
2011-08-03,2.08
2011-09-05,1.78
2011-10-17,2.24
2011-11-02,1.56
2011-12-15,1.72
2012-01-20,1.87
2012-01-24,1.73
2012-05-09,1.68
2012-07-04,0.8
2012-08-08,1.2
2012-10-09,1.19
2013-01-22,4.45
2013-05-22,1.71
2013-07-16,1.6
2013-08-01,1.56
2013-10-14,1.67
2014-01-21,1.87
2014-06-19,2.06
2014-09-30,1.87
2014-10-28,1.83
2015-03-04,2.1
2015-05-06,2.05
2015-06-22,2.46
2015-07-07,2.01
2015-08-04,1.85
2015-09-23,2.57
2015-10-12,1.87
2015-11-18,3.25
2016-01-18,2.75
2016-02-08,3.27
2016-03-08,2.75
2016-04-11,2.15
2016-05-30,2.6
2016-06-20,2.46
2016-07-11,1.99
2016-08-23,2.39
2016-09-12,2.64
2016-10-10,2.91
2016-11-10,4.02
2016-12-07,2.42
2017-01-16,2.57
2017-02-13,5.17
2017-03-13,1.96
2017-04-10,1.98
2017-05-23,2.15
2017-06-12,1.72
2017-07-10,1
2017-08-08,0.24
2017-09-11,0.34
2017-10-11,1.55
2017-11-13,1.87
2017-12-07,3.34
2018-01-11,2.62
2018-02-12,2.13
2018-03-12,2.18
2018-04-11,2.1
2018-05-29,1.84
2018-06-13,2.53
2018-07-09,1.6
2018-08-22,0.94
2018-09-20,1.78
2018-10-15,1.77
2018-11-05,2.13
2018-12-17,1.98
2019-01-21,1.84
2019-02-26,1.93
2019-03-20,2.06
2019-04-24,1.48
2019-05-15,2.55
2019-06-05,4.02
2019-07-04,2.16
2019-08-07,2.69
2019-09-02,2.15
2019-10-16,2.13
2019-11-21,2.64
2019-12-12,2.94
2020-01-13,2.35
2020-02-10,2.42
2020-03-10,2.73
2020-04-07,2.16
2020-05-11,1.87
2020-06-08,1.52
2020-07-02,1.45
2020-08-04,1.72
2020-09-08,1.75
2020-10-06,3.21
2020-11-03,2.05
2020-12-07,2.53
