date,value
2007-03-20,0.12
2007-07-03,0.05
2007-08-01,0.08
2008-02-20,0.03
2008-05-07,0.04
2008-09-03,0.08
2009-02-24,0.05
2009-05-19,0.08
2009-09-08,0.08
2010-01-20,0.1
2010-06-09,0.04
2011-01-19,0.06
2011-02-14,0.05
2011-03-30,0.05
2011-04-18,0.05
2011-05-10,0.08
2011-06-01,0.07
2011-07-11,0.07
2011-08-03,0.08
2011-09-05,0.08
2011-10-17,0.05
2011-11-02,0.07
2011-12-15,0.07
2012-01-20,0.52
2012-01-24,0.2
2012-05-09,0.2
2012-07-04,0.08
2012-08-08,0.09
2012-10-09,0.06
2013-01-22,0.14
2013-05-22,0.08
2013-07-16,0.07
2013-08-01,0.06
2013-10-14,0.08
2014-01-21,0.07
2014-06-19,0.06
2014-09-30,0.16
2014-10-28,0.15
2015-03-04,0.03
2015-05-06,0.05
2015-06-22,0.1
2015-07-07,0.07
2015-08-04,0.06
2015-09-23,0.02
2015-10-12,0.07
2015-11-18,0.04
2016-01-18,0.07
2016-02-08,0.07
2016-03-08,0.04
2016-04-11,0.08
2016-05-30,0.07
2016-06-20,0.06
2016-07-11,0.08
2016-08-23,0.18
2016-09-12,0.18
2016-10-10,0.11
2016-11-10,0.17
2016-12-07,0.05
2017-01-16,0.08
2017-02-13,0.07
2017-03-13,0.1
2017-04-10,0.09
2017-05-23,0.06
2017-06-12,0.09
2017-07-10,0.23
2017-08-08,0.12
2017-09-11,0.1
2017-10-11,0.08
2017-11-13,0.07
2017-12-07,0.12
2018-01-11,0.1
2018-02-12,0.17
2018-03-12,0.06
2018-04-11,0.08
2018-05-29,0.09
2018-06-13,0.13
2018-07-09,0.16
2018-08-22,0.05
2018-09-20,0.02
2018-10-15,0.08
2018-11-05,0.05
2018-12-17,0.02
2019-01-21,0.04
2019-02-26,0.05
2019-03-20,0.09
2019-04-24,0.02
2019-05-15,0.07
2019-06-05,0.05
2019-07-04,0.05
2019-08-07,0.17
2019-09-02,0.07
2019-10-16,0.1
2019-11-21,0.21
2019-12-12,0.06
2020-01-13,0.04
2020-02-10,0.09
2020-03-10,0.03
2020-04-07,0.03
2020-05-11,0.1
2020-06-08,0.05
2020-07-02,0.15
2020-08-04,0.14
2020-09-08,0.11
2020-10-06,0.08
2020-11-03,0.04
2020-12-07,0.09
