date,value
2007-01-01,0.04
2007-01-02,0.04
2007-01-03,0.04
2007-01-04,0.04
2007-01-05,0.04
2007-01-06,0.04
2007-01-07,0.04
2007-01-08,0.04
2007-01-09,0.04
2007-01-10,0.04
2007-01-11,0.04
2007-01-12,0.04
2007-01-13,0.04
2007-01-14,0.04
2007-01-15,0.04
2007-01-16,0.038333333
2007-01-17,0.035
2007-01-18,0.035
2007-01-19,0.036666667
2007-01-20,0.045
2007-01-21,0.055
2007-01-22,0.048333333
2007-01-23,0.045625
2007-01-24,0.157541667
2007-01-25,0.184909091
2007-01-26,0.114666667
2007-01-27,0.072384615
2007-01-28,0.069333333
2007-01-29,0.066
2007-01-30,0.072666667
2007-01-31,0.0678
2007-02-01,0.055
2007-02-02,0.055
2007-02-03,0.055
2007-02-04,0.055
2007-02-05,0.051666667
2007-02-06,0.045
2007-02-07,0.106055556
2007-02-08,0.143230769
2007-02-09,0.0908
2007-02-10,0.072666667
2007-02-11,0.062333333
2007-02-12,0.055
2007-02-13,0.517641026
2007-02-14,0.364
2007-02-15,0.1789
2007-02-16,0.13
2007-02-17,0.1132
2007-02-18,0.096666667
2007-02-19,0.084
2007-02-20,0.076
2007-02-21,0.072666667
2007-02-22,0.066
2007-02-23,0.062333333
2007-02-24,0.055
2007-02-25,0.055
2007-02-26,0.389777778
2007-02-27,0.2956
2007-02-28,0.228444444
2007-03-01,0.1738
2007-03-02,0.1392
2007-03-03,0.1132
2007-03-04,0.096666667
2007-03-05,0.082
2007-03-06,0.076
2007-03-07,0.076
2007-03-08,0.09775
2007-03-09,0.4526875
2007-03-10,0.251076923
2007-03-11,0.156555556
2007-03-12,0.111172414
2007-03-13,0.101
2007-03-14,0.086172414
2007-03-15,0.076
2007-03-16,0.076
2007-03-17,0.070074074
2007-03-18,0.066
2007-03-19,0.394489362
2007-03-20,2.616491228
2007-03-21,2.730877193
2007-03-22,1.344042553
2007-03-23,0.968465116
2007-03-24,4.340786885
2007-03-25,2.124242424
2007-03-26,0.85290566
2007-03-27,0.449461538
2007-03-28,0.291567568
2007-03-29,0.210862069
2007-03-30,0.179137931
2007-03-31,0.15
2007-04-01,0.125034483
2007-04-02,0.104692308
2007-04-03,0.101
2007-04-04,0.09762963
2007-04-05,0.080444444
2007-04-06,0.076
2007-04-07,0.071185185
2007-04-08,0.066
2007-04-09,0.057851852
2007-04-10,0.055
2007-04-11,0.055
2007-04-12,0.055
2007-04-13,0.055
2007-04-14,0.048333333
2007-04-15,0.045
2007-04-16,0.041666667
2007-04-17,0.04
2007-04-18,0.04
2007-04-19,0.04
2007-04-20,0.04
2007-04-21,0.038333333
2007-04-22,0.035
2007-04-23,0.031666667
2007-04-24,0.03
2007-04-25,0.03
2007-04-26,0.03
2007-04-27,0.03
2007-04-28,0.03
2007-04-29,0.03
2007-04-30,0.03
2007-05-01,0.03
2007-05-02,0.03
2007-05-03,0.027333333
2007-05-04,0.026
2007-05-05,0.027333333
2007-05-06,0.033333333
2007-05-07,0.035
2007-05-08,0.035
2007-05-09,0.035
2007-05-10,0.035
2007-05-11,0.035
2007-05-12,0.035
2007-05-13,0.033333333
2007-05-14,0.03
2007-05-15,0.03
2007-05-16,0.028
2007-05-17,0.027333333
2007-05-18,0.0375
2007-05-19,0.046
2007-05-20,0.038333333
2007-05-21,0.031666667
2007-05-22,0.028666667
2007-05-23,0.024333333
2007-05-24,0.021
2007-05-25,0.021
2007-05-26,0.019333333
2007-05-27,0.016
2007-05-28,0.014333333
2007-05-29,0.011
2007-05-30,0.011
2007-05-31,0.011
2007-06-01,0.011
2007-06-02,0.011
2007-06-03,0.012666667
2007-06-04,0.016
2007-06-05,0.017666667
2007-06-06,0.021
2007-06-07,0.026
2007-06-08,0.05825
2007-06-09,0.046
2007-06-10,0.035
2007-06-11,0.028666667
2007-06-12,0.024333333
2007-06-13,0.019333333
2007-06-14,0.016
2007-06-15,0.016
2007-06-16,0.0135
2007-06-17,0.011
2007-06-18,0.010333333
2007-06-19,0.009
2007-06-20,0.009
2007-06-21,0.009
2007-06-22,0.008333333
2007-06-23,0.007
2007-06-24,0.007
2007-06-25,0.007
2007-06-26,0.007
2007-06-27,0.007
2007-06-28,0.007
2007-06-29,0.007
2007-06-30,0.007
2007-07-01,0.007
2007-07-02,0.007
2007-07-03,0.007
2007-07-04,0.007
2007-07-05,0.007
2007-07-06,0.007
2007-07-07,0.007
2007-07-08,0.007
2007-07-09,0.007
2007-07-10,0.007
2007-07-11,0.007
2007-07-12,0.008333333
2007-07-13,0.011
2007-07-14,0.010333333
2007-07-15,0.009
2007-07-16,0.008333333
2007-07-17,0.015533333
2007-07-18,0.047133333
2007-07-19,0.019727273
2007-07-20,0.0068
2007-07-21,0.004
2007-07-22,0.004
2007-07-23,0.004
2007-07-24,0.004
2007-07-25,0.004
2007-07-26,0.005
2007-07-27,0.013571429
2007-07-28,0.011090909
2007-07-29,0.004
2007-07-30,0.004
2007-07-31,0.008
2007-08-01,0.016
2007-08-02,0.01175
2007-08-03,0.009
2007-08-04,0.009
2007-08-05,0.009
2007-08-06,0.0072
2007-08-07,0.004
2007-08-08,0.004
2007-08-09,0.004
2007-08-10,0.004
2007-08-11,0.004
2007-08-12,0.005
2007-08-13,0.007666667
2007-08-14,0.009
2007-08-15,0.009
2007-08-16,0.006
2007-08-17,0.004
2007-08-18,0.004
2007-08-19,0.004
2007-08-20,0.004
2007-08-21,0.0062
2007-08-22,0.009
2007-08-23,0.009
2007-08-24,0.01375
2007-08-25,0.027333333
2007-08-26,0.028666667
2007-08-27,0.022
2007-08-28,0.016
2007-08-29,0.025571429
2007-08-30,0.056
2007-08-31,0.096666667
2007-09-01,0.083285714
2007-09-02,0.0505
2007-09-03,0.020166667
2007-09-04,0.011
2007-09-05,0.01975
2007-09-06,0.026
2007-09-07,0.065315789
2007-09-08,0.124571429
2007-09-09,0.044636364
2007-09-10,0.027333333
