date,value
2007-03-20,156
2007-07-03,54
2007-08-01,84
2008-02-20,3
2008-05-07,20
2008-09-03,60
2009-02-24,12
2009-05-19,44
2009-09-08,81
2010-01-20,19
2010-06-09,24
2011-01-19,11
2011-02-14,9
2011-03-30,17
2011-04-18,28
2011-05-10,48
2011-06-01,32
2011-07-11,42
2011-08-03,62
2011-09-05,36
2011-10-17,10
2011-11-02,10
2011-12-15,8
2012-01-24,8
2012-05-09,25
2012-07-04,10
2012-08-08,9
2012-10-09,14
2013-01-22,175
2013-05-22,21
2013-07-16,25
2013-08-01,11
2013-10-14,21
2014-01-21,12
2014-06-19,10
2014-09-30,33
2014-10-28,29
2015-03-04,28
2015-05-06,21
2015-06-22,38
2015-07-07,26
2015-08-04,21
2015-09-23,15
2015-10-12,45
2015-11-18,14
2016-01-18,25
2016-02-08,20
2016-03-08,36
2016-04-11,18
2016-05-30,22
2016-06-20,65
2016-07-11,23
2016-08-23,13
2016-09-12,12
2016-10-10,26
2016-11-10,30
2016-12-07,7
2017-01-16,17
2017-02-13,25
2017-03-13,13
2017-04-10,21
2017-05-23,14
2017-06-12,14
2017-07-10,40
2017-08-08,14
2017-09-11,20
2017-10-11,10
2017-11-13,226
2017-12-07,34
2018-01-11,100
2018-02-12,41
2018-03-12,76
2018-04-11,33
2018-05-29,44
2018-06-13,682
2018-07-09,27
2018-08-22,19
2018-09-20,36
2018-10-15,59
2018-11-05,62
2018-12-17,60
2019-01-21,64
2019-02-26,44
2019-03-20,31
2019-04-24,47
2019-05-15,45
2019-06-05,68
2019-07-04,48
2019-08-07,41
2019-09-02,39
2019-10-16,35
2019-11-21,36
2019-12-12,23
2020-01-13,29
2020-02-10,23
2020-03-10,31
2020-04-07,26
2020-05-11,37
2020-06-08,25
2020-07-02,22
2020-08-04,25
2020-09-08,20
2020-10-06,48
2020-11-03,19
2020-12-07,16
