crop_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3,doy1,doy2,land_use,year
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl207,2008
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl207,2008
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl207,2008
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl207,2008
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl207,2008
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl207,2008
pota,9,1,9,15,tillage,fallplow,NA,NA,244,258,agrl207,2008
pota,10,1,10,15,fertilizer,swine_fr,broadcast,25000,274,288,agrl207,2008
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl246,2007
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl246,2007
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl246,2007
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl246,2007
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl246,2007
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl246,2007
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl246,2007
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl246,2007
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl246,2007
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl247,2004
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl247,2004
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl247,2004
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl247,2004
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl247,2004
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl247,2004
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl247,2004
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl247,2004
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl247,2007
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl247,2007
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl247,2007
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl247,2007
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl247,2007
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl247,2007
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl247,2007
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl247,2007
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl247,2007
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl247,2009
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl247,2009
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl247,2009
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl247,2009
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl247,2009
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl247,2009
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl247,2009
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl247,2009
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl247,2009
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl253,2006
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl253,2006
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl253,2006
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl253,2006
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl253,2006
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl253,2006
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl253,2006
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl258,2006
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl258,2006
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl258,2006
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl258,2006
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl258,2006
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl258,2006
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl258,2006
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl343,2004
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl343,2004
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl343,2004
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl343,2004
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl343,2004
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl343,2004
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl343,2004
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl343,2004
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl343,2009
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl343,2009
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl343,2009
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl343,2009
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl343,2009
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl343,2009
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl343,2009
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl343,2009
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl343,2009
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl344,2004
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl344,2004
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl344,2004
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl344,2004
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl344,2004
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl344,2004
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl344,2004
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl344,2004
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl344,2009
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl344,2009
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl344,2009
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl344,2009
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl344,2009
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl344,2009
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl344,2009
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl344,2009
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl344,2009
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl996,2008
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl996,2008
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl996,2008
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl996,2008
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl996,2008
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl996,2008
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl996,2008
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl996,2008
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl996,2008
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl1008,2004
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl1008,2004
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl1008,2004
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl1008,2004
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl1008,2004
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl1008,2004
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl1008,2004
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl1008,2004
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl1008,2009
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl1008,2009
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl1008,2009
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl1008,2009
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl1008,2009
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl1008,2009
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl1008,2009
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl1008,2009
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl1008,2009
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl1145,2004
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl1145,2004
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl1145,2004
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1145,2004
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1145,2004
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1145,2004
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl1145,2009
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl1145,2009
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl1145,2009
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl1145,2009
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1145,2009
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1145,2009
