FID,Shape *,id,type,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024,y_2025,drainage
0,Polygon,1,frsd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
1,Polygon,2,frsd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
2,Polygon,3,frsd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
3,Polygon,4,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
4,Polygon,5,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
5,Polygon,6,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
6,Polygon,7,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
7,Polygon,8,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
8,Polygon,9,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
9,Polygon,10,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
10,Polygon,11,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
11,Polygon,12,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
12,Polygon,13,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
13,Polygon,14,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
14,Polygon,15,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
15,Polygon,16,frse, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
