 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   365    12    31  2023       1       0  hru001                 2.510   73201.219       0.000    2553.794       8.284       3.292      41.194     117.625     113.886       0.016       0.000     418.674       3.643      54.530      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       2       0  hru002                 2.510   73282.844       0.000    2554.829       8.310       2.685      44.099     117.625     113.370       0.015       0.000     420.177       3.571      54.714      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       3       0  hru003                 2.510   70467.586       0.000    2466.842       8.146       6.302       1.752     117.625     124.028       0.027       0.000     378.531       1.835      49.719      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       4       0  hru004                 2.510   70577.664       0.000    2489.713       8.287       2.442       0.146     117.625     124.779       0.026       0.000     381.025       0.300      50.221      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       5       0  hru005                 2.510   70982.719       0.000    2502.728       8.290       2.367       0.277     117.625     123.353       0.023       0.000     387.710       0.647      50.972      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       6       0  hru006                 2.510   70776.859       0.000    2496.106       8.288       2.408       0.174     117.625     124.051       0.023       0.000     384.254       0.432      50.585      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       7       0  hru007                 2.510   71216.172       0.000    2510.276       8.294       2.282       0.841     117.625     122.558       0.021       0.000     391.660       1.042      51.414      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       8       0  hru008                 2.510   70541.672       0.000    2488.563       8.287       2.447       0.143     117.625     124.910       0.026       0.000     380.436       0.282      50.154      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       9       0  hru009                 2.510   65690.078       0.000    2292.710       8.490       1.115     125.771     117.625     115.118       0.043       0.000     349.318       8.646      46.368      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
