 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha                    kgha             kgha
   365    12    31  2023       1       0  hru001         0.000       0.000      -7.865     -10.183            0.000            0.000            0.000            2.211            0.643            9.056            0.107           48.542            5.102            5.490            4.941           53.570            7.353            0.000            0.000
   365    12    31  2023       2       0  hru002         0.000       0.000      -7.907     -10.265            0.000            0.000            0.000            2.214            0.644            9.062            0.107           48.592            5.102            5.490            4.941           53.658            7.359            0.000            0.000
   365    12    31  2023       3       0  hru003         0.000       0.000      -6.603      -8.751            0.000            0.000            0.000            1.482            0.460            8.949            0.075           46.818            4.961            5.490            4.941           49.228            6.938            0.000            0.000
   365    12    31  2023       4       0  hru004         0.000       0.000      -7.022     -10.386            0.000            0.000            0.000            2.590            0.744            8.643            0.125           46.397            4.929            5.490            4.941           48.715            6.865            0.000            0.000
   365    12    31  2023       5       0  hru005         0.000       0.000      -7.247     -10.484            0.000            0.000            0.000            2.645            0.748            8.676            0.125           46.657            4.953            5.490            4.941           49.345            6.935            0.000            0.000
   365    12    31  2023       6       0  hru006         0.000       0.000      -7.116     -10.427            0.000            0.000            0.000            2.617            0.746            8.658            0.125           46.519            4.940            5.490            4.941           49.010            6.898            0.000            0.000
   365    12    31  2023       7       0  hru007         0.000       0.000      -7.446     -10.572            0.000            0.000            0.000            2.689            0.751            8.701            0.126           46.844            4.970            5.490            4.941           49.792            6.984            0.000            0.000
   365    12    31  2023       8       0  hru008         0.000       0.000      -7.008     -10.379            0.000            0.000            0.000            2.585            0.744            8.640            0.125           46.376            4.927            5.490            4.941           48.664            6.859            0.000            0.000
   365    12    31  2023       9       0  hru009         0.000       0.000      -9.105     -10.943            0.000            0.000            0.000            1.613            0.695            8.429            0.116           44.983            4.552            5.490            4.941           45.483            6.218            0.000            0.000
   365    12    31  2023      10       0  hru010         0.000       0.000      -7.466     -10.581            0.000            0.000            0.000            2.695            0.752            8.704            0.126           46.861            4.972            5.490            4.941           49.833            6.989            0.000            0.000
   365    12    31  2023      11       0  hru011         0.000       0.000      -7.450     -10.574            0.000            0.000            0.000            2.690            0.751            8.702            0.126           46.848            4.971            5.490            4.941           49.801            6.985            0.000            0.000
   365    12    31  2023      12       0  hru012         0.000       0.000      -7.838     -10.746            0.000            0.000            0.000            2.753            0.759            8.747            0.127           47.198            5.003            5.490            4.941           50.641            7.076            0.000            0.000
   365    12    31  2023      13       0  hru013         0.000       0.000      -7.352     -10.530            0.000            0.000            0.000            2.670            0.750            8.690            0.125           46.757            4.962            5.490            4.941           49.584            6.962            0.000            0.000
   365    12    31  2023      14       0  hru014         0.000       0.000      -7.393     -10.548            0.000            0.000            0.000            2.677            0.750            8.695            0.126           46.795            4.966            5.490            4.941           49.675            6.972            0.000            0.000
   365    12    31  2023      15       0  hru015         0.000       0.000      -7.230     -10.477            0.000            0.000            0.000            2.642            0.748            8.674            0.125           46.640            4.951            5.490            4.941           49.304            6.931            0.000            0.000
   365    12    31  2023      16       0  hru016         0.000       0.000      -8.549     -10.214            0.000            0.000            0.000            1.546            0.684            8.090            0.114           42.479            4.495            5.490            4.941           40.208            5.849            0.000            0.000
   365    12    31  2023      17       0  hru017         0.000       0.000      -6.030      -8.256            0.000            0.000            0.000            1.579            0.454            9.118            0.074           47.944            5.058            5.490            4.941           51.915            7.199            0.000            0.000
   365    12    31  2023      18       0  hru018         0.000       0.000      -7.444      -9.160            0.000            0.000            0.000            1.308            0.484            8.673            0.079           45.059            4.792            5.490            4.941           44.827            6.481            0.000            0.000
   365    12    31  2023      19       0  hru019         0.000       0.000      -9.240     -11.449            0.000            0.000            0.000            2.114            0.818            8.100            0.137           43.126            4.573            5.490            4.941           41.090            6.006            0.000            0.000
   365    12    31  2023      20       0  hru020         0.000       0.000      -7.420      -9.171            0.000            0.000            0.000            1.215            0.483            8.482            0.079           43.778            4.667            5.490            4.941           42.109            6.173            0.000            0.000
   365    12    31  2023      21       0  hru021         0.000       0.000      -6.501      -8.693            0.000            0.000            0.000            1.596            0.456            9.150            0.074           48.183            5.083            5.490            4.941           52.555            7.270            0.000            0.000
   365    12    31  2023      22       0  hru022         0.000       0.000      -6.537      -8.709            0.000            0.000            0.000            1.599            0.457            9.155            0.074           48.222            5.087            5.490            4.941           52.652            7.280            0.000            0.000
   365    12    31  2023      23       0  hru023         0.000       0.000      -5.861      -8.564            0.000            0.000            0.000           14.690            4.990            4.787            0.854           42.271            4.548            5.490            4.941           40.672            5.867            0.000            0.000
   365    12    31  2023      24       0  hru024         0.000       0.000      -5.941      -8.600            0.000            0.000            0.000           14.747            5.004            4.784            0.857           42.313            4.552            5.490            4.941           40.754            5.876            0.000            0.000
   365    12    31  2023      25       0  hru025         0.000       0.000      -6.251      -8.584            0.000            0.000            0.000            1.577            0.453            9.118            0.073           47.939            5.058            5.490            4.941           51.933            7.197            0.000            0.000
   365    12    31  2023      26       0  hru026         0.000       0.000      -6.546      -8.714            0.000            0.000            0.000            1.591            0.457            9.142            0.074           48.136            5.079            5.490            4.941           52.438            7.259            0.000            0.000
   365    12    31  2023      27       0  hru027         0.000       0.000      -7.149      -9.196            0.000            0.000            0.000            1.592            0.463            9.091            0.075           47.888            5.048            5.490            4.941           52.280            7.187            0.000            0.000
   365    12    31  2023      28       0  hru028         0.000       0.000      -6.226      -8.574            0.000            0.000            0.000            1.575            0.452            9.115            0.073           47.917            5.056            5.490            4.941           51.876            7.190            0.000            0.000
   365    12    31  2023      29       0  hru029         0.000       0.000      -6.799      -9.043            0.000            0.000            0.000            1.538            0.457            9.002            0.074           47.246            4.986            5.490            4.941           50.748            7.018            0.000            0.000
   365    12    31  2023      30       0  hru030         0.000       0.000      -7.769     -10.252            0.000            0.000            0.000            2.116            0.643            8.994            0.107           48.153            5.078            5.490            4.941           52.373            7.265            0.000            0.000
   365    12    31  2023      31       0  hru031         0.000       0.000      -6.538      -8.540            0.000            0.000            0.000            1.300            0.476            8.636            0.078           44.862            4.784            5.490            4.941           44.532            6.463            0.000            0.000
   365    12    31  2023      32       0  hru032         0.000       0.000      -7.839     -10.422            0.000            0.000            0.000            0.580            0.554            1.263            0.095            9.184            1.877            5.490            4.941           18.481            3.961            0.000            0.000
   365    12    31  2023      33       0  hru033         0.000       0.000      -6.475      -8.944            0.000            0.000            0.000            0.380            0.371            1.351            0.063            8.856            1.827            5.490            4.941           17.905            3.874            0.000            0.000
   365    12    31  2023      34       0  hru034         0.000       0.000      -8.152     -10.443            0.000            0.000            0.000            0.641            0.613            1.936            0.105           14.009            2.448            5.490            4.941           21.946            4.350            0.000            0.000
   365    12    31  2023      35       0  hru035         0.000       0.000      -6.816      -9.112            0.000            0.000            0.000            0.476            0.423            2.084            0.072           14.044            2.455            5.490            4.941           22.025            4.367            0.000            0.000
   365    12    31  2023      36       0  hru036         0.000       0.000      -7.471      -9.394            0.000            0.000            0.000            0.484            0.431            2.087            0.073           14.103            2.464            5.490            4.941           22.153            4.390            0.000            0.000
   365    12    31  2023      37       0  hru037         0.000       0.000      -9.018     -11.051            0.000            0.000            0.000            0.592            0.641            1.868            0.109           13.674            2.379            5.490            4.941           21.370            4.225            0.000            0.000
   365    12    31  2023      38       0  hru038         0.000       0.000      -7.048      -9.211            0.000            0.000            0.000            0.478            0.425            2.084            0.072           14.056            2.457            5.490            4.941           22.054            4.372            0.000            0.000
   365    12    31  2023      39       0  hru039         0.000       0.000      -6.754      -9.085            0.000            0.000            0.000            0.476            0.423            2.084            0.072           14.042            2.454            5.490            4.941           22.019            4.366            0.000            0.000
   365    12    31  2023      40       0  hru040         0.000       0.000      -8.868     -10.913            0.000            0.000            0.000            0.637            0.637            1.850            0.109           13.707            2.361            5.490            4.941           21.609            4.233            0.000            0.000
   365    12    31  2023      41       0  hru041         0.000       0.000      -7.412      -9.382            0.000            0.000            0.000            0.441            0.431            2.010            0.073           13.592            2.380            5.490            4.941           21.174            4.211            0.000            0.000
   365    12    31  2023      42       0  hru042         0.000       0.000      -9.055     -11.067            0.000            0.000            0.000            0.589            0.641            1.863            0.110           13.647            2.374            5.490            4.941           21.327            4.215            0.000            0.000
   365    12    31  2023      43       0  hru043         0.000       0.000      -7.024      -9.992            0.000            0.000            0.000            0.268            0.327            4.122            0.056           20.391            3.675            5.490            4.941           25.397            5.078            0.000            0.000
   365    12    31  2023      44       0  hru044         0.000       0.000      -8.015     -10.542            0.000            0.000            0.000            0.702            0.460            4.934            0.078           24.765            5.249            5.490            4.941           29.508            7.305            0.000            0.000
   365    12    31  2023      45       0  hru045         0.000       0.000      -6.417      -9.656            0.000            0.000            0.000            0.300            0.260            3.590            0.044           17.130            2.860            5.490            4.941           21.164            3.499            0.000            0.000
