 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   365    12    31  2023       1       0  hru001                 2.510   73151.805       0.000    2524.589       8.367       1.976      51.164     117.625     111.837       0.024       0.000     419.689       2.870      54.774      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       2       0  hru002                 2.510   73143.305       0.000    2522.180       8.388       1.454      54.725     117.625     111.068       0.024       0.000     420.614       2.826      54.886      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       3       0  hru003                 2.510   71166.570       0.000    2460.604       8.180       5.313       2.965     117.625     121.439       0.031       0.000     388.569       2.128      50.977      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       4       0  hru004                 2.510   70698.820       0.000    2461.382       8.294       2.421       0.002     117.625     123.737       0.033       0.000     383.054       0.527      50.479      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       5       0  hru005                 2.510   71046.422       0.000    2473.287       8.299       2.302       0.196     117.625     122.516       0.032       0.000     388.728       0.962      51.124      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       6       0  hru006                 2.510   70861.930       0.000    2466.568       8.296       2.371       0.040     117.625     123.173       0.032       0.000     385.735       0.700      50.782      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       7       0  hru007                 2.510   71295.477       0.000    2479.925       8.306       2.159       1.046     117.625     121.628       0.031       0.000     392.482       1.385      51.557      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       8       0  hru008                 2.510   70670.539       0.000    2460.482       8.294       2.428       0.000     117.625     123.838       0.033       0.000     382.591       0.502      50.427      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       9       0  hru009                 2.510   64913.324       0.000    2236.806       8.520       1.044     138.606     117.625      97.902       0.061       0.000     368.074       7.196      48.549      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      10       0  hru010                 2.510   71319.586       0.000    2480.699       8.307       2.141       1.214     117.625     121.559       0.031       0.000     392.807       1.429      51.596      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      11       0  hru011                 2.510   71300.648       0.000    2480.091       8.306       2.152       1.077     117.625     121.614       0.031       0.000     392.554       1.394      51.566      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      12       0  hru012                 2.510   71772.992       0.000    2494.690       8.333       1.531       8.680     117.625     120.130       0.030       0.000     399.206       2.292      52.345      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      13       0  hru013                 2.510   71178.898       0.000    2477.527       8.302       2.235       0.503     117.625     122.034       0.031       0.000     390.752       1.180      51.358      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      14       0  hru014                 2.510   71230.906       0.000    2477.858       8.304       2.203       0.702     117.625     121.856       0.031       0.000     391.512       1.270      51.445      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      15       0  hru015                 2.510   71023.859       0.000    2472.566       8.299       2.309       0.169     117.625     122.603       0.032       0.000     388.365       0.927      51.082      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      16       0  hru016                 2.510   64304.914       0.000    2239.417       8.344       2.580      85.942     117.625     130.810       0.062       0.000     325.710       5.029      43.424      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      17       0  hru017                 2.510   72572.461       0.000    2506.468       8.123       7.215       0.026     117.625     115.854       0.028       0.000     408.000       1.162      53.159      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      18       0  hru018                 2.510   68679.758       0.000    2378.887       8.345       1.418      30.716     117.625     129.481       0.040       0.000     353.900       3.849      47.039      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      19       0  hru019                 2.510   65479.324       0.000    2288.072       8.477       0.024      76.737     117.625     132.901       0.055       0.000     331.726       3.744      44.254      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      20       0  hru020                 2.510   66867.547       0.000    2314.423       8.350       1.930      42.294     117.625     134.620       0.048       0.000     336.533       3.637      44.822      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      21       0  hru021                 2.510   72920.727       0.000    2517.619       8.149       6.461       0.518     117.625     114.931       0.027       0.000     413.391       1.936      53.800      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      22       0  hru022                 2.510   72978.609       0.000    2519.451       8.155       6.254       0.744     117.625     114.815       0.027       0.000     414.165       2.038      53.886      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      23       0  hru023                 2.510   65167.914       0.000    2241.591       8.379       0.463       5.802     117.625     144.365       0.059       0.000     315.694       0.830      42.395      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      24       0  hru024                 2.510   65224.336       0.000    2242.645       8.385       0.394       7.975     117.625     144.169       0.059       0.000     316.253       0.911      42.464      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      25       0  hru025                 2.510   72562.594       0.000    2503.975       8.119       7.390       0.047     117.625     115.737       0.028       0.000     408.190       1.267      53.143      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      26       0  hru026                 2.510   72867.062       0.000    2515.890       8.157       6.215       0.871     117.625     115.202       0.027       0.000     412.536       2.068      53.701      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      27       0  hru027                 2.510   72430.695       0.000    2500.622       8.057       9.239       3.669     117.625     114.481       0.028       0.000     410.572       2.858      53.207      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      28       0  hru028                 2.510   72530.641       0.000    2502.975       8.117       7.453       0.032     117.625     115.822       0.028       0.000     407.688       1.205      53.075      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      29       0  hru029                 2.510   71536.781       0.000    2469.902       7.995      10.414       0.416     117.625     116.739       0.031       0.000     398.730       1.915      51.767      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      30       0  hru030                 2.510   72831.969       0.000    2526.873       8.347       2.228      37.273     117.625     115.246       0.027       0.000     411.580       3.058      53.809      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      31       0  hru031                 2.510   68616.250       0.000    2381.869       8.285       0.332       9.535     117.625     131.168       0.040       0.000     353.801       2.100      46.991      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      32       0  hru032                 2.146   45484.582     346.538    2611.970       8.387       1.639      39.567     156.101      31.491       0.734       0.000      36.725       1.679       9.104      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      33       0  hru033                 2.135   44512.453     337.351    2539.819       8.235       4.489       0.120     155.298      36.232       0.734       0.000      35.265       0.622       8.724      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      34       0  hru034                 0.549   29229.971       0.000    1049.289       8.461       0.084       6.377     140.090     116.012       0.734       0.000      83.895       1.070      22.166      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      35       0  hru035                 0.548   29308.371       0.000    1050.048       8.440       0.189       0.077     140.090     115.437       0.734       0.000      84.345       0.505      22.286      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      36       0  hru036                 0.548   29422.510       0.000    1053.538       8.463       0.187       8.683     140.090     114.641       0.734       0.000      85.103       1.207      22.448      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      37       0  hru037                 0.548   28411.951       0.000    1017.102       8.530       0.240     136.301     140.090     112.088       0.734       0.000      82.187       2.177      21.692      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      38       0  hru038                 0.548   29331.605       0.000    1051.032       8.444       0.189       0.520     140.090     115.258       0.734       0.000      84.548       0.708      22.329      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      39       0  hru039                 0.548   29304.482       0.000    1049.938       8.440       0.189       0.041     140.090     115.476       0.734       0.000      84.297       0.457      22.276      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      40       0  hru040                 0.548   28170.494       0.000    1003.281       8.534       0.094     166.386     140.090      97.061       0.734       0.000      85.418       1.663      22.283      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      41       0  hru041                 0.549   28395.150       0.000    1018.913       8.463       0.058       7.412     140.090     120.479       0.734       0.000      80.802       0.993      21.426      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      42       0  hru042                 0.548   28339.500       0.000    1014.274       8.532       0.240     139.936     140.090     111.521       0.734       0.000      82.124       2.238      21.669      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      43       0  hru043                 1.383   50875.770       0.000    1490.452       8.188      73.448       0.000     163.281      16.233       0.674       0.000     109.673       0.000      30.472      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      44       0  hru044                 1.685   68885.094       0.000    2304.646       8.209      13.224       7.768     163.281     143.072       0.242       0.000      77.338       1.015      30.888      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      45       0  hru045                 1.085   41496.461       0.000    1165.569       8.376     104.586       0.000     163.281       0.435       0.734       0.000     116.418       0.000      22.750      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      46       0  hru046                 1.674   65846.617       0.000    2139.715       7.926      45.054       0.000     163.281     114.444       0.282       0.000      81.390       0.179      31.634      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      47       0  hru047                 1.088   41435.176       0.000    1164.607       8.382     104.644       0.000     163.281       0.439       0.734       0.000     115.862       0.000      22.660      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      48       0  hru048                 1.100   40697.211       0.000    1142.661       8.424     105.753       0.000     163.281       0.000       0.734       0.000     115.562       0.000      21.956      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      49       0  hru049                 1.121   41879.113       0.000    1205.893       8.377     109.797       0.000     163.281       1.197       0.734       0.000     116.825       0.000      22.864      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      50       0  hru050                 1.121   41879.223       0.000    1205.897       8.377     109.797       0.000     163.281       1.197       0.734       0.000     116.826       0.000      22.864      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
