Indicator;statusquo;covcrop;rotation;afforestation;pond;all
Nload;24962 (22209, 27715);-0.24 (-0.25, -0.22);1.7 (, );0.098 (0.068, 0.13);15 (, );16 (, )
Pload;205 (194, 215);0.059 (0.055, 0.062);0.34 (, );0.29 (0.23, 0.34);-2.6 (-3, -2.2);-2.2 (-2.6, -1.9)
Sedload;4.1 (3.8, 4.4);0.19 (0.14, 0.23);-10 (-11, -9.7);-19 (-20, );-52 (-55, -50);-60 (-63, -57)
Q_max;1.6 (1.5, );-3.6 (-5, -2.1);-3.7 (-5.1, -2.4);-1.7 (-3.8, 0.31);9.3 (3.7, 15);10 (3.5, 17)
Q_max_aa;1.2 (, 1.3);-0.58 (-0.92, -0.24);-1.1 (-1.6, -0.64);-0.78 (-0.84, -0.72);1.2 (0.32, 2);0.93 (-0.4, 2.3)
Q_p95;0.54 (0.53, 0.56);-0.28 (-0.57, 0);0.084 (-0.19, 0.36);-0.93 (-1.3, -0.54);0.95 (-0.18, 2.1);1.5 (0.18, 2.8)
Q_p90;0.35 (0.34, 0.36);0.0054 (-0.28, 0.29);0.44 (-0.28, 1.2);-0.28 (-0.56, 0);15 (13, 17);17 (15, 18)
Q_p50;0.11 (0.1, 0.13);-0.4 (-0.79, 0);0 (, );-4 (, );1.8 (1.6, 2);-1.3 (-1.6, -0.99)
Q_p10;0.0075 (0.005, 0.01);0 (, );0 (, );-15 (-20, -10);-5 (-10, 0);-5 (-10, 0)
Q_p05;0.0015 (0.001, 0.002);0 (, );0 (, );-25 (-50, 0);0 (, );-25 (-50, 0)
Q_min;0 (, );NA (, );NA (, );NA (, );NA (, );NA (, )
Q_min_aa;0.005 (0.004, 0.006);0 (, );0 (, );-21 (-25, -17);0 (, );0 (, )
Q_maxmin;9650 (9055, 10244);-3.5 (-5, -2);-0.18 (-2.9, 2.5);44 (28, 61);59 (30, 88);201 (155, 246)
Q_maxmin_aa;273 (215, 332);-6.3 (-7.8, -4.8);-9.1 (-11, -7.5);6.7 (1.7, 12);-4.7 (-11, 1.9);-3.1 (-3.4, -2.8)
Q_low_days;0.05 (0.043, 0.058);-0.86 (-1.7, 0);-5.2 (-7, -3.4);9.8 (9.3, 10);-2.9 (-3.4, -2.3);7.8 (7, 8.6)
Q_high_days;0.05 (, );-1 (-2, 0);1 (0, 2);-1 (-2, 0);2 (0, 4);3 (0, 6)
Nconc_days;0.7 (0.61, 0.78);-0.23 (-0.33, -0.13);1.5 (0.64, 2.3);-0.15 (-0.16, -0.13);1.6 (1.3, 2);4.1 (2.7, 5.6)
Pconc_days;0.2 (0.17, 0.23);0.081 (-0.44, 0.6);-0.6 (-1.2, 0);4.7 (3.5, 6);-8.7 (-9.6, -7.9);-4.7 (-5.2, -4.2)
Sedconc_days;0.0015 (0.001, 0.002);0 (, );-25 (-50, 0);-25 (-50, 0);-100 (, );-100 (, )
N_loss;65 (62, 67);-0.35 (-0.36, -0.34);2 (1.9, 2.1);0.22 (0.13, 0.32);0.02 (0.019, 0.021);1.5 (1.3, 1.6)
P_loss;3.9 (3.5, 4.2);-0.13 (-0.14, -0.12);0.61 (0.57, 0.66);-0.93 (-0.96, -0.9);-0.026 (-0.028, -0.024);-0.5 (-0.57, -0.43)
Sed_loss;0.046 (0.042, 0.051);-1.2 (-2.4, 0);-4.3 (-4.8, -3.9);-24 (, );-1.2 (-2.4, 0);-25 (, -24)
N_loss_ratio;0.26 (0.25, 0.27);-0.58 (-0.75, -0.41);-0.39 (-0.41, -0.37);-0.39 (-0.41, -0.37);0 (, );-1.2 (, -1.1)
P_loss_ratio;0.063 (0.057, 0.069);-0.72 (-1.4, 0);-2.3 (-2.9, -1.8);-2.3 (-2.9, -1.8);-0.72 (-1.4, 0);-3.9 (-4.3, -3.5)
sw;264 (253, 276);-0.0042 (-0.0047, -0.0036);0.08 (0.071, 0.089);-1.4 (-1.5, -1.2);-0.017 (-0.018, -0.015);-1.2 (-1.3, -1.1)
sw300;32 (, );0 (, );0.12 (0.11, );-1.9 (-2, -1.7);-0.016 (, );-1.8 (-1.9, -1.6)
perc;249 (245, 254);0.016 (0.01, 0.022);0.33 (0.3, 0.36);-0.93 (-0.96, -0.89);-0.039 (-0.041, -0.037);-0.58 (, -0.57)
sw_5_6_7_8_9;212 (202, 223);0.018 (0.017, 0.019);0.14 (0.13, 0.15);-2.1 (-2.4, -1.8);-0.014 (-0.016, -0.012);-1.9 (-2.1, -1.6)
sw_5;242 (229, 254);0.004 (0.0028, 0.0052);0.26 (, );2.3 (2.2, );-0.018 (-0.021, -0.015);2.4 (, )
sw_6;201 (190, 213);0.018 (0.015, 0.021);0.22 (0.21, 0.23);-0.29 (-0.51, -0.061);-0.016 (-0.019, -0.014);-0.066 (-0.28, 0.15)
sw_7;193 (182, 204);0.02 (0.019, 0.021);0.087 (0.072, 0.1);-3.3 (-3.7, -2.9);-0.015 (-0.017, -0.013);-3.1 (-3.5, -2.7)
sw_8;204 (194, 214);0.027 (, );0.064 (0.048, 0.079);-4.8 (-5.2, -4.4);-0.011 (-0.013, -0.0093);-4.5 (-4.9, -4.2)
sw_9;223 (214, 232);0.024 (0.023, 0.025);0.065 (0.05, 0.08);-4.9 (-5.2, -4.6);-0.0096 (-0.01, -0.0089);-4.6 (-4.9, -4.3)
grain_units_aa;4537 (4492, 4583);0.012 (0.01, 0.014);2.2 (2.1, );0.04 (0.031, 0.048);-0.00024 (, );1.8 (1.7, )
crops_ha_aa;1921 (, );0 (, );-1.7 (, );-28 (, );-0.05 (, );-29 (, )
pota_ha;216 (, );0 (, );0 (, );0 (, );0 (, );0 (, )
barl_ha;87 (, );0 (, );0 (, );0 (, );0 (, );0 (, )
csil_ha;16 (, );0 (, );42 (, );11 (, );0 (, );42 (, )
fesc_ha;821 (, );0 (, );-5.3 (, );-66 (, );-0.12 (, );-69 (, )
wwht_ha;236 (, );0 (, );0 (, );0 (, );0 (, );0 (, )
oats_ha;153 (, );0 (, );7 (, );-0.27 (, );0 (, );7 (, )
canp_ha;244 (, );0 (, );0 (, );0 (, );0 (, );0 (, )
lupn_ha;148 (, );0 (, );-4.8 (, );-0.068 (, );0 (, );-4.8 (, )
pota_yld_t_ha;6.8 (6.7, 6.9);-0.22 (-0.3, -0.15);0 (, );0 (, );0 (, );-0.22 (-0.3, -0.15)
barl_yld_t_ha;4 (, );-0.62 (-0.75, -0.5);0 (, );0.12 (0, 0.25);0 (, );-0.62 (-0.75, -0.5)
csil_yld_t_ha;8.6 (, );0 (, );1.9 (1.7, 2);0.99 (0.92, 1);0 (, );1.8 (1.7, )
fesc_yld_t_ha;0.32 (0.31, );0 (, );6.4 (6.3, 6.5);170 (169, 171);0 (, );190 (, 191)
wwht_yld_t_ha;2.3 (2.2, );0 (, );0 (, );0 (, );0 (, );0 (, )
oats_yld_t_ha;2.9 (, 3);0.68 (, );-0.17 (-0.34, 0);0 (, );0 (, );0 (, )
canp_yld_t_ha;4.3 (, 4.4);0 (, );0 (, );0 (, );0 (, );0.11 (0, 0.23)
lupn_yld_t_ha;0.91 (, );0.55 (0, 1.1);0.55 (0, 1.1);-0.55 (-1.1, 0);0 (, );0.55 (0, 1.1)
