 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   365    12    31  2023       1       0  hru001               792.783      47.884      47.868      26.683      15.910      42.592     201.260     553.444      82.347     455.327      15.771      26.678      77.861     383.796     299.679     218.344      26.305       0.000       0.000       0.260     690.130       0.000       0.000       0.000       0.000       0.000       0.000       0.000      26.678       0.000       0.000      15.910       0.000       0.000       0.000      -4.412       2.219     984.834       0.000       0.000
   365    12    31  2023       2       0  hru002               792.783      47.884      47.868      27.791      15.127      42.918     198.923     555.452      82.347     457.478      15.627      27.785      78.040     390.527     306.393     225.300      25.127       0.000       0.000       0.260     690.130       0.000       0.000       0.000       0.000       0.000       0.000       0.000      27.785       0.000       0.000      15.127       0.000       0.000       0.000      -4.413       2.850     936.384       0.000       0.000
   365    12    31  2023       3       0  hru003               792.783      47.883      47.867       0.000     394.561     394.561     122.349     541.782      82.348     441.050      18.384       0.000      29.536     339.140     305.522     186.578      27.186       0.000       0.000       0.260     690.117       0.000       0.000       0.000     263.978       0.000       0.000       0.000       0.000       0.000       0.000     394.561       0.000       0.000       0.000      -1.763       0.000    1259.937       0.000       0.000
   365    12    31  2023       4       0  hru004               792.783      47.884      47.868       0.000     221.627     221.627      14.035     558.607      82.346     457.746      18.516       0.000      24.013     285.759     265.698     199.273      43.375       0.000       0.000       0.260     690.138       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     221.627       0.000       0.000       0.000      -1.052       0.000     586.571       0.000       0.000
   365    12    31  2023       5       0  hru005               792.783      47.884      47.868       0.000     208.094     208.094      27.850     558.576      82.346     458.006      18.225       0.000      25.189     307.733     280.142     204.617      43.497       0.000       0.000       0.260     690.133       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     208.094       0.000       0.000       0.000      -1.447       0.000     550.754       0.000       0.000
   365    12    31  2023       6       0  hru006               792.783      47.883      47.867       0.000     216.518     216.518      19.281     558.558      82.347     457.838      18.372       0.000      24.475     294.708     271.554     201.512      43.438       0.000       0.000       0.260     690.125       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     216.518       0.000       0.000       0.000      -1.214       0.000     573.050       0.000       0.000
   365    12    31  2023       7       0  hru007               792.783      47.884      47.868       0.000     192.317     192.317      43.852     558.717      82.346     458.311      18.060       0.000      26.506     328.477     292.679     209.823      43.553       0.000       0.000       0.260     690.134       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     192.317       0.000       0.000       0.000      -1.878       0.000     508.999       0.000       0.000
   365    12    31  2023       8       0  hru008               792.783      47.884      47.868       0.000     222.347     222.347      13.293     558.616      82.346     457.728      18.542       0.000      23.945     284.413     264.863     198.920      43.362       0.000       0.000       0.260     690.139       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     222.347       0.000       0.000       0.000      -1.025       0.000     588.477       0.000       0.000
   365    12    31  2023       9       0  hru009               792.783      47.883      47.867     103.419     137.813     241.231     433.431     565.081      82.349     460.941      21.790     103.274      75.341     535.704     401.076     317.885      31.350       0.000       0.000       0.260     690.112       0.000       0.000     293.284     145.697       0.000     103.274       0.000       0.000     137.813       0.000       0.000       0.000       0.000       0.000      -7.061      36.181    2081.708       0.000       0.000
   365    12    31  2023      10       0  hru010               792.783      47.884      47.868       0.000     190.531     190.531      45.658     558.740      82.345     458.351      18.043       0.000      26.655     330.566     293.864     210.380      43.556       0.000       0.000       0.260     690.143       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     190.531       0.000       0.000       0.000      -1.925       0.000     504.271       0.000       0.000
   365    12    31  2023      11       0  hru011               792.783      47.883      47.867       0.000     191.988     191.988      44.212     558.694      82.349     458.285      18.059       0.000      26.537     328.891     292.934     209.950      43.555       0.000       0.000       0.260     690.112       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     191.988       0.000       0.000       0.000      -1.886       0.000     508.127       0.000       0.000
   365    12    31  2023      12       0  hru012               792.783      47.882      47.866       0.115     146.067     146.182      90.233     559.441      82.351     459.368      17.722       0.115      30.338     370.529     314.528     223.880      43.615       0.000       0.000       0.260     690.101       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.115       0.000       0.000     146.067       0.000       0.000       0.000      -2.937       0.007     386.589       0.000       0.000
   365    12    31  2023      13       0  hru013               792.783      47.882      47.866       0.000     200.326     200.326      35.757     558.612      82.350     458.123      18.138       0.000      25.842     318.503     286.871     207.269      43.532       0.000       0.000       0.260     690.105       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     200.326       0.000       0.000       0.000      -1.659       0.000     530.195       0.000       0.000
   365    12    31  2023      14       0  hru014               792.783      47.882      47.866       0.000     196.949     196.949      39.186     558.640      82.350     458.185      18.105       0.000      26.123     322.842     289.449     208.369      43.542       0.000       0.000       0.260     690.105       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     196.949       0.000       0.000       0.000      -1.751       0.000     521.257       0.000       0.000
   365    12    31  2023      15       0  hru015               792.783      47.883      47.867       0.000     209.279     209.279      26.656     558.559      82.348     457.969      18.243       0.000      25.091     306.009     279.043     204.213      43.492       0.000       0.000       0.260     690.122       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     209.279       0.000       0.000       0.000      -1.414       0.000     553.891       0.000       0.000
   365    12    31  2023      16       0  hru016               792.783      47.883      47.867      61.864    1061.467    1123.331     529.561     557.719      82.349     449.730      25.641      61.844      68.447     585.592     369.865     256.227      32.335       0.000       0.000       0.260     690.118       0.000       0.000       2.048    1403.526       0.000       0.000       0.000      61.844       0.000       0.000    1061.467       0.000       0.000       0.000     -11.315       4.738    3631.645       0.000       0.000
   365    12    31  2023      17       0  hru017               792.783      47.883      47.867       0.000     212.414     212.414      44.037     537.848      82.348     439.086      16.414       0.000      25.059     270.351     244.809     162.961      28.494       0.000       0.000       0.260     690.121       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     212.414       0.000       0.000       0.000      -1.340       0.000     635.260       0.000       0.000
   365    12    31  2023      18       0  hru018               792.783      47.883      47.867      42.993     773.287     816.280     325.276     563.274      82.348     459.379      21.547      42.993      41.784     469.073     382.894     252.168      28.831       0.000       0.000       0.260     690.123       0.000       0.000      61.335     845.858       0.000       0.000       0.000      42.993       0.000       0.000     773.287       0.000       0.000       0.000      -4.520       1.452    2469.307       0.000       0.000
   365    12    31  2023      19       0  hru019               792.783      47.882      47.866      85.924    1223.773    1309.697     361.214     576.091      82.351     465.403      28.336      85.876      55.761     473.391     453.317     321.445      50.313       0.000       0.000       0.260     690.097       0.000       0.000     495.726     957.230       0.000      85.876       0.000       0.000    1223.773       0.000       0.000       0.000       0.000       0.000      -1.053      10.338    3238.915       0.000       0.000
   365    12    31  2023      20       0  hru020               792.783      47.883      47.867      30.474    1148.665    1179.140     357.149     566.395      82.348     460.162      23.885      30.473      43.732     510.614     374.335     259.090      29.585       0.000       0.000       0.260     690.121       0.000       0.000      39.863    1261.974       0.000       0.000       0.000      30.473       0.000       0.000    1148.665       0.000       0.000       0.000      -7.148       1.988    3667.990       0.000       0.000
   365    12    31  2023      21       0  hru021               792.783      47.883      47.867       0.000     170.793     170.794      85.664     538.801      82.349     440.395      16.058       0.000      27.168     311.756     267.286     173.517      26.568       0.000       0.000       0.260     690.116       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     170.793       0.000       0.000       0.000      -2.332       0.000     545.388       0.000       0.000
   365    12    31  2023      22       0  hru022               792.783      47.883      47.867       0.000     163.645     163.645      92.450     539.326      82.349     440.957      16.019       0.000      27.531     317.748     270.099     175.628      26.569       0.000       0.000       0.260     690.113       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     163.645       0.000       0.000       0.000      -2.499       0.000     522.561       0.000       0.000
   365    12    31  2023      23       0  hru023               792.783      47.882      47.866       0.031     152.444     152.475      77.683     565.297      82.351     463.119      19.827       0.031      28.764     383.551     333.689     244.009      64.508       0.000       0.000       0.260     690.099       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.031       0.000       0.000     152.444       0.000       0.000       0.000      -2.615       0.003     122.669       0.000       0.000
   365    12    31  2023      24       0  hru024               792.783      47.882      47.866       0.065     140.205     140.270      89.990     565.378      82.351     463.270      19.757       0.064      29.697     391.611     338.114     247.636      64.516       0.000       0.000       0.260     690.099       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.064       0.000       0.000     140.205       0.000       0.000       0.000      -2.806       0.018     112.821       0.000       0.000
   365    12    31  2023      25       0  hru025               792.783      47.883      47.867       0.000     209.317     209.318      48.295     536.750      82.349     438.135      16.266       0.000      25.267     272.792     245.902     162.269      26.561       0.000       0.000       0.260     690.115       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     209.317       0.000       0.000       0.000      -1.410       0.000     668.406       0.000       0.000
   365    12    31  2023      26       0  hru026               792.783      47.882      47.866       0.000     173.392     173.392      94.891     539.515      82.351     441.011      16.154       0.000      27.686     320.361     271.869     176.460      26.611       0.000       0.000       0.260     690.099       0.000       0.000       0.000      12.326       0.000       0.000       0.000       0.000       0.000       0.000     173.392       0.000       0.000       0.000      -2.543       0.000     553.686       0.000       0.000
   365    12    31  2023      27       0  hru027               792.783      47.882      47.866       1.146     118.300     119.446     149.045     527.201      82.351     428.267      16.583       1.146      55.109     311.461     258.392     156.422      28.476       0.000       0.000       0.260     690.099       0.000       0.000       0.000       0.000       0.000       0.525       0.000       0.621      54.180       0.000      64.120       0.000       0.000       0.000      -2.783       0.243     680.621       0.000       0.000
   365    12    31  2023      28       0  hru028               792.783      47.884      47.868       0.000     212.244     212.245      45.380     536.675      82.345     438.049      16.281       0.000      25.124     269.288     243.655     161.395      26.559       0.000       0.000       0.260     690.142       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     212.244       0.000       0.000       0.000      -1.344       0.000     677.752       0.000       0.000
   365    12    31  2023      29       0  hru029               792.783      47.882      47.866       1.018     219.972     220.989      84.775     523.593      82.352     423.613      17.628       1.017      52.290     264.415     228.072     137.876      28.622       0.000       0.000       0.260     690.092       0.000       0.000       6.265      28.145       0.000       1.017       0.000       0.000     219.972       0.000       0.000       0.000       0.000       0.000      -1.906       0.005    1265.575       0.000       0.000
   365    12    31  2023      30       0  hru030               792.783      47.882      47.866       5.342      72.269      77.611     168.723     551.358      82.352     452.952      16.055       5.342      60.753     383.409     294.204     212.810      26.235       0.000       0.000       0.260     690.094       0.000       0.000       0.000       0.000       0.000       0.000       0.000       5.342       0.000       0.000      72.269       0.000       0.000       0.000      -4.679       0.029    1091.653       0.000       0.000
   365    12    31  2023      31       0  hru031               792.783      47.882      47.866      31.035     776.686     807.721     146.841     568.545      82.350     464.725      21.470      31.033      31.645     432.751     275.280     206.278      30.681       0.000       0.000       0.260     690.105       0.000       0.000     192.193     528.455       0.000       0.000       0.000      31.033       0.000       0.000     776.686       0.000       0.000       0.000      -8.259       1.676    2322.814       0.000       0.000
   365    12    31  2023      32       0  hru032               792.783      47.204      47.189      23.675      39.642      63.317     178.243     555.754      87.823     411.762      56.170      23.673      76.944     375.769     294.852     208.353      26.112       0.000       0.000       0.255     690.153       0.000       0.000       0.000       0.000       0.000       0.000       0.000      23.673       0.000       0.000      39.642       0.000       0.000       0.000      -4.244       0.555    2453.876       0.000       0.000
   365    12    31  2023      33       0  hru033               792.783      47.242      47.227       0.000     185.293     185.293      59.498     549.951      87.134     404.499      58.317       0.000      25.894     286.689     252.484     168.962      26.343       0.000       0.000       0.255     690.112       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     185.293       0.000       0.000       0.000      -1.794       0.000     591.689       0.000       0.000
   365    12    31  2023      34       0  hru034               792.783      50.547      50.527       1.962     263.340     265.302     194.459     334.212      35.871     137.599     160.741       1.962      62.425     332.789     311.160     234.409      35.016       0.000       0.000       0.279     690.043       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.962       0.000       0.000     263.340       0.000       0.000       0.000      -1.134       0.036    1925.192       0.000       0.000
   365    12    31  2023      35       0  hru035               792.783      50.547      50.527       0.000     370.074     370.074      91.827     331.919      35.871     137.405     158.644       0.000      30.017     275.150     256.965     210.489      31.709       0.000       0.000       0.279     690.045       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     370.074       0.000       0.000       0.000      -0.954       0.000    1181.743       0.000       0.000
   365    12    31  2023      36       0  hru036               792.783      50.547      50.527       0.012     212.543     212.555     249.916     331.538      35.873     137.408     158.258       0.011      38.381     359.846     336.919     251.783      31.707       0.000       0.000       0.279     690.029       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.011       0.000       0.000     212.543       0.000       0.000       0.000      -1.202       0.001     678.705       0.000       0.000
   365    12    31  2023      37       0  hru037               792.783      50.546      50.527      21.046      56.202      77.247     380.241     335.954      35.873     137.301     162.780      21.045      77.053     422.230     409.571     313.148      31.546       0.000       0.000       0.279     690.026       0.000       0.000       0.000       0.000       0.000       0.000       0.000      21.045       0.000       0.000      56.202       0.000       0.000       0.000      -0.664       0.459     848.948       0.000       0.000
   365    12    31  2023      38       0  hru038               792.783      50.546      50.527       0.000     329.568     329.569     132.429     331.876      35.873     137.398     158.604       0.000      32.037     300.973     281.254     221.110      31.713       0.000       0.000       0.279     690.023       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     184.232       0.000     145.336       0.000       0.000       0.000      -1.034       0.000    1052.399       0.000       0.000
   365    12    31  2023      39       0  hru039               792.783      50.546      50.527       0.000     379.102     379.103      82.792     331.915      35.873     137.396     158.646       0.000      29.584     268.978     251.160     208.127      31.705       0.000       0.000       0.279     690.023       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     379.102       0.000       0.000       0.000      -0.935       0.000    1210.574       0.000       0.000
   365    12    31  2023      40       0  hru040               792.783      50.547      50.528     106.213      60.558     166.771     398.339     339.374      35.867     137.584     165.923     106.211      88.485     419.433     403.928     322.654      31.698       0.000       0.000       0.279     690.080       0.000       0.000      41.487      69.467       0.000       0.000       0.000     106.211       0.000       0.000      60.558       0.000       0.000       0.000      -0.813       1.564    3748.606       0.000       0.000
