 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   365    12    31  2023       1       0  hru001                 2.510   73151.805       0.000    2524.589       8.367       1.976      51.164     117.625     111.837       0.000       0.000     419.689       2.870      54.774      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       2       0  hru002                 2.510   73143.305       0.000    2522.180       8.388       1.454      54.725     117.625     111.068       0.000       0.000     420.614       2.826      54.886      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       3       0  hru003                 2.510   70805.750       0.000    2450.582       8.163       5.821       2.819     117.625     122.622       0.000       0.000     380.965       2.343      50.105      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       4       0  hru004                 2.510   70698.820       0.000    2461.382       8.294       2.421       0.002     117.625     123.737       0.000       0.000     383.054       0.527      50.479      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       5       0  hru005                 2.510   71046.422       0.000    2473.287       8.299       2.302       0.196     117.625     122.516       0.000       0.000     388.728       0.962      51.124      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       6       0  hru006                 2.510   70861.930       0.000    2466.568       8.296       2.371       0.040     117.625     123.173       0.000       0.000     385.735       0.700      50.782      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       7       0  hru007                 2.510   71295.477       0.000    2479.925       8.306       2.159       1.046     117.625     121.628       0.000       0.000     392.482       1.385      51.557      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       8       0  hru008                 2.510   70670.539       0.000    2460.482       8.294       2.428       0.000     117.625     123.838       0.000       0.000     382.591       0.502      50.427      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023       9       0  hru009                 2.510   65007.246       0.000    2240.209       8.519       1.052     138.015     117.625      98.249       0.000       0.000     368.401       7.165      48.592      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
