 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
   366    12    31  1996       1       1  Mini_CREATE            0.092       0.568       0.077       3.207       0.554       0.345       0.000       0.242       2.457      16.799       0.722       0.000
   365    12    31  1997       1       1  Mini_CREATE            0.221       1.302       0.188       1.780       1.661       0.735       0.000       0.593       1.947      18.587       1.031       0.000
   365    12    31  1998       1       1  Mini_CREATE            0.549       3.358       0.458       2.859       1.667       1.753       0.000       1.387       2.684      28.464       1.730       0.000
   365    12    31  1999       1       1  Mini_CREATE            0.265       1.534       0.210       1.946       1.800       0.694       0.000       0.648       1.592      21.550       1.097       0.000
   366    12    31  2000       1       1  Mini_CREATE            0.184       0.927       0.121       1.479       1.302       0.489       0.000       0.402       1.544      18.046       0.871       0.000
   365    12    31  2001       1       1  Mini_CREATE            0.389       2.330       0.330       3.052       1.018       1.259       0.000       1.003       2.855      30.000       1.773       0.000
   365    12    31  2002       1       1  Mini_CREATE            0.372       2.432       0.373       2.038       2.215       1.322       0.000       1.117       1.665      23.771       1.240       0.000
   365    12    31  2003       1       1  Mini_CREATE            0.132       0.682       0.095       0.792       1.125       0.350       0.000       0.307       1.354      12.420       0.547       0.000
   366    12    31  2004       1       1  Mini_CREATE            0.257       1.623       0.230       1.232       1.606       1.055       0.000       0.729       2.840      24.352       1.300       0.000
   365    12    31  2005       1       1  Mini_CREATE            0.208       1.348       0.184       1.607       1.063       0.676       0.000       0.566       1.320      18.149       0.722       0.000
   365    12    31  2006       1       1  Mini_CREATE            0.053       0.371       0.059       1.553       0.631       0.289       0.000       0.177       1.161      14.009       0.583       0.000
   365    12    31  2007       1       1  Mini_CREATE            0.263       1.774       0.273       1.120       1.949       0.938       0.000       0.837       2.765      24.384       1.424       0.000
   366    12    31  2008       1       1  Mini_CREATE            0.173       0.930       0.129       1.516       1.323       0.518       0.000       0.422       1.970      19.774       1.130       0.000
   365    12    31  2009       1       1  Mini_CREATE            0.084       0.563       0.081       0.710       1.411       0.357       0.000       0.259       1.299      17.654       0.810       0.000
   365    12    31  2010       1       1  Mini_CREATE            0.197       1.030       0.139       1.046       0.920       0.537       0.000       0.448       2.124      23.103       1.158       0.000
   365    12    31  2011       1       1  Mini_CREATE            0.178       1.045       0.144       1.861       0.591       0.577       0.000       0.439       1.177      17.962       0.799       0.000
   366    12    31  2012       1       1  Mini_CREATE            0.156       1.074       0.163       0.706       1.720       0.646       0.000       0.516       2.142      23.623       1.233       0.000
   365    12    31  2013       1       1  Mini_CREATE            0.114       0.661       0.091       3.710       1.102       0.381       0.000       0.293       1.352      17.628       0.814       0.000
   365    12    31  2014       1       1  Mini_CREATE            0.030       0.204       0.029       0.359       1.151       0.142       0.000       0.093       0.581       9.706       0.305       0.000
   365    12    31  2015       1       1  Mini_CREATE            0.055       0.305       0.041       0.401       0.889       0.171       0.000       0.131       1.854      13.597       0.607       0.000
   366    12    31  2016       1       1  Mini_CREATE            0.178       0.944       0.135       0.961       0.772       0.451       0.000       0.421       2.556      20.573       1.140       0.000
   365    12    31  2017       1       1  Mini_CREATE            0.315       1.960       0.279       1.600       1.899       1.259       0.000       0.879       2.934      33.081       2.330       0.000
   365    12    31  2018       1       1  Mini_CREATE            0.081       0.482       0.067       1.647       1.249       0.307       0.000       0.211       0.488      16.054       0.542       0.000
   365    12    31  2019       1       1  Mini_CREATE            0.077       0.444       0.065       0.442       1.431       0.281       0.000       0.209       2.280      17.359       0.921       0.000
   366    12    31  2020       1       1  Mini_CREATE            0.092       0.581       0.081       0.533       1.093       0.366       0.000       0.263       1.646      17.784       0.877       0.000
   365    12    31  2021       1       1  Mini_CREATE            0.077       0.454       0.062       0.401       0.629       0.247       0.000       0.198       1.181      13.747       0.551       0.000
