 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   366    12    31  1996       1       1  Mini_CREATE            1.650   25018.789    1332.053    1927.463       5.739       1.922      68.125     116.462      17.591       0.114       0.000       0.000      42.153       0.000      10.074       2.425       6.250       9.427       2.345       0.833       0.382       0.000       0.000       0.000       0.000
   365    12    31  1997       1       1  Mini_CREATE            1.428   26605.135    1183.471    1447.568       6.988       2.244      69.429     105.811      18.224       0.048       0.000       0.000      61.084       0.000      11.534       3.950       7.742       9.945       2.665       0.815       0.437       0.000       0.000       0.000       0.000
   365    12    31  1998       1       1  Mini_CREATE            1.658   28475.115    1108.922    1200.605       7.096       2.244     103.307     106.038      24.278       0.335       0.000       0.000      75.142       0.000      11.428       4.066       7.747       9.595       3.003       0.839       0.473       0.000       0.000       0.000       0.000
   365    12    31  1999       1       1  Mini_CREATE            1.316   29582.498    1142.755    1619.945       7.955       1.837      82.536      85.951      22.196       0.056       0.000       0.000      69.640       0.000      12.687       4.666       8.676       9.964       2.600       0.852       0.483       0.000       0.000       0.000       0.000
   366    12    31  2000       1       1  Mini_CREATE            1.658   31336.773    1602.218    1272.156       8.496       3.429      72.941      85.172      27.134       0.130       0.000       0.000      67.194       0.000      12.962       5.440       9.201       9.926       2.689       0.845       0.498       0.000       0.000       0.000       0.000
   365    12    31  2001       1       1  Mini_CREATE            1.564   31534.805    1245.521    1513.703       7.167       1.543      80.707      96.174      35.852       0.078       0.000       0.000      67.910       0.000      11.486       4.225       7.855       9.469       2.937       0.857       0.441       0.000       0.000       0.000       0.000
   365    12    31  2002       1       1  Mini_CREATE            1.281   31280.252    1015.482    1420.837       8.093       2.222      73.406      68.275      33.278       0.071       0.000       0.000      61.253       0.000      12.771       4.894       8.833       9.709       3.607       0.817       0.527       0.000       0.000       0.000       0.000
   365    12    31  2003       1       1  Mini_CREATE            1.315   31760.213    1576.076    1728.618       7.036       5.289      43.576      91.474      42.211       0.356       0.000       0.000      43.227       0.000      12.369       3.500       7.935      10.121       3.515       0.807       0.443       0.000       0.000       0.000       0.000
   366    12    31  2004       1       1  Mini_CREATE            1.529   31673.822    1506.215    1573.462       7.223       3.539      71.929      95.434      48.856       0.048       0.000       0.000      99.172       0.000      11.853       3.941       7.897       9.633       4.077       0.804       0.440       0.000       0.000       0.000       0.000
   365    12    31  2005       1       1  Mini_CREATE            1.436   31450.365    1308.480    1434.363       7.443       6.865      60.425      99.197      47.420       0.199       0.000       0.000      54.747       0.000      12.094       3.957       8.026      10.072       3.896       0.791       0.444       0.000       0.000       0.000       0.000
   365    12    31  2006       1       1  Mini_CREATE            1.392   31328.662    1414.745    1789.652       7.633      10.434      40.823      92.552      47.875       0.794       0.000       0.000      44.676       0.000      12.625       4.684       8.654       9.975       3.746       0.807       0.449       0.000       0.000       0.000       0.000
   365    12    31  2007       1       1  Mini_CREATE            1.364   30741.057    1201.100    1166.939       8.429       2.464      57.468      77.214      51.439       0.085       0.000       0.000      70.022       0.000      12.973       5.391       9.182       9.506       4.222       0.815       0.529       0.000       0.000       0.000       0.000
   366    12    31  2008       1       1  Mini_CREATE            1.501   30388.162    1440.486    1133.935       8.209       5.659      62.694      90.169      57.332       0.265       0.000       0.000      62.892       0.000      12.724       5.034       8.879      10.084       4.222       0.818       0.494       0.000       0.000       0.000       0.000
   365    12    31  2009       1       1  Mini_CREATE            1.390   30326.070    1915.964    1500.393       7.691       2.505      47.353      90.454      54.733       0.061       0.000       0.000      59.986       0.000      12.163       4.176       8.169      10.717       3.712       0.816       0.454       0.000       0.000       0.000       0.000
   365    12    31  2010       1       1  Mini_CREATE            1.459   30049.043    1513.454    1691.197       6.585       5.531      68.569     108.398      55.204       0.006       0.000       0.000      74.214       0.000      11.003       2.782       6.893      10.853       3.732       0.827       0.432       0.000       0.000       0.000       0.000
