 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                           m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                           m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons               
   366    12    31  1996       3       1  Mini_CREATE              6.1108     0.5031E+05     0.3355E+05     0.3462E+03     0.1005E+07     0.5046E-04     0.6091E-05     0.3308E-04     0.3681E+03     0.6383E+02     0.1285E+02     0.6555E-05     0.0000E+00     0.0000E+00     0.1712E+01     0.2019E-02     0.0000E+00     0.0000E+00     0.2019E-02     0.2019E-02     0.0000E+00     0.5287E+01     0.1439E+07     0.1455E+00     0.1669E-04     0.4740E-04     0.7717E+03     0.1759E+03     0.0000E+00     0.1439E-04     0.0000E+00     0.0000E+00     0.1429E+01     0.1031E-02     0.1031E-02     0.1031E-02     0.1031E-02     0.1031E-02     0.0000E+00     0.4530E+01     0.7373E+06     0.4702E-04     0.4763E-05     0.3268E-04     0.2183E+03     0.5034E+02     0.1005E+02     0.5392E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7373E-06     0.7373E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.2730E+00
   365    12    31  1997       3       1  Mini_CREATE              7.7785     0.6343E+05     0.4081E+05     0.5333E+03     0.9722E+06     0.3188E-04     0.4577E-05     0.1711E-04     0.4100E+03     0.7305E+02     0.1385E+02     0.7642E-05     0.0000E+00     0.0000E+00     0.3660E+01     0.3047E-02     0.0000E+00     0.0000E+00     0.3047E-02     0.3047E-02     0.0000E+00     0.2651E+01     0.1959E+07     0.5926E-01     0.1671E-04     0.4724E-04     0.1267E+04     0.2458E+03     0.0000E+00     0.2505E-04     0.0000E+00     0.0000E+00     0.1948E+01     0.1028E-02     0.1028E-02     0.1028E-02     0.1028E-02     0.1028E-02     0.0000E+00     0.2373E+01     0.2014E+07     0.7682E-04     0.9968E-05     0.4586E-04     0.7330E+03     0.1427E+03     0.2826E+02     0.1412E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2014E-05     0.2014E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1337E+00
   365    12    31  1998       3       1  Mini_CREATE              7.8100     0.9034E+05     0.3941E+05     0.7839E+03     0.9976E+06     0.1166E-04     0.2415E+02     0.1099E+02     0.4611E+03     0.7668E+02     0.1599E+02     0.1026E-05     0.0000E+00     0.0000E+00     0.7310E+01     0.3993E+01     0.0000E+00     0.0000E+00     0.6791E+01     0.3374E+01     0.0000E+00     0.1910E+01     0.3811E+07     0.8145E+01     0.1051E+03     0.3894E+02     0.2920E+04     0.4433E+03     0.0000E+00     0.1558E-04     0.0000E+00     0.0000E+00     0.3651E+01     0.3989E+01     0.6026E+00     0.6797E+00     0.6788E+01     0.3371E+01     0.0000E+00     0.1768E+01     0.3836E+07     0.7932E-04     0.6243E+02     0.2460E+02     0.1853E+04     0.2888E+03     0.5964E+02     0.1460E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3836E-05     0.3836E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1228E+00
   365    12    31  1999       3       1  Mini_CREATE              7.8840     0.6628E+05     0.4399E+05     0.1044E+04     0.9833E+06     0.3327E-04     0.3120E+00     0.5146E+00     0.7552E+03     0.6620E+02     0.1287E+02     0.1463E-04     0.0000E+00     0.0000E+00     0.9790E+01     0.4017E+01     0.0000E+00     0.0000E+00     0.6832E+01     0.3394E+01     0.0000E+00     0.2742E+01     0.2521E+07     0.1187E+00     0.5933E+00     0.2194E+00     0.2346E+04     0.2463E+03     0.0000E+00     0.3041E-04     0.0000E+00     0.0000E+00     0.2480E+01     0.2421E-01     0.4519E-02     0.4967E-02     0.4049E-01     0.2061E-01     0.0000E+00     0.2541E+01     0.2556E+07     0.4365E-04     0.1771E+02     0.9538E+01     0.1219E+04     0.1661E+03     0.3502E+02     0.5994E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2556E-05     0.2556E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.7883E-01
   366    12    31  2000       3       1  Mini_CREATE              7.8649     0.5618E+05     0.4272E+05     0.1199E+04     0.9727E+06     0.2720E-04     0.3582E-01     0.7356E-01     0.2432E+03     0.3812E+02     0.8523E+01     0.3297E-04     0.0000E+00     0.0000E+00     0.1176E+02     0.4031E+01     0.0000E+00     0.0000E+00     0.6856E+01     0.3407E+01     0.0000E+00     0.5109E+01     0.1999E+07     0.8612E-01     0.3654E+00     0.1318E+00     0.2599E+04     0.1879E+03     0.0000E+00     0.4847E-04     0.0000E+00     0.0000E+00     0.1975E+01     0.1469E-01     0.3081E-02     0.3346E-02     0.2428E-01     0.1257E-01     0.0000E+00     0.5137E+01     0.2022E+07     0.4261E-04     0.3447E+00     0.5008E+00     0.1583E+04     0.1358E+03     0.2729E+02     0.9184E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2022E-05     0.2022E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  2001       3       1  Mini_CREATE              7.8855     0.8810E+05     0.3959E+05     0.1313E+04     0.1000E+07     0.2009E-04     0.2549E+01     0.1262E+01     0.5697E+03     0.6709E+02     0.1320E+02     0.2293E-06     0.0000E+00     0.0000E+00     0.1515E+02     0.5102E+01     0.0000E+00     0.0000E+00     0.8678E+01     0.4312E+01     0.0000E+00     0.2520E+01     0.3477E+07     0.2353E+01     0.2923E+02     0.1036E+02     0.2381E+04     0.4295E+03     0.0000E+00     0.3317E-05     0.0000E+00     0.0000E+00     0.3390E+01     0.1071E+01     0.1624E+00     0.1831E+00     0.1822E+01     0.9048E+00     0.0000E+00     0.2300E+01     0.3497E+07     0.8679E-04     0.2152E+02     0.8177E+01     0.1366E+04     0.2530E+03     0.5101E+02     0.1971E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3497E-05     0.3497E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1348E+00
   365    12    31  2002       3       1  Mini_CREATE              7.8906     0.6932E+05     0.4422E+05     0.1586E+04     0.9936E+06     0.3559E-04     0.8843E-01     0.1384E+00     0.4750E+03     0.6566E+02     0.1295E+02     0.1449E-04     0.0000E+00     0.0000E+00     0.1774E+02     0.5268E+01     0.0000E+00     0.0000E+00     0.8959E+01     0.4452E+01     0.0000E+00     0.2827E+01     0.2739E+07     0.6586E+00     0.4868E+01     0.1727E+01     0.2928E+04     0.3276E+03     0.0000E+00     0.4123E-04     0.0000E+00     0.0000E+00     0.2583E+01     0.1659E+00     0.2587E-01     0.2906E-01     0.2816E+00     0.1403E+00     0.0000E+00     0.2674E+01     0.2769E+07     0.3567E-04     0.4821E+01     0.2541E+01     0.1832E+04     0.2161E+03     0.4203E+02     0.9790E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2769E-05     0.2769E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.7249E-01
   365    12    31  2003       3       1  Mini_CREATE              7.9911     0.5503E+05     0.4529E+05     0.1614E+04     0.9926E+06     0.4402E-04     0.1020E-01     0.3876E-01     0.5686E+03     0.8807E+02     0.1602E+02     0.3057E-04     0.0000E+00     0.0000E+00     0.1846E+02     0.5269E+01     0.0000E+00     0.0000E+00     0.8960E+01     0.4453E+01     0.0000E+00     0.2579E+01     0.7296E+06     0.1526E+00     0.5620E-02     0.2023E-02     0.1124E+04     0.1240E+03     0.0000E+00     0.4912E-04     0.0000E+00     0.0000E+00     0.7217E+00     0.1262E-02     0.1062E-02     0.1067E-02     0.1427E-02     0.1225E-02     0.0000E+00     0.2270E+01     0.7388E+06     0.2565E-04     0.3275E-01     0.6648E-01     0.3887E+03     0.4521E+02     0.9276E+01     0.9994E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7388E-06     0.7388E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.9115E-01
   366    12    31  2004       3       1  Mini_CREATE              7.9157     0.7915E+05     0.4163E+05     0.1710E+04     0.9760E+06     0.2939E-04     0.1299E+00     0.1357E+00     0.8741E+03     0.1094E+03     0.1852E+02     0.5894E-05     0.0000E+00     0.0000E+00     0.2080E+02     0.5449E+01     0.0000E+00     0.0000E+00     0.9266E+01     0.4605E+01     0.0000E+00     0.2102E+01     0.2436E+07     0.6109E+00     0.5221E+01     0.1816E+01     0.3189E+04     0.3171E+03     0.0000E+00     0.3032E-04     0.0000E+00     0.0000E+00     0.2343E+01     0.1798E+00     0.2798E-01     0.3144E-01     0.3053E+00     0.1521E+00     0.0000E+00     0.1888E+01     0.2489E+07     0.6571E-04     0.2846E+01     0.1455E+01     0.1560E+04     0.1867E+03     0.3665E+02     0.2905E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2489E-05     0.2489E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1891E+00
