 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons               
   366    12    31  1996         1     1  Mini_CREATE                2.0388     0.1494E+05     0.7277E+04     0.7364E+04     0.6855E+04     0.1096E-01     0.9132E-07     0.9689E-04     0.4484E+01     0.7426E-02     0.2849E-08     0.1040E-06     0.0000E+00     0.0000E+00     0.6848E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00    -0.4245E+01     0.2293E+03     0.1235E+02     0.1930E+02     0.1468E+02     0.2472E+05     0.1152E+04     0.3015E+02     0.2257E-03     0.0000E+00     0.0000E+00     0.1092E+02     0.1281E+01     0.3855E-01     0.4382E-01     0.3650E+00     0.2943E+00     0.0000E+00     0.2352E+01     0.2293E+03     0.1380E+02     0.1929E+02     0.1467E+02     0.2468E+05     0.1152E+04     0.3015E+02     0.2671E-03     0.0000E+00     0.0000E+00     0.1980E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00    -0.9387E+01
   365    12    31  1997         1     1  Mini_CREATE                2.0388     0.1660E+05     0.6736E+04     0.7141E+04     0.7231E+04     0.9911E-02     0.5186E-06     0.3788E-02     0.7715E+01     0.5618E+00     0.1886E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.7231E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5493E+01     0.2875E+03     0.1578E+02     0.3147E+02     0.2533E+02     0.2561E+05     0.1813E+04     0.8477E+02     0.2639E-03     0.0000E+00     0.0000E+00     0.1375E+02     0.2321E+01     0.4664E-01     0.5418E-01     0.4687E+00     0.4463E+00     0.0000E+00     0.1908E+01     0.2875E+03     0.1784E+02     0.3147E+02     0.2532E+02     0.2559E+05     0.1812E+04     0.8476E+02     0.3323E-03     0.0000E+00     0.0000E+00     0.2483E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9560E+01
   365    12    31  1998         1     1  Mini_CREATE                2.0388     0.2406E+05     0.7466E+04     0.7405E+04     0.7231E+04     0.1309E-05     0.2553E-03     0.1129E-03     0.9530E+01     0.8978E+00     0.4441E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.7230E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4038E+01     0.5403E+03     0.5167E+02     0.1014E+04     0.3716E+03     0.4194E+05     0.3640E+04     0.1789E+03     0.1843E-03     0.0000E+00     0.0000E+00     0.2610E+02     0.2075E+02     0.1277E+01     0.1371E+01     0.1364E+02     0.8350E+01     0.0000E+00     0.1483E+01     0.5403E+03     0.3135E+02     0.1014E+04     0.3716E+03     0.4193E+05     0.3640E+04     0.1789E+03     0.1972E-03     0.0000E+00     0.0000E+00     0.4668E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5164E+01
   365    12    31  1999         1     1  Mini_CREATE                2.0388     0.1761E+05     0.7446E+04     0.7033E+04     0.7231E+04     0.1082E-01     0.3391E-05     0.2797E-02     0.1281E+02     0.3809E+00     0.3338E-04     0.4184E-17     0.0000E+00     0.0000E+00     0.7231E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4474E+01     0.3640E+03     0.1483E+02     0.1689E+03     0.6674E+02     0.3153E+05     0.2024E+04     0.1050E+03     0.4268E-03     0.0000E+00     0.0000E+00     0.1743E+02     0.5036E+01     0.1029E+00     0.1209E+00     0.1136E+01     0.9982E+00     0.0000E+00     0.1998E+01     0.3640E+03     0.1438E+02     0.1689E+03     0.6673E+02     0.3152E+05     0.2024E+04     0.1050E+03     0.6885E-03     0.0000E+00     0.0000E+00     0.3144E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8409E+01
   366    12    31  2000         1     1  Mini_CREATE                2.0388     0.1467E+05     0.6689E+04     0.6824E+04     0.4991E+04     0.6024E-02     0.3043E-06     0.8122E-03     0.4029E+01     0.8452E-01     0.1389E-12     0.2203E-05     0.0000E+00     0.0000E+00     0.4979E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3882E+01     0.2960E+03     0.9985E+01     0.2169E+02     0.1955E+02     0.2824E+05     0.1563E+04     0.8185E+02     0.2740E-03     0.0000E+00     0.0000E+00     0.1401E+02     0.1979E+01     0.4229E-01     0.4891E-01     0.4162E+00     0.3886E+00     0.0000E+00     0.4867E+01     0.2961E+03     0.1310E+02     0.2169E+02     0.1955E+02     0.2824E+05     0.1563E+04     0.8185E+02     0.3259E-03     0.0000E+00     0.0000E+00     0.2557E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2087E+02
   365    12    31  2001         1     1  Mini_CREATE                2.0388     0.2371E+05     0.7625E+04     0.7436E+04     0.7231E+04     0.3292E-03     0.4029E-02     0.2943E-02     0.6411E+01     0.1613E+00     0.3587E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.7231E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9345E+00     0.4838E+03     0.2361E+02     0.2013E+03     0.9114E+02     0.3876E+05     0.3246E+04     0.1530E+03     0.1425E-03     0.0000E+00     0.0000E+00     0.2333E+02     0.6940E+01     0.2579E+00     0.2967E+00     0.2896E+01     0.1979E+01     0.0000E+00     0.1599E+01     0.4838E+03     0.1899E+02     0.2012E+03     0.9113E+02     0.3873E+05     0.3245E+04     0.1530E+03     0.1330E-03     0.0000E+00     0.0000E+00     0.4179E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1544E+01
   365    12    31  2002         1     1  Mini_CREATE                2.0388     0.1823E+05     0.7206E+04     0.7045E+04     0.6279E+04     0.1217E-01     0.4425E-02     0.5218E-02     0.5038E+01     0.6121E-01     0.7744E-06     0.9809E-06     0.0000E+00     0.0000E+00     0.6272E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9118E+00     0.4126E+03     0.2116E+02     0.3055E+03     0.8834E+02     0.3292E+05     0.2675E+04     0.1261E+03     0.4428E-03     0.0000E+00     0.0000E+00     0.2001E+02     0.7963E+01     0.2739E+00     0.3140E+00     0.3067E+01     0.2117E+01     0.0000E+00     0.2657E+01     0.4126E+03     0.1738E+02     0.3055E+03     0.8833E+02     0.3291E+05     0.2675E+04     0.1261E+03     0.7203E-03     0.0000E+00     0.0000E+00     0.3564E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2481E+01
   365    12    31  2003         1     1  Mini_CREATE                2.0388     0.1422E+05     0.6285E+04     0.6625E+04     0.7033E+04     0.1226E-01     0.1669E-05     0.8249E-02     0.2531E+02     0.6741E+00     0.6526E-04     0.1036E-06     0.0000E+00     0.0000E+00     0.7032E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4016E+01     0.1413E+03     0.1214E+02     0.1898E+02     0.1179E+02     0.1601E+05     0.8884E+03     0.2783E+02     0.7084E-03     0.0000E+00     0.0000E+00     0.6717E+01     0.1772E+01     0.3706E-01     0.4279E-01     0.3544E+00     0.3379E+00     0.0000E+00     0.2082E+01     0.1413E+03     0.1559E+02     0.1898E+02     0.1178E+02     0.1598E+05     0.8876E+03     0.2782E+02     0.1265E-02     0.0000E+00     0.0000E+00     0.1220E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7852E+01
   366    12    31  2004         1     1  Mini_CREATE                2.0388     0.2115E+05     0.6924E+04     0.7294E+04     0.7231E+04     0.6152E-02     0.3497E-01     0.1273E-01     0.1865E+02     0.1104E+01     0.4880E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.7231E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7081E+01     0.3508E+03     0.1986E+02     0.1762E+03     0.6281E+02     0.4279E+05     0.2547E+04     0.1099E+03     0.2780E-03     0.0000E+00     0.0000E+00     0.1678E+02     0.6459E+01     0.1816E+00     0.2103E+00     0.2028E+01     0.1525E+01     0.0000E+00     0.1484E+01     0.3508E+03     0.1864E+02     0.1762E+03     0.6280E+02     0.4278E+05     0.2546E+04     0.1099E+03     0.2985E-03     0.0000E+00     0.0000E+00     0.3030E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8612E+01
