 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
   366    12    31  1996       1       0  cha1                 0.2647E+00     0.1941E+04     0.6828E+03     0.8939E+03     0.5078E+03     0.1395E-02     0.3282E-07     0.5901E-07     0.3904E+00     0.3007E-07     0.0000E+00     0.1040E-06     0.0000E+00     0.0000E+00     0.5040E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00    -0.5085E+01     0.6715E-02     0.6354E-02     0.1908E+00     0.3608E-01     0.1107E+04     0.7094E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7236E-02     0.1849E-02     0.1864E-02     0.2489E-02     0.2482E-02     0.0000E+00    -0.1092E+02     0.6701E-02     0.4921E+00     0.1811E+00     0.3431E-01     0.1070E+04     0.6684E-01     0.0000E+00     0.1000E-03     0.0000E+00     0.0000E+00     0.2110E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00    -0.1087E+02    -0.5085E+01
   366    12    31  1996       2       0  cha2                 0.9209E-01     0.6677E+03     0.3246E+03     0.3138E+03     0.3091E+03     0.3045E-07     0.1561E-09     0.0000E+00     0.1934E+00     0.5339E-36     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3091E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00    -0.5081E+01     0.4522E-01     0.5420E-06     0.1176E-05     0.3528E-05     0.7320E+03     0.9338E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5420E-03     0.5420E-03     0.5420E-03     0.5420E-03     0.5420E-03     0.0000E+00     0.1411E+01     0.4522E-01     0.1457E+00     0.9503E-06     0.1763E-06     0.7318E+03     0.9336E+01     0.0000E+00     0.1439E-04     0.0000E+00     0.0000E+00     0.1429E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00    -0.6062E+01    -0.5085E+01
   366    12    31  1996       3       0  cha3                 0.3673E+00     0.2694E+04     0.1367E+04     0.1344E+04     0.1116E+04     0.7342E-02     0.9901E-08     0.0000E+00     0.7020E+00     0.1183E-07     0.2387E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.1115E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00    -0.5085E+01     0.5331E-01     0.4802E-04     0.1837E-04     0.7349E-04     0.7684E+03     0.5265E+02     0.1005E+02     0.5392E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1000E-02     0.1001E-02     0.1001E-02     0.1000E-02     0.1000E-02     0.0000E+00     0.1267E+01     0.5330E-01     0.6225E+01     0.1694E-04     0.1015E-04     0.7674E+03     0.5262E+02     0.1005E+02     0.7666E-04     0.0000E+00     0.0000E+00     0.1684E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00    -0.5146E+01    -0.5085E+01
   366    12    31  1996       4       0  cha4                 0.4855E+00     0.3560E+04     0.1810E+04     0.1777E+04     0.1557E+04     0.4345E-06     0.1493E-07     0.2911E-24     0.9762E+00     0.1651E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1556E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00    -0.5085E+01     0.7556E-01     0.6246E+00     0.3708E+01     0.1764E+01     0.1258E+04     0.1134E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6171E+00     0.1160E-01     0.1362E-01     0.1243E+00     0.1183E+00     0.0000E+00     0.1370E+01     0.7556E-01     0.5330E+00     0.3706E+01     0.1763E+01     0.1257E+04     0.1133E+03     0.0000E+00     0.1367E-04     0.0000E+00     0.0000E+00     0.2387E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00    -0.6180E+01    -0.5085E+01
   366    12    31  1996       5       0  cha5                 0.6194E+00     0.4542E+04     0.2310E+04     0.2267E+04     0.2419E+04     0.1881E-02     0.2420E-07     0.6629E-04     0.1594E+01     0.5069E-02     0.4532E-09     0.0000E+00     0.0000E+00     0.0000E+00     0.2418E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00    -0.5085E+01     0.2100E+00     0.7088E+01     0.6377E+01     0.5833E+01     0.9730E+04     0.4881E+03     0.1005E+02     0.9033E-04     0.0000E+00     0.0000E+00     0.4071E+01     0.2456E+00     0.1561E-01     0.1751E-01     0.1543E+00     0.9356E-01     0.0000E+00     0.1088E+01     0.2100E+00     0.3665E+01     0.6374E+01     0.5831E+01     0.9726E+04     0.4880E+03     0.1005E+02     0.2996E-04     0.0000E+00     0.0000E+00     0.6637E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00    -0.4762E+01    -0.5085E+01
   366    12    31  1996       6       0  cha6                 0.2098E+00     0.1538E+04     0.7822E+03     0.7677E+03     0.9474E+03     0.3421E-03     0.9313E-08     0.3055E-04     0.6280E+00     0.2340E-02     0.8765E-11     0.0000E+00     0.0000E+00     0.0000E+00     0.9473E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00    -0.5085E+01     0.2357E+00     0.4629E+01     0.9026E+01     0.7045E+01     0.1113E+05     0.4883E+03     0.1005E+02     0.1300E-03     0.0000E+00     0.0000E+00     0.6848E+01     0.4096E+00     0.7950E-02     0.9287E-02     0.8238E-01     0.7844E-01     0.0000E+00     0.1066E+01     0.2357E+00     0.2737E+01     0.9024E+01     0.7044E+01     0.1113E+05     0.4883E+03     0.1005E+02     0.3237E-04     0.0000E+00     0.0000E+00     0.7451E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00    -0.4659E+01    -0.5085E+01
   365    12    31  1997       1       0  cha1                 0.2647E+00     0.2155E+04     0.6091E+03     0.8283E+03     0.8404E+03     0.1664E-02     0.1603E-07     0.0000E+00     0.1212E+01     0.1717E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8403E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6170E+01     0.1707E-01     0.1009E-01     0.9779E-01     0.4777E-01     0.1117E+04     0.3057E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9951E-02     0.1868E-02     0.1890E-02     0.2825E-02     0.2814E-02     0.0000E+00     0.2015E+01     0.1706E-01     0.1120E+01     0.9646E-01     0.4717E-01     0.1110E+04     0.3015E+00     0.0000E+00     0.5613E-04     0.0000E+00     0.0000E+00     0.5374E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1132E+02     0.6170E+01
   365    12    31  1997       2       0  cha2                 0.9209E-01     0.7478E+03     0.3253E+03     0.3229E+03     0.3091E+03     0.1966E-07     0.1106E-09     0.0000E+00     0.2449E+00     0.3076E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3091E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6188E+01     0.6177E-01     0.5405E-06     0.1173E-05     0.3519E-05     0.1237E+04     0.1389E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5405E-03     0.5405E-03     0.5405E-03     0.5405E-03     0.5405E-03     0.0000E+00     0.1312E+01     0.6177E-01     0.5940E-01     0.1015E-05     0.1471E-06     0.1237E+04     0.1389E+02     0.0000E+00     0.2505E-04     0.0000E+00     0.0000E+00     0.1948E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7234E+01     0.6170E+01
   365    12    31  1997       3       0  cha3                 0.3673E+00     0.2991E+04     0.1037E+04     0.1271E+04     0.1159E+04     0.6447E-02     0.8035E-08     0.0000E+00     0.8640E+00     0.4033E-02     0.8112E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.1159E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6170E+01     0.1003E+00     0.7782E-04     0.2353E-04     0.8656E-04     0.1508E+04     0.1460E+03     0.2826E+02     0.1412E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.9977E-03     0.9997E-03     0.9997E-03     0.9977E-03     0.9977E-03     0.0000E+00     0.1204E+01     0.1003E+00     0.6110E+01     0.2077E-04     0.5223E-05     0.1507E+04     0.1460E+03     0.2826E+02     0.5148E-04     0.0000E+00     0.0000E+00     0.3163E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6663E+01     0.6170E+01
   365    12    31  1997       4       0  cha4                 0.4855E+00     0.3953E+04     0.1493E+04     0.1692E+04     0.1557E+04     0.3119E-06     0.2667E-07     0.7031E-08     0.1144E+01     0.1412E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1557E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6170E+01     0.6625E-01     0.1710E+01     0.8264E+01     0.3915E+01     0.1434E+04     0.1601E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1463E+01     0.2577E-01     0.3051E-01     0.2935E+00     0.2792E+00     0.0000E+00     0.1309E+01     0.6625E-01     0.8852E+00     0.8262E+01     0.3914E+01     0.1433E+04     0.1598E+03     0.0000E+00     0.6952E-04     0.0000E+00     0.0000E+00     0.2087E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7214E+01     0.6170E+01
   365    12    31  1997       5       0  cha5                 0.6194E+00     0.5043E+04     0.2443E+04     0.2261E+04     0.2419E+04     0.1466E-02     0.3542E-06     0.2891E-02     0.3071E+01     0.3151E+00     0.7760E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.2419E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6170E+01     0.2527E+00     0.7286E+01     0.9715E+01     0.9804E+01     0.9397E+04     0.7460E+03     0.2826E+02     0.1210E-03     0.0000E+00     0.0000E+00     0.5250E+01     0.2340E+00     0.6187E-02     0.6956E-02     0.4844E-01     0.4619E-01     0.0000E+00     0.1065E+01     0.2527E+00     0.4865E+01     0.9714E+01     0.9800E+01     0.9393E+04     0.7456E+03     0.2825E+02     0.7269E-04     0.0000E+00     0.0000E+00     0.7967E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5908E+01     0.6170E+01
   365    12    31  1997       6       0  cha6                 0.2098E+00     0.1708E+04     0.8275E+03     0.7656E+03     0.9474E+03     0.3337E-03     0.1136E-06     0.8974E-03     0.1179E+01     0.9842E-01     0.2991E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.9474E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6170E+01     0.2896E+00     0.6775E+01     0.1339E+02     0.1156E+02     0.1092E+05     0.7462E+03     0.2825E+02     0.1288E-03     0.0000E+00     0.0000E+00     0.8504E+01     0.6130E+00     0.1128E-01     0.1328E-01     0.1224E+00     0.1165E+00     0.0000E+00     0.1047E+01     0.2896E+00     0.4802E+01     0.1339E+02     0.1156E+02     0.1091E+05     0.7461E+03     0.2825E+02     0.5743E-04     0.0000E+00     0.0000E+00     0.9131E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5819E+01     0.6170E+01
   365    12    31  1998       1       0  cha1                 0.2647E+00     0.3127E+04     0.7510E+03     0.9292E+03     0.8404E+03     0.1869E-06     0.9003E-08     0.1152E-10     0.1514E+01     0.1353E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8400E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4495E+01     0.3772E-01     0.1528E+01     0.8709E+02     0.1382E+02     0.1730E+04     0.7094E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1429E+01     0.1598E-01     0.1999E-01     0.1839E+00     0.1819E+00     0.0000E+00     0.1488E+01     0.3772E-01     0.1538E+01     0.8708E+02     0.1382E+02     0.1727E+04     0.7094E+01     0.0000E+00     0.4343E-04     0.0000E+00     0.0000E+00     0.1189E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6046E+01     0.4495E+01
   365    12    31  1998       2       0  cha2                 0.9209E-01     0.1062E+04     0.3487E+03     0.3361E+03     0.3091E+03     0.8243E-08     0.1876E-05     0.6908E-06     0.2180E+00     0.4285E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3091E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4503E+01     0.1158E+00     0.1774E-01     0.2328E+00     0.8603E-01     0.2849E+04     0.2458E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9383E-02     0.1862E-02     0.2033E-02     0.1560E-01     0.8009E-02     0.0000E+00     0.1183E+01     0.1158E+00     0.2356E+00     0.2328E+00     0.8599E-01     0.2849E+04     0.2458E+02     0.0000E+00     0.1558E-04     0.0000E+00     0.0000E+00     0.3651E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4790E+01     0.4495E+01
   365    12    31  1998       3       0  cha3                 0.3673E+00     0.4341E+04     0.1376E+04     0.1341E+04     0.1159E+04     0.5268E-06     0.3898E-04     0.1705E-04     0.8688E+00     0.7342E-02     0.2084E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.1159E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4495E+01     0.1894E+00     0.7068E+01     0.1581E+03     0.6001E+02     0.3253E+04     0.3430E+03     0.5964E+02     0.1460E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.3634E+01     0.5490E+00     0.6192E+00     0.6183E+01     0.3070E+01     0.0000E+00     0.1111E+01     0.1894E+00     0.7523E+01     0.1581E+03     0.6001E+02     0.3252E+04     0.3430E+03     0.5964E+02     0.7882E-04     0.0000E+00     0.0000E+00     0.5972E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4497E+01     0.4495E+01
   365    12    31  1998       4       0  cha4                 0.4855E+00     0.5737E+04     0.1840E+04     0.1772E+04     0.1557E+04     0.1609E-06     0.9717E-05     0.4406E-05     0.1144E+01     0.2370E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1556E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4495E+01     0.1333E+00     0.1445E+02     0.1056E+03     0.4069E+02     0.2641E+04     0.3216E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1285E+02     0.5781E+00     0.5787E+00     0.5776E+01     0.4156E+01     0.0000E+00     0.1162E+01     0.1333E+00     0.7276E+01     0.1056E+03     0.4069E+02     0.2640E+04     0.3215E+03     0.0000E+00     0.2006E-04     0.0000E+00     0.0000E+00     0.4203E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4684E+01     0.4495E+01
