 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
    365    12    31  2021      1       0  rtu001                 2.483   32545.635       0.000    1241.382       8.047       0.233     225.305     117.326       8.663       0.000       0.000     343.231      21.765       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021      2       0  rtu002                 2.483   32916.000       0.000    1254.757       8.046       0.223     224.780     117.326       7.995       0.000       0.000     350.157      21.297       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021      3       0  rtu003                 2.483   76638.164       0.000    2887.884       7.746       3.316       5.634     117.326      98.085       0.000       0.000     468.812       9.377       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021      4       0  rtu004                 2.480   79817.281       0.000    3014.530       7.870       0.457      23.408     116.604      91.576       0.000       0.000     506.415       8.177       0.000      12.386       4.835       8.611      10.194       3.658       0.815       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021      5       0  rtu005                 2.480   79515.867       0.000    3000.027       7.883       0.408      55.190     116.604      88.810       0.000       0.000     508.405      14.467       0.000      12.386       4.835       8.611      10.194       3.658       0.815       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021      6       0  rtu006                 2.480   79808.516       0.000    3013.555       7.872       0.450      27.953     116.604      91.165       0.000       0.000     506.997       9.143       0.000      12.386       4.835       8.611      10.194       3.658       0.815       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021      7       0  rtu007                 2.480   79505.008       0.000    2999.619       7.883       0.407      55.747     116.604      88.755       0.000       0.000     508.395      14.578       0.000      12.386       4.835       8.611      10.194       3.658       0.815       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021      8       0  rtu008                 2.480   79815.922       0.000    3014.515       7.870       0.459      22.671     116.604      91.651       0.000       0.000     506.297       8.015       0.000      12.386       4.835       8.611      10.194       3.658       0.815       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021      9       0  rtu009                 2.480   72561.523       0.000    2700.766       7.917       1.100      91.048     116.604      94.399       0.000       0.000     441.072      15.830       0.000      12.386       4.835       8.611      10.194       3.658       0.815       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     10       0  rtu010                 2.468   79763.695       0.000    2991.732       7.879       0.499      54.252     116.017      87.873       0.000       0.000     511.753      14.377       0.000      12.407       4.821       8.614      10.147       3.591       0.813       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     11       0  rtu011                 2.483   79166.648       0.000    3003.002       7.859       0.501      57.147     117.326      88.830       0.000       0.000     507.796      14.650       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     12       0  rtu012                 2.483   79155.039       0.000    3002.557       7.859       0.499      57.710     117.326      88.767       0.000       0.000     507.805      14.764       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     13       0  rtu013                 2.483   79170.938       0.000    3003.168       7.859       0.501      56.914     117.326      88.856       0.000       0.000     507.787      14.603       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     14       0  rtu014                 2.483   79168.945       0.000    3003.091       7.859       0.501      57.019     117.326      88.844       0.000       0.000     507.793      14.624       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     15       0  rtu015                 2.483   79178.750       0.000    3003.472       7.859       0.503      56.529     117.326      88.897       0.000       0.000     507.764      14.526       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     16       0  rtu016                 2.483   75737.203       0.000    2859.404       7.591       6.247      12.353     117.326     100.059       0.000       0.000     462.410      12.679       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     17       0  rtu017                 2.480   77323.484       0.000    2895.915       7.781       2.703       4.512     116.604      96.475       0.000       0.000     475.577       9.120       0.000      12.386       4.835       8.611      10.194       3.658       0.815       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     18       0  rtu018                 2.483   72970.523       0.000    2742.971       7.777       3.341      26.808     117.326     108.458       0.000       0.000     424.673      12.359       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     19       0  rtu019                 2.483   78730.875       0.000    2986.209       7.861       0.501      61.021     117.326      89.043       0.000       0.000     504.850      14.764       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     20       0  rtu020                 2.483   74339.469       0.000    2795.349       7.766       3.316      19.327     117.326     104.315       0.000       0.000     444.381      11.094       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     21       0  rtu021                 2.483   76675.328       0.000    2889.173       7.745       3.322       5.557     117.326      97.965       0.000       0.000     469.460       9.361       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     22       0  rtu022                 2.483   76675.977       0.000    2889.195       7.745       3.321       5.564     117.326      97.964       0.000       0.000     469.470       9.364       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     23       0  rtu023                 2.483  108257.633       0.000    3948.558       7.902       0.184      31.467     117.326       4.556       0.000       0.000    1548.198      61.494       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     24       0  rtu024                 2.483  108253.398       0.000    3948.401       7.902       0.184      31.539     117.326       4.558       0.000       0.000    1548.138      61.568       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     25       0  rtu025                 2.483   76670.109       0.000    2888.994       7.745       3.325       5.486     117.326      97.976       0.000       0.000     469.386       9.324       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     26       0  rtu026                 2.483   76671.297       0.000    2889.032       7.746       3.320       5.586     117.326      97.978       0.000       0.000     469.410       9.368       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     27       0  rtu027                 2.483   75065.953       0.000    2835.119       7.580       5.836       4.796     117.326     101.093       0.000       0.000     451.682       9.747       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     28       0  rtu028                 2.483   76668.500       0.000    2888.939       7.745       3.328       5.476     117.326      97.979       0.000       0.000     469.365       9.318       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     29       0  rtu029                 2.483   76523.305       0.000    2885.167       7.656       4.821      12.293     117.326      97.313       0.000       0.000     471.906       2.052       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     30       0  rtu030                 2.483   77977.445       0.000    2911.229       7.955       0.830     115.510     117.326      67.194       0.000       0.000     556.143       4.482       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     31       0  rtu031                 2.483   73526.977       0.000    2763.227       7.777       3.245      21.719     117.326     106.624       0.000       0.000     436.732      11.638       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     32       0  rtu032                 2.152   31711.066     240.860    1848.885       8.029       0.518     197.059     159.103       0.000       0.000       0.000      64.309      13.541       0.000      12.386       4.835       8.611      10.194       3.658       0.815       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     33       0  rtu033                 2.156   49178.465     377.279    3013.157       7.817       2.645       5.613     159.012       1.189       0.038       0.000      92.496       9.321       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     34       0  rtu034                 0.545   27240.730       0.000    1188.504       7.948       0.132      15.607     143.695      32.564       0.001       0.000     127.241       5.418       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     35       0  rtu035                 0.545   25884.303       0.000    1114.933       7.929       0.261       7.187     143.695      47.949       0.004       0.000      95.196       3.957       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     36       0  rtu036                 0.545   25884.633       0.000    1114.933       7.929       0.261       7.330     143.695      47.935       0.004       0.000      95.213       3.982       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
    365    12    31  2021     37       0  rtu037                 0.545   25930.541       0.000    1132.325       7.989       0.260      90.392     143.695      32.316       0.038       0.000      99.939       7.042       0.000      12.404       4.786       8.595      10.198       3.689       0.816       0.479       0.000       0.000       0.000       0.000
