 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                           m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                           m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons               
   366    12    31  1996         1         0  res1                 0.6071E+01     0.5001E+05     0.3336E+05     0.0000E+00     0.1001E+07     0.4925E-04     0.5849E-05     0.3271E-04     0.3636E+03     0.6089E+02     0.1252E+02     0.6555E-05     0.0000E+00     0.0000E+00     0.1712E+01     0.8228E-03     0.0000E+00     0.0000E+00     0.8228E-03     0.8228E-03     0.0000E+00     0.9877E+00     0.1437E+07     0.1455E+00     0.1504E-04     0.4244E-04     0.7347E+03     0.1310E+03     0.0000E+00     0.1439E-04     0.0000E+00     0.0000E+00     0.1429E+01     0.4248E-03     0.4248E-03     0.4248E-03     0.4248E-03     0.4248E-03     0.0000E+00     0.9899E+00     0.7373E+06     0.4702E-04     0.4763E-05     0.3268E-04     0.2183E+03     0.5034E+02     0.1005E+02     0.5392E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7373E-06     0.7373E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.2730E+00
   366    12    31  1996         2         0  res2                 0.3945E-01     0.2947E+03     0.1895E+03     0.3462E+03     0.3824E+04     0.1211E-05     0.2423E-06     0.3737E-06     0.4514E+01     0.2945E+01     0.3292E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1196E-02     0.0000E+00     0.0000E+00     0.1196E-02     0.1196E-02     0.0000E+00     0.5303E+01     0.1991E+04     0.0000E+00     0.1653E-05     0.4959E-05     0.3708E+02     0.4495E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6063E-03     0.6063E-03     0.6063E-03     0.6063E-03     0.6063E-03     0.0000E+00     0.5051E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1997         1         0  res1                 0.7718E+01     0.6293E+05     0.4050E+05     0.0000E+00     0.9667E+06     0.3007E-04     0.4234E-05     0.1675E-04     0.4050E+03     0.6547E+02     0.1312E+02     0.7642E-05     0.0000E+00     0.0000E+00     0.3660E+01     0.1246E-02     0.0000E+00     0.0000E+00     0.1246E-02     0.1246E-02     0.0000E+00     0.1015E+01     0.1957E+07     0.5926E-01     0.1506E-04     0.4230E-04     0.1244E+04     0.1827E+03     0.0000E+00     0.2505E-04     0.0000E+00     0.0000E+00     0.1948E+01     0.4236E-03     0.4236E-03     0.4236E-03     0.4236E-03     0.4236E-03     0.0000E+00     0.1013E+01     0.2014E+07     0.7682E-04     0.9968E-05     0.4586E-04     0.7330E+03     0.1427E+03     0.2826E+02     0.1412E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2014E-05     0.2014E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1337E+00
   365    12    31  1997         2         0  res2                 0.6089E-01     0.4990E+03     0.3148E+03     0.5333E+03     0.5487E+04     0.1816E-05     0.3434E-06     0.3642E-06     0.5066E+01     0.7577E+01     0.7362E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1801E-02     0.0000E+00     0.0000E+00     0.1801E-02     0.1801E-02     0.0000E+00     0.2660E+01     0.2013E+04     0.0000E+00     0.1648E-05     0.4945E-05     0.2312E+02     0.6318E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6047E-03     0.6047E-03     0.6047E-03     0.6047E-03     0.6047E-03     0.0000E+00     0.2470E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1998         1         0  res1                 0.7720E+01     0.8927E+05     0.3897E+05     0.0000E+00     0.9888E+06     0.9238E-05     0.2415E+02     0.1099E+02     0.4556E+03     0.6612E+02     0.1493E+02     0.1026E-05     0.0000E+00     0.0000E+00     0.7310E+01     0.3990E+01     0.0000E+00     0.0000E+00     0.6789E+01     0.3371E+01     0.0000E+00     0.1020E+01     0.3808E+07     0.8145E+01     0.1051E+03     0.3894E+02     0.2901E+04     0.3323E+03     0.0000E+00     0.1558E-04     0.0000E+00     0.0000E+00     0.3651E+01     0.3989E+01     0.6020E+00     0.6791E+00     0.6788E+01     0.3370E+01     0.0000E+00     0.1017E+01     0.3836E+07     0.7932E-04     0.6243E+02     0.2460E+02     0.1853E+04     0.2888E+03     0.5964E+02     0.1460E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3836E-05     0.3836E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1228E+00
   365    12    31  1998         2         0  res2                 0.8953E-01     0.1069E+04     0.4417E+03     0.7839E+03     0.8743E+04     0.2420E-05     0.4918E-06     0.4405E-06     0.5536E+01     0.1056E+02     0.1060E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2405E-02     0.0000E+00     0.0000E+00     0.2405E-02     0.2405E-02     0.0000E+00     0.1918E+01     0.3413E+04     0.0000E+00     0.1648E-05     0.4945E-05     0.1859E+02     0.1111E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6047E-03     0.6047E-03     0.6047E-03     0.6047E-03     0.6047E-03     0.0000E+00     0.1851E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1999         1         0  res1                 0.7765E+01     0.6524E+05     0.4333E+05     0.0000E+00     0.9730E+06     0.3024E-04     0.3120E+00     0.5146E+00     0.7486E+03     0.5659E+02     0.1184E+02     0.1463E-04     0.0000E+00     0.0000E+00     0.9790E+01     0.4014E+01     0.0000E+00     0.0000E+00     0.6829E+01     0.3391E+01     0.0000E+00     0.1015E+01     0.2518E+07     0.1187E+00     0.5933E+00     0.2194E+00     0.2331E+04     0.1857E+03     0.0000E+00     0.3041E-04     0.0000E+00     0.0000E+00     0.2480E+01     0.2361E-01     0.3914E-02     0.4362E-02     0.3988E-01     0.2001E-01     0.0000E+00     0.1014E+01     0.2556E+07     0.4365E-04     0.1771E+02     0.9538E+01     0.1219E+04     0.1661E+03     0.3502E+02     0.5994E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2556E-05     0.2556E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.7883E-01
   365    12    31  1999         2         0  res2                 0.1192E+00     0.1032E+04     0.6641E+03     0.1044E+04     0.1027E+05     0.3025E-05     0.6301E-06     0.8784E-06     0.6670E+01     0.9608E+01     0.1025E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3010E-02     0.0000E+00     0.0000E+00     0.3010E-02     0.3010E-02     0.0000E+00     0.2761E+01     0.2204E+04     0.0000E+00     0.1648E-05     0.4945E-05     0.1460E+02     0.6063E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6047E-03     0.6047E-03     0.6047E-03     0.6047E-03     0.6047E-03     0.0000E+00     0.2359E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   366    12    31  2000         1         0  res1                 0.7728E+01     0.5520E+05     0.4199E+05     0.0000E+00     0.9615E+06     0.2357E-04     0.3582E-01     0.7356E-01     0.2365E+03     0.3399E+02     0.7973E+01     0.3297E-04     0.0000E+00     0.0000E+00     0.1176E+02     0.4028E+01     0.0000E+00     0.0000E+00     0.6852E+01     0.3403E+01     0.0000E+00     0.1472E+01     0.1997E+07     0.8612E-01     0.3654E+00     0.1318E+00     0.2583E+04     0.1354E+03     0.0000E+00     0.4847E-04     0.0000E+00     0.0000E+00     0.1975E+01     0.1408E-01     0.2475E-02     0.2739E-02     0.2367E-01     0.1196E-01     0.0000E+00     0.1467E+01     0.2022E+07     0.4261E-04     0.3447E+00     0.5008E+00     0.1583E+04     0.1358E+03     0.2729E+02     0.9184E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2022E-05     0.2022E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
